id,returnId,bookItemId,conditionAtReturn,notes
7a1ec700-6891-4088-a1f4-918eca02ff6b,RET-000032,BI-00113,Good,
1c207aa8-c5b7-46c3-9ef3-6d9f9b056496,RET-000032,BI-02933,Good,Damaged cover
88c926db-bd98-4b62-8049-22dedd1c0805,RET-000033,BI-01328,Good,Damaged cover
52ebd2fa-fa83-4971-acf5-57587324fba2,RET-000034,BI-01484,Good,Damaged cover
51e8b1be-76af-48cf-ac85-d941f1ebc35b,RET-000034,BI-02418,Good,
2b657742-50ea-409b-af74-4b973740dabb,RET-000034,BI-02931,Good,Damaged cover
515652a5-9189-49d0-89f3-250f15df5a0c,RET-000035,BI-00641,Good,
255c2209-e256-45ec-8df5-5c777366fae0,RET-000035,BI-01302,Good,Damaged cover
31e7842f-f6d0-47b7-a8ce-f6f93f5dd813,RET-000035,BI-00465,Good,Damaged cover
14d97805-82ef-4e35-a664-c07361e5c4bd,RET-000036,BI-01549,Good,
133b0e5a-15d3-4155-b286-58876750fcb0,RET-000036,BI-01100,Good,Late return
0ac4b769-1c49-4649-adae-b21a7d28824f,RET-000036,BI-01385,Good,Late return
76e5740f-f18b-4e4c-981f-6f1a3a7d8e8f,RET-000037,BI-01011,Good,Late return
7128be25-76b8-44dc-a79e-d784517f61bb,RET-000038,BI-00910,Good,
b6eb7e76-7a92-4ff5-b1d8-866ba67b23a8,RET-000038,BI-01996,Good,Late return
0dd0592e-f9c3-48cb-98a4-6caaec09092e,RET-000038,BI-00471,Good,Late return
68cc5766-4dcf-45b0-9013-863a62c6d38a,RET-000039,BI-02121,Good,Late return
047c6359-1b82-4310-8d60-cdbd02bd2ec4,RET-000040,BI-01200,Good,Damaged cover
23ba7458-a49e-459e-a1bd-501d9e394261,RET-000041,BI-02688,Good,
a1c71181-2221-41f3-92de-889a04564c26,RET-000041,BI-00381,Good,
9a15a04e-26c1-4c3f-b203-b91beab67e2e,RET-000042,BI-00787,Good,
0e29fc09-ce7c-4238-b01c-d2bf1b75ba9b,RET-000042,BI-00584,Good,
8fb41579-f8d2-4c83-8d21-27b0b1b8a606,RET-000042,BI-01242,Good,
27e4c5f1-712e-4466-8028-b4253bb0dbda,RET-000043,BI-00470,Good,Late return
c6b8c6f1-43cf-406f-ad15-4de9af0a5c7a,RET-000043,BI-01826,Good,
0fd68e66-56af-43dd-a200-5e434e49f7b6,RET-000044,BI-01970,Good,
ea343f6d-d99d-4c5c-9173-e12c93761c7e,RET-000044,BI-00211,Good,
cd36517c-52be-471b-8d96-cc70df96a732,RET-000045,BI-02613,Good,Damaged cover
bb0b72b7-6b03-4cf9-9aed-324f7e64e7b1,RET-000045,BI-02925,Good,Damaged cover
a7893b1e-df36-4134-8426-fd5b1a4423fd,RET-000046,BI-02298,Good,
7975718e-f748-4a4b-b2d4-8fd9540f8b1c,RET-000046,BI-02301,Good,
2569c507-fa8e-468e-85ca-5aa2a47223a3,RET-000046,BI-02147,Good,
4e378fc3-7e51-4606-bf28-0936e0943b16,RET-000047,BI-02705,Good,Damaged cover
89b06eb5-65e8-4018-aaa9-53d741c568c3,RET-000047,BI-00244,Good,
1fb460d1-5431-4219-a39c-20dfbd41b543,RET-000048,BI-02158,Good,Damaged cover
17ddadd4-ba1c-4ff9-8faf-0691add9ec06,RET-000049,BI-00531,Good,Late return
2c3156b5-20a6-45fc-a06e-210fb3ddc770,RET-000049,BI-02289,Good,Late return
d1e3c099-760a-4cd7-89e8-fce3d411a206,RET-000050,BI-02864,Good,
7b4bf566-ac9b-4e00-8793-96b70bb86e33,RET-000050,BI-02861,Good,Late return
251a3ee0-d0fc-4628-95e7-dd94fe29dfcf,RET-000051,BI-00609,Good,
e3ff8c35-4edd-4a7d-bf80-cb9944b27f03,RET-000051,BI-02746,Good,
be6ba2cd-de19-4935-9831-180f3330f551,RET-000051,BI-01411,Good,Late return
348f6297-fc13-42d1-82bc-219ec86a8910,RET-000052,BI-01162,Good,
ecbd10c1-2464-4dcc-bbf1-f1b546f5c452,RET-000053,BI-01799,Good,Late return
0bb119a7-6c98-476c-ae56-18d3d16ef455,RET-000054,BI-02344,Good,Late return
26320be7-7f82-4770-bdad-91923aed9e18,RET-000054,BI-00682,Good,Late return
13125481-cc0e-4d24-867e-e2b9fb96aa40,RET-000054,BI-00177,Good,Late return
6b66dfff-1db8-45a0-94d0-ed3bc852e5cc,RET-000055,BI-01106,Good,Damaged cover
646ef138-7aa8-4118-84ca-0fedb1fedbb9,RET-000056,BI-01905,Good,
8a2707ff-c8d0-48b1-8028-5353b06ecbf8,RET-000056,BI-00160,Good,Late return
7629cba7-f6c6-4fb4-a69e-52bd96bd4604,RET-000057,BI-01221,Good,Late return
0bfbb4ef-8726-4ed5-8616-df7cb06f8773,RET-000058,BI-02016,Good,
9069f452-4975-47be-a969-b8dd92778762,RET-000058,BI-02898,Good,Late return
8e5d505a-67b9-4f44-b734-6615be5d0984,RET-000059,BI-01760,Good,
425117e1-b695-44d2-8e0a-d6a5bc094eb3,RET-000059,BI-02336,Good,
cef78052-b909-49d5-8f9c-8bf38164e5a4,RET-000059,BI-01467,Good,Late return
1ba45f52-9ccf-48af-a1da-3d39d0e841d2,RET-000060,BI-01939,Good,Damaged cover
0ee0894a-72e6-482a-8b87-168f9b0d796f,RET-000061,BI-02909,Good,Late return
cdb64bbf-4385-4522-b962-f0b39cb6464a,RET-000061,BI-01975,Good,Late return
925240b4-b18c-4daa-8f2e-f72cde8b624a,RET-000062,BI-00362,Good,
ed3b7f44-e45b-415d-91c6-74bd50616420,RET-000062,BI-00175,Good,Late return
12138ce7-8ef3-45db-be30-3f87eab462dd,RET-000063,BI-01585,Good,
0b5f65c8-deee-470c-9c4c-d5b0022f9a10,RET-000064,BI-02592,Good,
2d7e7506-f346-45f4-bc9f-925e47d3f42c,RET-000064,BI-01526,Good,
5e83827d-e181-4780-9433-452585259dd2,RET-000064,BI-00930,Good,Late return
d9c90627-6dec-4bec-99da-258b12830b65,RET-000065,BI-01995,Good,Late return
74c3addb-589e-4ee6-bac8-217e4d9d0033,RET-000065,BI-02015,Good,Damaged cover
89c983f7-5892-48c9-85e6-14861b1f742c,RET-000065,BI-01832,Good,Damaged cover
6101ebda-a326-432d-92d3-b551df1b5125,RET-000066,BI-01976,Good,
fb9db3f0-6b10-46fc-a7fb-d609de18622c,RET-000066,BI-02795,Good,Damaged cover
70dfeae5-0005-4b94-a4e8-638e370b2e31,RET-000066,BI-02443,Good,Damaged cover
b1ade2ad-8181-4ba6-b7ab-bcca2bc92086,RET-000067,BI-01988,Good,
2043a157-64ab-48e9-bebe-523a060f784a,RET-000067,BI-00313,Good,
5bce3e72-2ff4-4f4d-8151-8dc91ec3255c,RET-000068,BI-01684,Good,
93ab337f-e45b-4e4e-88ad-76fe1b9ab79d,RET-000068,BI-01042,Good,
8f1c6116-f0fa-488c-b232-a5a2d41fc859,RET-000068,BI-00358,Good,
9115526c-0220-4a67-b2d5-c7765be6bdf1,RET-000069,BI-01870,Good,Late return
eac02570-e847-47d5-acce-d2df0fa07cc2,RET-000069,BI-02330,Good,
a9d8dc49-50ea-4bbd-80e1-b89c57d7215f,RET-000070,BI-01036,Good,
5057083b-b6eb-4440-808d-cf6bb5446f6a,RET-000071,BI-02166,Good,Late return
ec4e3039-2e9e-493d-aae5-fe67656f5d55,RET-000071,BI-01693,Good,Late return
848e6b70-55a0-4107-a378-6a9f8dfd9516,RET-000071,BI-01295,Good,Late return
1b0c8c9f-3711-47eb-a26d-43169903962b,RET-000072,BI-00420,Good,
5fe7da0c-5848-4f25-9b6a-521a97416894,RET-000073,BI-02367,Good,Damaged cover
ae33ac3d-9944-4dba-aaa2-64c397639493,RET-000073,BI-02125,Good,
04cb449f-ead9-417e-9370-870c9345e2ac,RET-000074,BI-02684,Good,
7d1ccb9a-3e35-4fde-8d30-e24c45e935ed,RET-000075,BI-00387,Good,Late return
d341645f-bcb8-4970-817b-a65c23adc624,RET-000076,BI-00063,Good,Damaged cover
f1fcf861-c997-4219-a34b-e5a651a85ae5,RET-000076,BI-00759,Good,
a4183668-17e5-4fe4-92bd-91fbf84b724b,RET-000076,BI-01697,Good,Damaged cover
3c1b6477-893a-43f8-b009-216927930000,RET-000077,BI-00756,Good,Late return
68d18815-7f6f-43eb-8a7b-e47ac51d6e44,RET-000078,BI-02999,Good,
00687a97-4aeb-450c-814a-c7c8d0abd611,RET-000079,BI-00683,Good,
2835d309-084a-447d-978d-7e135701c5af,RET-000079,BI-02245,Good,
7dd983b3-c21c-4450-9da6-6103ff07aca7,RET-000080,BI-02340,Good,
23c30449-1378-490e-a423-4117baee185d,RET-000080,BI-00057,Good,
8dd42cf7-4ed9-4ddc-89c9-0f6735515be8,RET-000080,BI-01104,Good,Late return
042af200-cb07-41d8-9930-edbea25b9137,RET-000081,BI-00550,Good,
110002c9-cdc4-49aa-99da-260a457a635c,RET-000081,BI-01923,Good,
4f84c527-5441-489c-85d2-04cb00329803,RET-000082,BI-01634,Good,Damaged cover
6fdd6ceb-365c-43ff-b493-f89fe5780d06,RET-000082,BI-01345,Good,Late return
2df20c86-16ba-4c45-b9d9-def7d1e2621e,RET-000083,BI-02941,Good,Damaged cover
d9356f76-9138-44f9-8aef-f62340c70e53,RET-000083,BI-00259,Good,Late return
cdf540c5-cee3-4a64-baf0-b215b7c0dbca,RET-000084,BI-00629,Good,Damaged cover
a8d7ddb4-1212-40f6-bc7b-7f8be89bbc13,RET-000085,BI-02568,Good,
5a2014d9-2557-4032-8c74-b722e3768efa,RET-000085,BI-01417,Good,Damaged cover
ec64b2f5-3baa-4601-bfab-120ca3fa603b,RET-000086,BI-00236,Good,Late return
ac6f5de0-29d2-4f90-9382-f5ad37403ab5,RET-000086,BI-02689,Good,
fb2006af-5127-4bef-ba26-7a3132fb94b9,RET-000087,BI-00728,Good,Late return
eae4af90-1a05-4292-88d8-b7ce6b803fc2,RET-000088,BI-01761,Good,
66ff786b-cf25-4fd5-b9db-621e97b95cb8,RET-000089,BI-02594,Good,
a191d41a-df0c-45b1-91c7-972aa8c089d1,RET-000090,BI-02968,Good,Damaged cover
40a74b07-2476-4ffa-84ff-f3f9c7f4d112,RET-000090,BI-00460,Good,
41fce07d-1df4-4891-9243-c1a2b034c448,RET-000091,BI-00301,Good,
d550fbae-bf03-448a-9077-2cd8bdef3fba,RET-000092,BI-01550,Good,
71acc79c-72d0-492a-90e9-de22ca5e60b2,RET-000092,BI-01661,Good,
6f5e24f3-9ce3-474d-976c-91043f334907,RET-000092,BI-01748,Good,
1479939c-5d3b-44dd-a657-4159995b8a45,RET-000093,BI-01723,Good,
951cd79d-2682-46c3-a6ae-b8a50880c6ad,RET-000093,BI-02579,Good,
f0cb72b4-21da-4fee-9831-ac1c3f40466f,RET-000094,BI-01713,Good,
4a38a95f-b29f-4855-ab3f-b153c5626928,RET-000094,BI-02623,Good,Damaged cover
9f62b7dc-3d10-471f-b7b8-cfbc51c5172f,RET-000095,BI-01335,Good,
233b95f9-f9de-485f-bf9f-ef3f91b1e0ac,RET-000095,BI-02392,Good,Late return
6785c2cf-7100-43c9-9891-dfaf21fe40dd,RET-000096,BI-00452,Good,
ec7234ec-d3bc-4b8f-a3e6-744c9020badc,RET-000097,BI-00329,Good,
e19f19dc-47df-4e4d-8da9-d6d4a56ab13d,RET-000097,BI-02033,Good,
319d982d-ef03-45ed-ac40-8b822dd8a7ce,RET-000097,BI-01900,Good,
d5f7f1b8-3d84-4cee-b9a7-a81204b2b410,RET-000098,BI-02468,Good,
ee30ad67-13c5-41f6-9ff5-4e409c09e5e2,RET-000098,BI-02370,Good,Late return
6315bd17-d24b-4e72-a862-5d7393c3aebe,RET-000099,BI-00765,Good,Late return
7180e3e4-6c4b-4abd-aa8a-a5d194982048,RET-000099,BI-00589,Good,
76c0f737-d805-47cf-9ea3-0e7ce0364da2,RET-000100,BI-00963,Good,
04aede2c-23d6-4ec0-9c7c-d2eb24f5587b,RET-000101,BI-02417,Good,Late return
6572b638-7566-4749-a9a8-883b7109b4b9,RET-000101,BI-02495,Good,Late return
58d05527-81f8-40a3-b4f2-f8291ec16aa1,RET-000101,BI-00977,Good,
760713a2-e836-447b-9a14-a3f1d9bec56d,RET-000102,BI-02481,Good,
bc409916-2a95-4d08-82d7-1c36dbce59aa,RET-000102,BI-00344,Good,Damaged cover
88c1d6fb-3568-4d3d-a396-239cc48cb641,RET-000102,BI-01733,Good,
a98fb03c-7ed0-4645-b382-7dc7a3c05795,RET-000103,BI-01027,Good,Damaged cover
41328426-d1d4-4bad-95a8-61f4d37e4cf4,RET-000103,BI-02546,Good,Damaged cover
d3d9e625-66fe-4e95-952e-697ee4924083,RET-000104,BI-01829,Good,Damaged cover
deb8b7d2-5914-4594-9bd6-c1d3fa44dc5a,RET-000104,BI-00530,Good,Late return
30950b74-6e1e-4325-8f08-5b75f2e7bbe2,RET-000105,BI-01034,Good,Damaged cover
0a414304-58a7-4756-9661-4cfe70871528,RET-000105,BI-02421,Good,Damaged cover
6f4e559d-e43a-427d-ba8a-16783d1b15a1,RET-000105,BI-01916,Good,
e551b603-ff73-4ba7-864e-187f4c6ed41f,RET-000106,BI-01967,Good,Damaged cover
ec1c8234-aabf-4296-8e1c-6fdef64ef093,RET-000107,BI-02692,Good,Damaged cover
f214e342-9d1f-4d5a-9d14-50c462503d63,RET-000108,BI-01088,Good,Late return
a3123cff-be72-40de-9d2f-a0d485333b25,RET-000108,BI-00870,Good,
dedff077-a7e1-4835-a79c-4c54ebc663ec,RET-000108,BI-00306,Good,
686a017b-4035-415b-999d-48790c6bb75f,RET-000109,BI-00881,Good,
2b963439-e4b4-48af-b4b8-68855798b634,RET-000109,BI-01395,Good,
171bd549-ba04-4e21-8582-ea7fef140457,RET-000109,BI-02445,Good,
479f43ff-846e-49f3-9d3b-20c3f5aaa61c,RET-000110,BI-01098,Good,
4223c0b7-6c73-42cd-af31-edb581bb125c,RET-000111,BI-02885,Good,Late return
232c1dfe-8b95-4637-b2b3-e59318911456,RET-000111,BI-00059,Good,Damaged cover
d8e523ec-da82-4778-85c8-609b323fb05b,RET-000112,BI-01265,Good,
447bb014-835e-42ea-b093-3fd1856d6993,RET-000112,BI-02454,Good,
309fc961-f82a-4274-bbe9-34e6bbcdee58,RET-000112,BI-02352,Good,Damaged cover
6c8da22c-d99b-489d-a8bf-a3dff9d3d4bd,RET-000113,BI-02366,Good,
965b1f82-f013-4ed7-bfc3-6707762f645f,RET-000113,BI-00098,Good,
ec7ea1f2-b75f-40f9-9464-21cd7b8b42f7,RET-000113,BI-01938,Good,Damaged cover
de194c85-cfa0-47f5-88e3-53c2bb9f0e7a,RET-000114,BI-01102,Good,
67e8fe2c-a6a9-4033-92a9-d9980193dc07,RET-000115,BI-00807,Good,
7fd1d2e4-3cbe-4371-8342-5232e271a6bf,RET-000115,BI-01940,Good,
0a4827a1-4bd4-4284-83d0-0f20e99838da,RET-000116,BI-02108,Good,Damaged cover
f970641a-9d32-4e0f-a3e3-070f4c104aed,RET-000117,BI-02570,Good,Damaged cover
306cf8fb-0171-4481-b28e-6d4389aafd37,RET-000117,BI-01621,Good,
a43f803f-9a11-4de5-9efa-f4a9e53913a1,RET-000118,BI-01176,Good,
bc8896ed-251d-4d8b-8344-7137251ae992,RET-000118,BI-01735,Good,Late return
e7f52c18-1dda-4d10-aa20-76d073c196c4,RET-000118,BI-02637,Good,Late return
badaa4b7-a16f-48a1-9254-4cbd27c330cd,RET-000119,BI-02721,Good,Damaged cover
285164a7-d2c9-407f-84e7-08dfeb1d7a69,RET-000120,BI-01251,Good,
c640fa34-993f-455f-9cff-3f52f01a2a8f,RET-000121,BI-01589,Good,
9dd957e9-bbc8-4c8d-95f0-3509feaa2f60,RET-000122,BI-02799,Good,Late return
73b91387-b957-4f38-aabe-4410b2247056,RET-000123,BI-02040,Good,
a196baab-784d-4abb-872a-242d06c7eeed,RET-000123,BI-02762,Good,
54645966-c2dd-4a79-9baa-584be64904e5,RET-000124,BI-01429,Good,Damaged cover
27a648e0-0a5b-4c8e-8857-ae698de86fd9,RET-000124,BI-01937,Good,Late return
dc56a39e-a0cd-400e-bd04-1c2332169f0c,RET-000125,BI-02695,Good,Late return
2957c0e6-e990-4e59-a34d-98db83061139,RET-000126,BI-01756,Good,
74fa242e-700f-4e5f-8fb2-6eaba0abc276,RET-000127,BI-02892,Good,Damaged cover
5cef3609-96a3-400b-a719-a3e8f30ac753,RET-000127,BI-00771,Good,
dbeb5b0c-bb94-40cf-afa4-b6ffcd02c113,RET-000127,BI-02620,Good,
303aeaaa-7bee-47a9-a10c-f95c0e51669c,RET-000128,BI-02412,Good,
7ef97b45-4d6d-425d-b497-ffe990cb3789,RET-000128,BI-01667,Good,
0273fd0a-7a8e-4f2d-bf95-96dcc6868c02,RET-000129,BI-00982,Good,Late return
0fd98fbe-550e-4e23-8edb-e58b34fb9ad2,RET-000130,BI-00906,Good,Damaged cover
0099bd9b-14ef-4c78-99f9-02126e69c27a,RET-000130,BI-01371,Good,
5bf63067-4050-4344-9b9f-5b9b5a364515,RET-000130,BI-02621,Good,
d49393b5-d040-4b76-b9c3-2dcc0790ddb2,RET-000131,BI-00980,Good,Damaged cover
19c5933a-38ac-4faf-b58f-78116104f1f9,RET-000132,BI-01609,Good,Damaged cover
2bea9a5c-975b-41e4-983d-e256109dc241,RET-000133,BI-01864,Good,Late return
084f1a7e-84b9-4675-bd52-0698fb65d760,RET-000133,BI-00578,Good,
4e374b27-6da2-4e59-9cdc-5bee7f50b0ce,RET-000133,BI-02156,Good,Late return
35aa4135-123c-4de6-8c7f-44897aa475d8,RET-000134,BI-00153,Good,Damaged cover
5080c90f-aecd-42f5-9de1-22b3fa001314,RET-000134,BI-00678,Good,
e52abe0a-6eb2-4f9c-a100-c332c37ef22a,RET-000134,BI-01190,Good,
8e20854a-f216-4702-a7e1-3af21c79516e,RET-000135,BI-00721,Good,
b913bc5a-c3ce-4e44-bce4-6df92758094c,RET-000136,BI-00800,Good,
4ff7e249-6dc3-44ec-b423-ca748c1eb3dd,RET-000137,BI-02529,Good,Late return
4f9ec387-b9b4-41b1-8114-21be05e76cde,RET-000138,BI-00193,Good,Damaged cover
13dab864-a775-4103-9720-6a6b68e58da7,RET-000138,BI-00294,Good,Damaged cover
58e24569-c288-4b2d-9974-d0f40f17ccf8,RET-000138,BI-02462,Good,
ec071036-ebc2-4276-86ff-ce9440697dd3,RET-000139,BI-00252,Good,Late return
b44b1d2b-e3fe-4a9a-b524-0dc8fd2227f6,RET-000139,BI-02268,Good,Damaged cover
840e3de6-82e9-43ec-b975-3f6a0716c48a,RET-000139,BI-02911,Good,Late return
f3535ffb-4bcd-41f6-9fc0-1f1532174bff,RET-000140,BI-01728,Good,
7af85b08-ee8e-4a6d-a3ac-c7f2285d1b4b,RET-000140,BI-00594,Good,Late return
8be7d7f9-a820-4761-96d9-98711488ac12,RET-000140,BI-01615,Good,
299fac54-d283-45af-8219-4dfca790718c,RET-000141,BI-02317,Good,
ef55b6be-69ef-47b8-bccc-07da966fd1f0,RET-000141,BI-01482,Good,
8e244d73-8a2b-4121-ba7d-a113798ebc6c,RET-000142,BI-01428,Good,
0d353607-7e9b-4623-a050-c753192b7941,RET-000143,BI-02416,Good,
804e63b5-2974-4805-a8aa-904592608c50,RET-000143,BI-00590,Good,
259091db-a0db-4931-9358-d2b246af67d4,RET-000144,BI-00405,Good,
db827585-f0d1-4381-b997-52d63bd3cecd,RET-000145,BI-00338,Good,Late return
4528d030-1d33-4c07-87fa-172936c6b3a0,RET-000145,BI-00212,Good,
578bff52-1ee6-4976-a4e1-d68ae369459c,RET-000146,BI-00042,Good,
eb0c1e62-8b99-4972-8627-e96ed1c6797f,RET-000147,BI-00468,Good,
f2b376e2-9a2a-4aef-910a-3686a11e6314,RET-000147,BI-00623,Good,
473e4204-183c-4fb7-9039-4f4039078a7e,RET-000148,BI-02525,Good,Damaged cover
712d1edd-21d0-4cbf-a5a1-e495a5c53d58,RET-000148,BI-02951,Good,Damaged cover
8d46ebfe-683f-4adc-a74c-b78aa7c8c9cc,RET-000149,BI-02754,Good,Damaged cover
cbb3f39d-cf9b-4519-b9fd-a90d9b47ec8a,RET-000149,BI-02914,Good,
3686b9b0-6051-44b1-a461-f6f81498c6c6,RET-000150,BI-01156,Good,
06fc63d3-2c48-44af-806f-524ceed022e1,RET-000150,BI-01669,Good,Late return
7b6d13a5-b26b-4465-b0c6-bc1d3ae47fd0,RET-000150,BI-01742,Good,Late return
02e1d8f9-e5ce-47d0-9b49-9f7481959058,RET-000151,BI-00101,Good,
933a84db-9f14-4867-b560-19cb6e91ed11,RET-000152,BI-02665,Good,
66f4ed2e-3e93-4456-b8ba-b29ed338eac0,RET-000152,BI-00954,Good,
6958cc5d-082e-418c-8c07-ddb7337a4c75,RET-000153,BI-00612,Good,
3bd2f5eb-6df6-4404-8c28-06301b5fe685,RET-000154,BI-00796,Good,
e3b79005-65c0-4139-ad97-52e9927f3982,RET-000154,BI-02401,Good,
43f68160-1982-4bbc-826d-52a0c52abe4f,RET-000154,BI-02251,Good,Late return
2c494f46-c44b-42d1-afb8-783e494826c3,RET-000155,BI-00288,Good,Late return
7a734b71-64ac-46da-a1ff-d5c30d7d29c3,RET-000155,BI-02076,Good,Late return
ca4d0ea3-5796-4a08-a1f6-04b702bbd240,RET-000155,BI-02801,Good,
9ac55d54-0cff-47f8-9d73-763f4ee3fd85,RET-000156,BI-01167,Good,Damaged cover
c2d79b65-bba8-4002-84d0-7001fd602f79,RET-000156,BI-00220,Good,Late return
232a1be3-a323-4353-b3c0-625f52764420,RET-000156,BI-00696,Good,
706218e3-22b3-415d-b695-f0e41e9edded,RET-000157,BI-00418,Good,Late return
1f3137b6-9262-4643-9cbe-dbf171259d1f,RET-000157,BI-00300,Good,
f712503f-07a6-4783-a040-b7a82bf210e5,RET-000157,BI-00972,Good,Damaged cover
2933f5fd-6a9b-4ff1-879a-39cc5db39777,RET-000158,BI-00861,Good,Late return
0a32fe6d-2931-4c46-835e-cdf14e495cda,RET-000158,BI-01944,Good,Late return
31b81c9e-8cad-4d5a-8713-8946300fa721,RET-000159,BI-00727,Good,
84609699-8d11-497f-a992-711b35a047fd,RET-000159,BI-01720,Good,
210a404f-6a30-4276-ad78-0cdc6e235360,RET-000159,BI-01382,Good,Damaged cover
