id,adminId,studentId,borrowedAt,dueDate,status
TRX-000038,ADM-002,STD-058,2025-07-16 22:14:27,2025-07-23 22:14:27,Returned
TRX-000039,ADM-004,STD-008,2024-12-16 22:14:27,2024-12-23 22:14:27,Returned
TRX-000040,ADM-002,STD-084,2025-11-18 22:14:27,2025-11-25 22:14:27,Returned
TRX-000041,ADM-002,STD-078,2025-03-26 22:14:27,2025-04-02 22:14:27,Returned
TRX-000042,ADM-005,STD-084,2025-05-18 22:14:27,2025-05-25 22:14:27,Returned
TRX-000043,ADM-002,STD-075,2025-09-14 22:14:27,2025-09-21 22:14:27,Returned
TRX-000044,ADM-003,STD-026,2024-12-27 22:14:27,2025-01-03 22:14:27,Returned
TRX-000045,ADM-004,STD-033,2024-12-23 22:14:27,2024-12-30 22:14:27,Returned
TRX-000046,ADM-005,STD-090,2025-03-23 22:14:27,2025-03-30 22:14:27,Returned
TRX-000047,ADM-005,STD-058,2025-05-09 22:14:27,2025-05-16 22:14:27,Returned
TRX-000048,ADM-004,STD-065,2025-08-23 22:14:27,2025-08-30 22:14:27,Returned
TRX-000049,ADM-001,STD-071,2025-03-03 22:14:27,2025-03-10 22:14:27,Returned
TRX-000050,ADM-001,STD-058,2025-08-03 22:14:27,2025-08-10 22:14:27,Returned
TRX-000051,ADM-005,STD-015,2025-02-18 22:14:27,2025-02-25 22:14:27,Returned
TRX-000052,ADM-001,STD-070,2025-04-24 22:14:27,2025-05-01 22:14:27,Returned
TRX-000053,ADM-004,STD-074,2025-06-16 22:14:27,2025-06-23 22:14:27,Returned
TRX-000054,ADM-002,STD-004,2025-10-13 22:14:27,2025-10-20 22:14:27,Returned
TRX-000055,ADM-002,STD-069,2025-10-20 22:14:27,2025-10-27 22:14:27,Returned
TRX-000056,ADM-001,STD-035,2025-11-06 22:14:27,2025-11-13 22:14:27,Returned
TRX-000057,ADM-003,STD-028,2025-08-16 22:14:27,2025-08-23 22:14:27,Returned
TRX-000058,ADM-004,STD-100,2025-09-04 22:14:27,2025-09-11 22:14:27,Returned
TRX-000059,ADM-002,STD-001,2025-07-06 22:14:27,2025-07-13 22:14:27,Returned
TRX-000060,ADM-004,STD-030,2025-06-06 22:14:27,2025-06-13 22:14:27,Returned
TRX-000061,ADM-001,STD-077,2025-10-04 22:14:27,2025-10-11 22:14:27,Returned
TRX-000062,ADM-002,STD-008,2025-07-22 22:14:27,2025-07-29 22:14:27,Returned
TRX-000063,ADM-004,STD-021,2025-09-16 22:14:27,2025-09-23 22:14:27,Returned
TRX-000064,ADM-003,STD-071,2025-05-22 22:14:27,2025-05-29 22:14:27,Returned
TRX-000065,ADM-002,STD-079,2024-12-20 22:14:27,2024-12-27 22:14:27,Returned
TRX-000066,ADM-005,STD-038,2025-10-13 22:14:27,2025-10-20 22:14:27,Returned
TRX-000067,ADM-001,STD-038,2025-05-24 22:14:27,2025-05-31 22:14:27,Returned
TRX-000068,ADM-004,STD-099,2025-11-26 22:14:27,2025-12-03 22:14:27,Returned
TRX-000069,ADM-004,STD-095,2025-07-25 22:14:27,2025-08-01 22:14:27,Returned
TRX-000070,ADM-004,STD-013,2025-05-15 22:14:27,2025-05-22 22:14:27,Returned
TRX-000071,ADM-004,STD-042,2025-01-01 22:14:27,2025-01-08 22:14:27,Returned
TRX-000072,ADM-001,STD-004,2025-01-28 22:14:27,2025-02-04 22:14:27,Returned
TRX-000073,ADM-002,STD-072,2025-07-15 22:14:27,2025-07-22 22:14:27,Returned
TRX-000074,ADM-004,STD-008,2025-07-16 22:14:27,2025-07-23 22:14:27,Returned
TRX-000075,ADM-004,STD-023,2025-10-24 22:14:27,2025-10-31 22:14:27,Returned
TRX-000076,ADM-002,STD-011,2024-12-05 22:14:27,2024-12-12 22:14:27,Returned
TRX-000077,ADM-003,STD-039,2025-07-12 22:14:27,2025-07-19 22:14:27,Returned
TRX-000078,ADM-002,STD-040,2025-05-30 22:14:27,2025-06-06 22:14:27,Returned
TRX-000079,ADM-004,STD-008,2025-05-15 22:14:27,2025-05-22 22:14:27,Returned
TRX-000080,ADM-001,STD-038,2025-07-29 22:14:27,2025-08-05 22:14:27,Returned
TRX-000081,ADM-001,STD-066,2025-04-02 22:14:27,2025-04-09 22:14:27,Returned
TRX-000082,ADM-005,STD-037,2025-04-24 22:14:27,2025-05-01 22:14:27,Returned
TRX-000083,ADM-001,STD-057,2025-01-02 22:14:27,2025-01-09 22:14:27,Returned
TRX-000084,ADM-003,STD-039,2025-06-18 22:14:27,2025-06-25 22:14:27,Returned
TRX-000085,ADM-001,STD-048,2024-12-13 22:14:27,2024-12-20 22:14:27,Borrowed
TRX-000086,ADM-003,STD-088,2025-08-21 22:14:27,2025-08-28 22:14:27,Returned
TRX-000087,ADM-004,STD-085,2025-10-30 22:14:27,2025-11-06 22:14:27,Returned
TRX-000088,ADM-004,STD-029,2025-10-31 22:14:27,2025-11-07 22:14:27,Returned
TRX-000089,ADM-005,STD-016,2025-01-29 22:14:27,2025-02-05 22:14:27,Returned
TRX-000090,ADM-004,STD-014,2025-01-18 22:14:27,2025-01-25 22:14:27,Returned
TRX-000091,ADM-002,STD-079,2025-09-12 22:14:27,2025-09-19 22:14:27,Returned
TRX-000092,ADM-001,STD-097,2025-03-02 22:14:27,2025-03-09 22:14:27,Returned
TRX-000093,ADM-001,STD-063,2025-04-20 22:14:27,2025-04-27 22:14:27,Returned
TRX-000094,ADM-003,STD-061,2025-01-11 22:14:27,2025-01-18 22:14:27,Returned
TRX-000095,ADM-004,STD-016,2025-06-25 22:14:27,2025-07-02 22:14:27,Returned
TRX-000096,ADM-005,STD-001,2025-04-17 22:14:27,2025-04-24 22:14:27,Returned
TRX-000097,ADM-003,STD-004,2025-02-18 22:14:27,2025-02-25 22:14:27,Returned
TRX-000098,ADM-005,STD-100,2025-07-18 22:14:27,2025-07-25 22:14:27,Returned
TRX-000099,ADM-002,STD-066,2025-05-05 22:14:27,2025-05-12 22:14:27,Returned
TRX-000100,ADM-002,STD-099,2025-04-07 22:14:27,2025-04-14 22:14:27,Returned
TRX-000101,ADM-005,STD-031,2025-09-16 22:14:27,2025-09-23 22:14:27,Returned
TRX-000102,ADM-001,STD-090,2025-05-16 22:14:27,2025-05-23 22:14:27,Returned
TRX-000103,ADM-005,STD-071,2025-11-23 22:14:27,2025-11-30 22:14:27,Returned
TRX-000104,ADM-003,STD-023,2025-02-19 22:14:27,2025-02-26 22:14:27,Returned
TRX-000105,ADM-002,STD-076,2025-04-01 22:14:27,2025-04-08 22:14:27,Returned
TRX-000106,ADM-001,STD-059,2025-04-02 22:14:27,2025-04-09 22:14:27,Returned
TRX-000107,ADM-001,STD-043,2025-10-17 22:14:27,2025-10-24 22:14:27,Returned
TRX-000108,ADM-004,STD-051,2025-01-05 22:14:27,2025-01-12 22:14:27,Returned
TRX-000109,ADM-005,STD-031,2025-06-20 22:14:27,2025-06-27 22:14:27,Returned
TRX-000110,ADM-001,STD-063,2025-08-31 22:14:27,2025-09-07 22:14:27,Returned
TRX-000111,ADM-001,STD-095,2025-09-27 22:14:27,2025-10-04 22:14:27,Returned
TRX-000112,ADM-002,STD-033,2024-12-23 22:14:27,2024-12-30 22:14:27,Returned
TRX-000113,ADM-001,STD-077,2025-05-22 22:14:27,2025-05-29 22:14:27,Returned
TRX-000114,ADM-002,STD-007,2025-05-05 22:14:27,2025-05-12 22:14:27,Returned
TRX-000115,ADM-002,STD-065,2025-06-24 22:14:27,2025-07-01 22:14:27,Returned
TRX-000116,ADM-003,STD-038,2025-08-01 22:14:27,2025-08-08 22:14:27,Returned
TRX-000117,ADM-001,STD-004,2024-12-20 22:14:27,2024-12-27 22:14:27,Returned
TRX-000118,ADM-003,STD-076,2025-01-08 22:14:27,2025-01-15 22:14:27,Returned
TRX-000119,ADM-002,STD-051,2025-02-05 22:14:27,2025-02-12 22:14:27,Returned
TRX-000120,ADM-004,STD-062,2025-03-10 22:14:27,2025-03-17 22:14:27,Returned
TRX-000121,ADM-004,STD-003,2025-09-16 22:14:27,2025-09-23 22:14:27,Returned
TRX-000122,ADM-001,STD-066,2025-07-28 22:14:27,2025-08-04 22:14:27,Returned
TRX-000123,ADM-003,STD-045,2025-08-24 22:14:27,2025-08-31 22:14:27,Returned
TRX-000124,ADM-005,STD-097,2025-10-04 22:14:27,2025-10-11 22:14:27,Returned
TRX-000125,ADM-003,STD-085,2025-10-13 22:14:27,2025-10-20 22:14:27,Returned
TRX-000126,ADM-005,STD-081,2025-04-10 22:14:27,2025-04-17 22:14:27,Returned
TRX-000127,ADM-002,STD-090,2025-09-08 22:14:27,2025-09-15 22:14:27,Returned
TRX-000128,ADM-005,STD-090,2025-10-11 22:14:27,2025-10-18 22:14:27,Returned
TRX-000129,ADM-003,STD-008,2025-01-12 22:14:27,2025-01-19 22:14:27,Returned
TRX-000130,ADM-002,STD-088,2025-07-25 22:14:27,2025-08-01 22:14:27,Returned
TRX-000131,ADM-003,STD-060,2025-08-04 22:14:27,2025-08-11 22:14:27,Returned
TRX-000132,ADM-004,STD-090,2025-09-10 22:14:27,2025-09-17 22:14:27,Returned
TRX-000133,ADM-003,STD-057,2025-03-11 22:14:27,2025-03-18 22:14:27,Returned
TRX-000134,ADM-002,STD-100,2025-10-25 22:14:27,2025-11-01 22:14:27,Returned
TRX-000135,ADM-005,STD-080,2025-02-18 22:14:27,2025-02-25 22:14:27,Returned
TRX-000136,ADM-001,STD-022,2025-09-22 22:14:27,2025-09-29 22:14:27,Returned
TRX-000137,ADM-003,STD-063,2025-09-28 22:14:27,2025-10-05 22:14:27,Returned
TRX-000138,ADM-003,STD-095,2025-03-11 22:14:27,2025-03-18 22:14:27,Returned
TRX-000139,ADM-004,STD-031,2025-04-18 22:14:27,2025-04-25 22:14:27,Returned
TRX-000140,ADM-004,STD-064,2025-02-09 22:14:27,2025-02-16 22:14:27,Borrowed
TRX-000141,ADM-002,STD-055,2025-03-01 22:14:27,2025-03-08 22:14:27,Returned
TRX-000142,ADM-005,STD-086,2025-07-19 22:14:27,2025-07-26 22:14:27,Returned
TRX-000143,ADM-004,STD-092,2025-04-11 22:14:27,2025-04-18 22:14:27,Returned
TRX-000144,ADM-003,STD-010,2025-10-27 22:14:27,2025-11-03 22:14:27,Returned
TRX-000145,ADM-004,STD-095,2024-12-18 22:14:27,2024-12-25 22:14:27,Returned
TRX-000146,ADM-005,STD-028,2025-07-26 22:14:27,2025-08-02 22:14:27,Returned
TRX-000147,ADM-002,STD-076,2025-08-30 22:14:27,2025-09-06 22:14:27,Returned
TRX-000148,ADM-004,STD-058,2024-12-30 22:14:27,2025-01-06 22:14:27,Returned
TRX-000149,ADM-005,STD-035,2025-07-19 22:14:27,2025-07-26 22:14:27,Returned
TRX-000150,ADM-001,STD-023,2025-03-21 22:14:27,2025-03-28 22:14:27,Returned
TRX-000151,ADM-005,STD-033,2025-11-05 22:14:27,2025-11-12 22:14:27,Returned
TRX-000152,ADM-005,STD-015,2025-01-13 22:14:27,2025-01-20 22:14:27,Returned
TRX-000153,ADM-004,STD-007,2025-03-21 22:14:27,2025-03-28 22:14:27,Returned
TRX-000154,ADM-003,STD-045,2025-10-12 22:14:27,2025-10-19 22:14:27,Returned
TRX-000155,ADM-005,STD-076,2025-01-30 22:14:27,2025-02-06 22:14:27,Returned
TRX-000156,ADM-004,STD-055,2025-05-15 22:14:27,2025-05-22 22:14:27,Returned
TRX-000157,ADM-005,STD-071,2025-07-12 22:14:27,2025-07-19 22:14:27,Returned
TRX-000158,ADM-001,STD-087,2025-09-20 22:14:27,2025-09-27 22:14:27,Returned
TRX-000159,ADM-002,STD-015,2025-11-15 22:14:27,2025-11-22 22:14:27,Returned
TRX-000160,ADM-004,STD-028,2025-02-06 22:14:27,2025-02-13 22:14:27,Returned
TRX-000161,ADM-002,STD-081,2025-10-10 22:14:27,2025-10-17 22:14:27,Returned
TRX-000162,ADM-002,STD-061,2025-02-01 22:14:27,2025-02-08 22:14:27,Returned
TRX-000163,ADM-005,STD-028,2025-06-10 22:14:27,2025-06-17 22:14:27,Returned
TRX-000164,ADM-005,STD-031,2025-10-15 22:14:27,2025-10-22 22:14:27,Returned
TRX-000165,ADM-005,STD-036,2025-04-04 22:14:27,2025-04-11 22:14:27,Returned
TRX-000166,ADM-003,STD-033,2025-05-14 22:14:27,2025-05-21 22:14:27,Returned
TRX-000167,ADM-003,STD-094,2025-01-23 22:14:27,2025-01-30 22:14:27,Borrowed
TRX-000168,ADM-002,STD-028,2025-03-23 22:14:27,2025-03-30 22:14:27,Returned
TRX-000169,ADM-005,STD-002,2025-11-12 22:14:27,2025-11-19 22:14:27,Returned
TRX-000170,ADM-005,STD-038,2025-04-16 22:14:27,2025-04-23 22:14:27,Returned
TRX-000171,ADM-004,STD-072,2025-09-10 22:14:27,2025-09-17 22:14:27,Returned
TRX-000172,ADM-003,STD-041,2025-07-14 22:14:27,2025-07-21 22:14:27,Returned
TRX-000173,ADM-002,STD-042,2025-09-04 22:14:27,2025-09-11 22:14:27,Returned
TRX-000174,ADM-005,STD-062,2025-01-05 22:14:27,2025-01-12 22:14:27,Returned
TRX-000175,ADM-005,STD-064,2025-05-26 22:14:27,2025-06-02 22:14:27,Returned
TRX-000176,ADM-005,STD-033,2025-02-25 22:14:27,2025-03-04 22:14:27,Returned
TRX-000177,ADM-002,STD-027,2025-10-05 22:14:27,2025-10-12 22:14:27,Returned
TRX-000178,ADM-005,STD-005,2025-07-19 22:14:27,2025-07-26 22:14:27,Returned
TRX-000179,ADM-001,STD-024,2025-08-08 22:14:27,2025-08-15 22:14:27,Returned
TRX-000180,ADM-003,STD-015,2025-07-20 22:14:27,2025-07-27 22:14:27,Returned
TRX-000181,ADM-005,STD-081,2025-07-26 22:14:27,2025-08-02 22:14:27,Returned
TRX-000182,ADM-001,STD-085,2025-04-10 22:14:27,2025-04-17 22:14:27,Returned
TRX-000183,ADM-004,STD-024,2025-11-25 22:14:27,2025-12-02 22:14:27,Returned
TRX-000184,ADM-004,STD-036,2025-03-13 22:14:27,2025-03-20 22:14:27,Returned
TRX-000185,ADM-002,STD-094,2025-10-09 22:14:27,2025-10-16 22:14:27,Returned
TRX-000186,ADM-002,STD-069,2024-12-21 22:14:27,2024-12-28 22:14:27,Returned
TRX-000187,ADM-003,STD-098,2025-07-01 22:14:27,2025-07-08 22:14:27,Returned
TRX-000188,ADM-003,STD-001,2025-05-01 22:14:27,2025-05-08 22:14:27,Returned
TRX-000189,ADM-002,STD-085,2025-01-21 22:14:27,2025-01-28 22:14:27,Returned
TRX-000190,ADM-001,STD-051,2025-02-22 22:14:27,2025-03-01 22:14:27,Returned
TRX-000191,ADM-004,STD-078,2025-05-19 22:14:27,2025-05-26 22:14:27,Returned
TRX-000192,ADM-001,STD-043,2025-11-06 22:14:27,2025-11-13 22:14:27,Returned
TRX-000193,ADM-001,STD-089,2025-03-22 22:14:27,2025-03-29 22:14:27,Returned
TRX-000194,ADM-002,STD-081,2025-01-15 22:14:27,2025-01-22 22:14:27,Returned
TRX-000195,ADM-005,STD-064,2025-10-01 22:14:27,2025-10-08 22:14:27,Returned
TRX-000196,ADM-005,STD-020,2024-12-16 22:14:27,2024-12-23 22:14:27,Returned
TRX-000197,ADM-003,STD-025,2025-03-21 22:14:27,2025-03-28 22:14:27,Returned
TRX-000198,ADM-003,STD-044,2025-11-19 22:14:27,2025-11-26 22:14:27,Returned
TRX-000199,ADM-002,STD-078,2025-04-27 22:14:27,2025-05-04 22:14:27,Returned
TRX-000200,ADM-001,STD-005,2025-10-17 22:14:27,2025-10-24 22:14:27,Returned
TRX-000201,ADM-003,STD-021,2024-12-27 22:14:27,2025-01-03 22:14:27,Returned
TRX-000202,ADM-002,STD-064,2025-07-09 22:14:27,2025-07-16 22:14:27,Returned
TRX-000203,ADM-005,STD-093,2025-07-20 22:14:27,2025-07-27 22:14:27,Returned
TRX-000204,ADM-003,STD-092,2025-06-24 22:14:27,2025-07-01 22:14:27,Returned
TRX-000205,ADM-003,STD-025,2024-12-30 22:14:27,2025-01-06 22:14:27,Returned
TRX-000206,ADM-005,STD-033,2025-02-13 22:14:27,2025-02-20 22:14:27,Returned
TRX-000207,ADM-005,STD-001,2025-10-03 22:14:27,2025-10-10 22:14:27,Returned
TRX-000208,ADM-005,STD-069,2025-09-08 22:14:27,2025-09-15 22:14:27,Returned
TRX-000209,ADM-001,STD-028,2025-11-08 22:14:27,2025-11-15 22:14:27,Returned
TRX-000210,ADM-002,STD-054,2024-12-30 22:14:27,2025-01-06 22:14:27,Returned
TRX-000211,ADM-002,STD-045,2025-03-09 22:14:27,2025-03-16 22:14:27,Returned
TRX-000212,ADM-005,STD-071,2025-10-16 22:14:27,2025-10-23 22:14:27,Returned
TRX-000213,ADM-004,STD-079,2025-01-13 22:14:27,2025-01-20 22:14:27,Returned
TRX-000214,ADM-002,STD-005,2025-03-17 22:14:27,2025-03-24 22:14:27,Returned
TRX-000215,ADM-004,STD-088,2025-06-16 22:14:27,2025-06-23 22:14:27,Returned
TRX-000216,ADM-004,STD-061,2025-10-31 22:14:27,2025-11-07 22:14:27,Returned
TRX-000217,ADM-005,STD-093,2025-05-13 22:14:27,2025-05-20 22:14:27,Returned
TRX-000218,ADM-005,STD-083,2025-05-17 22:14:27,2025-05-24 22:14:27,Returned
TRX-000219,ADM-002,STD-038,2025-01-21 22:14:27,2025-01-28 22:14:27,Returned
TRX-000220,ADM-003,STD-006,2025-02-16 22:14:27,2025-02-23 22:14:27,Returned
TRX-000221,ADM-003,STD-001,2025-08-08 22:14:27,2025-08-15 22:14:27,Returned
TRX-000222,ADM-003,STD-032,2025-08-01 22:14:27,2025-08-08 22:14:27,Returned
TRX-000223,ADM-002,STD-072,2025-10-29 22:14:27,2025-11-05 22:14:27,Returned
TRX-000224,ADM-003,STD-006,2025-03-06 22:14:27,2025-03-13 22:14:27,Returned
TRX-000225,ADM-002,STD-060,2025-11-18 22:14:27,2025-11-25 22:14:27,Returned
TRX-000226,ADM-004,STD-090,2025-10-09 22:14:27,2025-10-16 22:14:27,Returned
TRX-000227,ADM-002,STD-091,2025-10-29 22:14:27,2025-11-05 22:14:27,Returned
TRX-000228,ADM-002,STD-012,2025-09-26 22:14:27,2025-10-03 22:14:27,Returned
TRX-000229,ADM-004,STD-021,2024-12-14 22:14:27,2024-12-21 22:14:27,Returned
TRX-000230,ADM-004,STD-019,2025-07-06 22:14:27,2025-07-13 22:14:27,Returned
TRX-000231,ADM-003,STD-061,2025-04-17 22:14:27,2025-04-24 22:14:27,Returned
TRX-000232,ADM-002,STD-086,2025-04-20 22:14:27,2025-04-27 22:14:27,Returned
TRX-000233,ADM-001,STD-063,2025-09-26 22:14:27,2025-10-03 22:14:27,Returned
TRX-000234,ADM-005,STD-010,2025-08-05 22:14:27,2025-08-12 22:14:27,Returned
TRX-000235,ADM-002,STD-042,2025-09-16 22:14:27,2025-09-23 22:14:27,Returned
TRX-000236,ADM-003,STD-023,2025-02-12 22:14:27,2025-02-19 22:14:27,Returned
TRX-000237,ADM-002,STD-074,2025-07-26 22:14:27,2025-08-02 22:14:27,Returned
TRX-000238,ADM-002,STD-032,2025-08-02 22:14:27,2025-08-09 22:14:27,Returned
TRX-000239,ADM-005,STD-014,2024-12-03 22:14:27,2024-12-10 22:14:27,Returned
TRX-000240,ADM-005,STD-008,2025-02-28 22:14:27,2025-03-07 22:14:27,Returned
TRX-000241,ADM-001,STD-027,2025-08-12 22:14:27,2025-08-19 22:14:27,Returned
TRX-000242,ADM-001,STD-090,2025-02-26 22:14:27,2025-03-05 22:14:27,Returned
TRX-000243,ADM-002,STD-013,2024-12-26 22:14:27,2025-01-02 22:14:27,Returned
TRX-000244,ADM-005,STD-005,2025-02-09 22:14:27,2025-02-16 22:14:27,Returned
TRX-000245,ADM-002,STD-062,2025-05-06 22:14:27,2025-05-13 22:14:27,Returned
TRX-000246,ADM-003,STD-005,2025-02-12 22:14:27,2025-02-19 22:14:27,Returned
TRX-000247,ADM-004,STD-051,2024-12-22 22:14:27,2024-12-29 22:14:27,Returned
TRX-000248,ADM-002,STD-001,2025-05-25 22:14:27,2025-06-01 22:14:27,Returned
TRX-000249,ADM-002,STD-051,2025-08-21 22:14:27,2025-08-28 22:14:27,Returned
TRX-000250,ADM-003,STD-053,2025-04-02 22:14:27,2025-04-09 22:14:27,Returned
TRX-000251,ADM-005,STD-028,2025-05-02 22:14:27,2025-05-09 22:14:27,Returned
TRX-000252,ADM-004,STD-032,2025-09-11 22:14:27,2025-09-18 22:14:27,Returned
TRX-000253,ADM-004,STD-011,2025-08-12 22:14:27,2025-08-19 22:14:27,Returned
TRX-000254,ADM-003,STD-053,2025-05-02 22:14:27,2025-05-09 22:14:27,Returned
TRX-000255,ADM-003,STD-045,2025-04-21 22:14:27,2025-04-28 22:14:27,Returned
TRX-000256,ADM-003,STD-067,2025-08-15 22:14:27,2025-08-22 22:14:27,Returned
TRX-000257,ADM-004,STD-076,2025-10-27 22:14:27,2025-11-03 22:14:27,Returned
TRX-000258,ADM-005,STD-006,2025-07-12 22:14:27,2025-07-19 22:14:27,Borrowed
TRX-000259,ADM-003,STD-078,2025-05-15 22:14:27,2025-05-22 22:14:27,Returned
TRX-000260,ADM-004,STD-077,2025-02-02 22:14:27,2025-02-09 22:14:27,Returned
TRX-000261,ADM-001,STD-071,2025-08-27 22:14:27,2025-09-03 22:14:27,Returned
TRX-000262,ADM-003,STD-098,2025-02-23 22:14:27,2025-03-02 22:14:27,Returned
TRX-000263,ADM-003,STD-092,2025-07-17 22:14:27,2025-07-24 22:14:27,Returned
TRX-000264,ADM-001,STD-099,2025-02-03 22:14:27,2025-02-10 22:14:27,Returned
TRX-000265,ADM-005,STD-065,2025-11-01 22:14:27,2025-11-08 22:14:27,Returned
TRX-000266,ADM-004,STD-005,2025-04-11 22:14:27,2025-04-18 22:14:27,Returned
TRX-000267,ADM-003,STD-032,2025-06-26 22:14:27,2025-07-03 22:14:27,Returned
TRX-000268,ADM-005,STD-052,2025-07-20 22:14:27,2025-07-27 22:14:27,Returned
TRX-000269,ADM-003,STD-023,2025-10-28 22:14:27,2025-11-04 22:14:27,Returned
TRX-000270,ADM-003,STD-036,2025-11-19 22:14:27,2025-11-26 22:14:27,Returned
TRX-000271,ADM-003,STD-042,2025-09-10 22:14:27,2025-09-17 22:14:27,Returned
TRX-000272,ADM-005,STD-059,2024-12-08 22:14:27,2024-12-15 22:14:27,Returned
TRX-000273,ADM-002,STD-085,2025-09-09 22:14:27,2025-09-16 22:14:27,Returned
TRX-000274,ADM-004,STD-064,2025-01-18 22:14:27,2025-01-25 22:14:27,Returned
TRX-000275,ADM-005,STD-010,2025-09-16 22:14:27,2025-09-23 22:14:27,Returned
TRX-000276,ADM-005,STD-066,2025-07-23 22:14:27,2025-07-30 22:14:27,Returned
TRX-000277,ADM-001,STD-088,2025-01-22 22:14:27,2025-01-29 22:14:27,Returned
TRX-000278,ADM-004,STD-010,2025-11-08 22:14:27,2025-11-15 22:14:27,Returned
TRX-000279,ADM-001,STD-079,2025-06-03 22:14:27,2025-06-10 22:14:27,Returned
TRX-000280,ADM-003,STD-014,2025-11-23 22:14:27,2025-11-30 22:14:27,Returned
TRX-000281,ADM-005,STD-026,2025-01-13 22:14:27,2025-01-20 22:14:27,Returned
TRX-000282,ADM-004,STD-024,2025-07-07 22:14:27,2025-07-14 22:14:27,Returned
TRX-000283,ADM-003,STD-042,2025-07-09 22:14:27,2025-07-16 22:14:27,Returned
TRX-000284,ADM-004,STD-081,2025-02-07 22:14:27,2025-02-14 22:14:27,Returned
TRX-000285,ADM-003,STD-048,2025-08-23 22:14:27,2025-08-30 22:14:27,Returned
TRX-000286,ADM-003,STD-050,2025-05-25 22:14:27,2025-06-01 22:14:27,Returned
TRX-000287,ADM-001,STD-011,2025-03-04 22:14:27,2025-03-11 22:14:27,Returned
TRX-000288,ADM-002,STD-066,2025-02-28 22:14:27,2025-03-07 22:14:27,Returned
TRX-000289,ADM-002,STD-001,2025-03-03 22:14:27,2025-03-10 22:14:27,Returned
TRX-000290,ADM-005,STD-066,2025-11-13 22:14:27,2025-11-20 22:14:27,Returned
