id,borrowId,bookItemId,conditionAtBorrow
868daf2a-2595-42a1-ab18-d56db3badcd9,TRX-000011,BI-01765,New
d6bb33c7-ff70-4f17-9425-035560ba1e67,TRX-000011,BI-02226,Good
b01d1b36-e072-4e14-816f-f32aaea97584,TRX-000011,BI-01369,Good
aae547fc-323b-4b03-ad0e-c32f2b4175f0,TRX-000012,BI-00867,Fair
9c1bf5a0-1f4c-403f-91ed-a74f7715157e,TRX-000012,BI-00964,Poor
8ef72a07-8eab-4dac-baef-d6b744fcfb7c,TRX-000012,BI-02081,Good
d149b3c2-3949-4c1b-b9c7-ac8d7884538c,TRX-000013,BI-02769,Fair
da0ddc1e-1a8d-4b19-bbba-43dff1beebaa,TRX-000014,BI-00869,New
92d3a09c-8bd1-4eac-95d5-7f37e91193a2,TRX-000015,BI-02763,New
9040e858-ae7b-4f3a-b365-97852960313b,TRX-000016,BI-01901,Good
e8b4df31-d1eb-40a2-ad39-d806639b5c6f,TRX-000016,BI-01198,Poor
db0146da-896a-4258-88a5-8a2ae5116d62,TRX-000017,BI-01318,New
06cd7c61-638b-46bd-b025-c637778f55c8,TRX-000017,BI-02997,Poor
531ca4ab-8062-4dc0-8586-07ddce1b0f66,TRX-000017,BI-01571,Poor
40c7f9cf-761a-4919-a3f9-bbe83338d715,TRX-000018,BI-01186,New
1837e752-1b88-4bca-bb6e-6b510c586475,TRX-000018,BI-01884,Fair
34996df8-cea4-456c-9205-fa1193a30024,TRX-000019,BI-01490,Fair
a6ffea27-c6d7-467d-8735-74ec2be131c0,TRX-000019,BI-01544,Good
3378d45f-7c2a-4837-819e-5ac6ecd6729f,TRX-000020,BI-00416,Good
c7cdb94c-0888-49dd-82f4-9e6f6b21621e,TRX-000021,BI-01589,Fair
23984fa3-b270-4a84-b68f-aedeff5eba07,TRX-000022,BI-01594,Poor
fb31dfe4-e639-4b87-8961-dcee04ebe130,TRX-000022,BI-01047,New
179a37b5-182b-4b40-96fe-d0c542d90fcd,TRX-000023,BI-01451,Fair
fd4876d2-0526-46cf-8b24-da506004d6b6,TRX-000023,BI-01203,Good
e091060c-7258-4757-8922-85e095971d21,TRX-000024,BI-01114,Good
355f6e72-148b-4ff2-af32-49d686c5f25a,TRX-000024,BI-01365,Fair
0436ca9b-6021-4b9f-8b43-e1ddf7183b8f,TRX-000025,BI-02960,Good
e8e1d8dd-8c11-4bf8-8500-6b21dc43b7b2,TRX-000025,BI-01258,Poor
2d6be2f6-311c-4627-b73b-16d17216d7b0,TRX-000025,BI-02612,Fair
f59204b6-eb7b-4396-89c2-016a66eb4ace,TRX-000026,BI-02450,Poor
e908c60e-112f-4b04-b919-78d7188b7a58,TRX-000026,BI-00860,Good
ad14b727-dac1-4997-8635-70db50592b16,TRX-000027,BI-02561,Fair
fdaa579d-b217-4193-9ef2-1c1cd9cf164a,TRX-000028,BI-00912,Poor
92cd1b44-5e97-4b4f-91d2-cf079a446712,TRX-000028,BI-01070,Good
9723c600-119c-455e-ac43-3e03855be77a,TRX-000028,BI-00516,Poor
3efd6999-5419-4281-b791-bd0eabd4c8a0,TRX-000029,BI-02288,Fair
35416efd-90a0-4a4c-96bf-8e661a6321db,TRX-000029,BI-00913,New
e140f83f-6f8b-4b40-a933-51a9658abdb4,TRX-000029,BI-02019,Good
cb8fa4eb-9264-40b8-b9af-874b81d75c88,TRX-000030,BI-00101,Poor
1eab7a80-58f7-428e-8760-6661318a055b,TRX-000031,BI-01432,Good
ad08af3c-4139-4ba1-a156-50af7cadbfe6,TRX-000031,BI-00865,Poor
ddc2be96-af2d-4fbf-915b-2c68e5965a6d,TRX-000031,BI-00172,Fair
44f32183-5f31-4053-9070-c9333ecac2c1,TRX-000032,BI-02976,New
492f62c9-c33c-4e7f-9639-0dc106a88f33,TRX-000032,BI-01271,Fair
2d564f06-5f33-4de1-bd82-e384b184d5de,TRX-000033,BI-00657,Fair
3d3ebf95-3321-4301-9a07-e63462100c15,TRX-000033,BI-02687,New
9e2a5485-ce66-4b5a-949c-5e377a13c105,TRX-000034,BI-00900,New
30fd6fa7-20f2-43cc-b5dc-577ce889f574,TRX-000035,BI-02453,Good
2b8d2d0e-b894-4c4d-bea6-dc2fe6503bce,TRX-000035,BI-01896,Good
05a0205f-c0d7-4fe1-95bb-3b5099951813,TRX-000035,BI-01932,Fair
b9c0727f-c8f0-4cd4-af22-a5e9c7eaff1c,TRX-000036,BI-02574,Fair
38bb0c4c-3add-41c6-ad6b-f2405c1549d9,TRX-000036,BI-02440,Poor
3d369319-bbb8-4b5a-b0d0-4a7af92bf652,TRX-000037,BI-01920,Fair
2bc8436d-052a-469e-b111-8a08dc35c7e5,TRX-000037,BI-01891,New
c7454bbf-72c1-4cb5-b54c-b40e2d594807,TRX-000037,BI-00583,Poor
30fbaf9e-c2a9-4903-a825-5b4e64662ed0,TRX-000038,BI-02929,Fair
20447f4d-c612-4993-8243-b0f2510a68d9,TRX-000038,BI-02604,Fair
811b2d66-4a60-41f1-8796-c4f9f8924344,TRX-000039,BI-00391,New
83b7de37-ec37-42ae-bbf3-e645d5e16c8f,TRX-000039,BI-00368,New
d93d8d65-0ed8-48aa-b442-1e4d0041aff3,TRX-000040,BI-01527,Fair
1b48976a-b8e2-4efc-8e08-3e1ae9322179,TRX-000040,BI-02580,Fair
69c2f593-f43a-48c8-a82f-d6b64217ec00,TRX-000040,BI-02800,Good
302254a6-2ca0-4d57-bde2-fbf4dd4389b6,TRX-000041,BI-01652,Good
c0f76616-0003-4932-ac77-9f5060a19ee9,TRX-000041,BI-00845,Poor
4b3fed1b-c1c2-45b0-a49a-047593cdda09,TRX-000041,BI-00372,Poor
a05b8ddc-63ff-45c0-8004-c938e56909b0,TRX-000042,BI-02632,New
45525be7-de61-4216-9ab5-cb89e31286c4,TRX-000042,BI-01553,New
5a66c6ee-ef2b-4b5d-8ea5-2291c7fb6a7d,TRX-000042,BI-02577,Poor
e5e44fbc-5a12-49f3-866a-08ba7067dcd4,TRX-000043,BI-01591,New
fb33a4a4-1c95-4236-9ce3-b2e7ce1eb531,TRX-000043,BI-00305,New
3b5c7349-6edf-48f5-8dd6-f197a8bf4c45,TRX-000043,BI-02214,Good
45c379a5-89c8-4e2d-b91c-3ef4f4f987df,TRX-000044,BI-02499,New
e575d056-0b33-4175-8fa4-309334818896,TRX-000045,BI-01613,New
2f029119-a60c-4249-b927-a89cee45b3e2,TRX-000046,BI-02158,Good
5e731fa6-cb6d-4697-9dda-26b71fdfabb8,TRX-000047,BI-00345,Poor
61ece607-1aed-468a-b354-2bebe3404b7a,TRX-000047,BI-00681,Fair
3e6fcbb4-7e3d-43c7-95e6-ea4651924818,TRX-000048,BI-00073,New
daf657de-5ec6-403f-b0e2-249efa3c35be,TRX-000049,BI-01433,Fair
eb88bdb5-20de-414f-97ad-d96baefa5123,TRX-000050,BI-01416,Good
aef08bed-c43b-4f2f-a96a-2ceace3ad297,TRX-000051,BI-01541,Fair
49fb1e49-8f97-4b6b-9fcb-d95f4a4673ea,TRX-000051,BI-02972,New
4b23f20a-e214-43d8-b103-6b8903715d23,TRX-000052,BI-00766,New
9e6cb091-552c-4e8f-8c16-b46547cffc40,TRX-000052,BI-01936,Poor
c60151a3-7c32-4abd-bbba-9d3cddd6b1f5,TRX-000053,BI-00483,Fair
4b6c0b00-bb26-48bb-acc7-b82371e08a63,TRX-000053,BI-01882,Fair
750bc3c2-5227-45e6-ab00-fe5c30c97f0d,TRX-000053,BI-01438,Fair
4eaf64d6-b174-4248-b594-f866003e37a9,TRX-000054,BI-01440,New
398c47a1-c4c3-411b-86e3-2925d85d47e0,TRX-000055,BI-01876,New
fae819c9-e1f9-4ac2-974a-6321583fb9bb,TRX-000055,BI-00773,Fair
a953339d-7509-4bf4-bdf0-6ce5a2d2b3a1,TRX-000056,BI-02658,Fair
9511a79b-bc45-40b5-ad81-8c0f82700354,TRX-000056,BI-01145,New
c5721d20-4c3d-4226-bec8-f57775be6042,TRX-000057,BI-02784,New
acf10a52-6a1b-42e7-a40d-81ba772d9c3a,TRX-000058,BI-01494,Good
d78ff577-001b-4936-b900-e3ac54f0e409,TRX-000058,BI-01095,Fair
07362515-c5b7-46d8-8119-d2585c99fcd1,TRX-000058,BI-02485,New
75d2639e-53f6-475b-8674-6cef233f41b8,TRX-000059,BI-02489,New
f92967e2-38a7-4263-a165-1e3c030257c7,TRX-000059,BI-02084,Fair
945721d3-313d-41bd-a90b-221e2916a4ff,TRX-000060,BI-02570,New
bff69d58-4f18-4cbc-911d-db12f227b5d5,TRX-000060,BI-01621,New
1ce310b5-9128-4ca9-8e17-89e9f41f0e51,TRX-000061,BI-01502,Poor
dd5030e1-f4e6-45e9-ab91-ab949b484a32,TRX-000061,BI-00615,Fair
3b10cc84-67ff-43e4-97bc-c19e3002f038,TRX-000061,BI-01888,Poor
0ec31364-1a0f-4b23-b704-d530a9449f73,TRX-000062,BI-02428,Fair
498dc783-e86b-49cd-8653-81db952a2902,TRX-000062,BI-02047,Good
4188e6eb-d211-43bb-8b90-9ce31475b668,TRX-000062,BI-01546,Poor
c7585655-7c8b-4755-89d9-692e27417f7a,TRX-000063,BI-00603,Fair
cee34c1b-6d82-4a67-9eb1-46ff31cdd2af,TRX-000063,BI-01807,New
7de7954b-5e8d-41b0-8cac-808190f30cae,TRX-000064,BI-01957,Poor
09edd896-46b6-4510-b801-16b88a621ef7,TRX-000064,BI-02423,New
bfa188d9-051b-4f31-9fbb-441df0fd3582,TRX-000065,BI-01701,Good
bd3deb55-f428-42c2-93d6-8d19704db4d5,TRX-000065,BI-00247,Good
ddc9dbed-a2ba-43a4-abd6-2ab88d117554,TRX-000065,BI-01994,Poor
733b81cf-18f9-4743-ab13-73410b302322,TRX-000066,BI-02207,Poor
14e05129-e99f-4ad6-9424-4e03307382e6,TRX-000066,BI-01343,Good
a2249d48-6398-4918-aa69-8a5843776cd3,TRX-000066,BI-02222,Poor
1420e4e0-0edb-44d9-8e96-55f17fe980d6,TRX-000067,BI-02662,Poor
39413cf1-4469-4776-a284-97059c72fb33,TRX-000068,BI-02666,Fair
38bd74e9-f5f3-4eec-9438-7c80b4f7d287,TRX-000068,BI-02584,Good
573774cb-a665-4e5b-a1a9-5f59bca66a6d,TRX-000069,BI-01642,New
76fca23d-7e8f-4929-999c-fb3c04c023c6,TRX-000069,BI-00949,Fair
aaf28daa-9cc0-4718-a20f-c47b7a9dd097,TRX-000070,BI-00231,New
289062a5-485a-4d09-8017-b500573df899,TRX-000070,BI-01253,Fair
da00eb62-bef1-4526-8a5c-3fef115b1908,TRX-000070,BI-00713,New
4ced63ba-943d-4204-8686-d49258267629,TRX-000071,BI-01014,Good
d6047288-2704-4d06-9e02-4a30b52f9ff6,TRX-000071,BI-01069,New
bc54c8bf-ae3e-4858-abf1-22330a058fa4,TRX-000072,BI-00496,New
775ea4c3-8357-4846-9312-91b10b7db7fe,TRX-000072,BI-00267,Fair
379ba5b5-8ba9-469f-8984-f4db7af61194,TRX-000073,BI-02270,Fair
c1dc5de6-6382-454b-95c8-b20ca40bd25d,TRX-000074,BI-00746,Good
29092731-708b-44bb-a777-41f0cd6aa911,TRX-000075,BI-00369,Poor
9e8d8a98-ca37-4ece-8750-2fe616d140a5,TRX-000075,BI-00621,Good
3c0c0489-58fc-444e-95b8-4b016d52a6cf,TRX-000075,BI-01292,Poor
0d503ac5-693d-4ada-a899-7dc7c6d63950,TRX-000076,BI-01347,Good
9aecb00d-2e3e-4328-8e10-18e29fc32c6a,TRX-000077,BI-02052,Fair
baa76c92-07d1-41d0-b0ae-bc4a1ed000c1,TRX-000078,BI-00359,Good
dc0f72db-687c-4b1b-92dc-2d177f974684,TRX-000078,BI-00574,Good
bc7e08ee-6c76-4666-83f0-a28ca807ee58,TRX-000079,BI-01135,Good
f0ab0d85-2698-4318-951f-b95095267cd5,TRX-000080,BI-01580,Good
9f059005-e787-4c09-8f02-1243bc61758d,TRX-000080,BI-02869,Good
bcd2ddbf-562f-456a-98a4-48ded2272a30,TRX-000080,BI-02958,Fair
19d1c062-5ee9-485e-8551-f739556e0a9c,TRX-000081,BI-01310,Good
386282a3-0e35-4ab5-8e6a-132c5029f8b5,TRX-000081,BI-02110,Fair
e1b4a8da-598a-421f-be8d-d10a0a9f1233,TRX-000081,BI-00535,Good
7d966d3f-0ecd-4f56-8be5-aa8fee50864d,TRX-000082,BI-01641,Poor
79935c36-7fa3-498e-b3e3-6dfe9b87b280,TRX-000083,BI-00830,Poor
45c0214f-48ad-4629-a8c7-2fd07955de7f,TRX-000084,BI-02127,Good
dcd6ab95-caf4-41f4-a0d8-4d695afd11ae,TRX-000085,BI-01796,Fair
2450c2e5-3c60-494f-a39c-96595a9bcfd7,TRX-000085,BI-02414,Fair
64c19911-7965-47d3-aec2-c3a3a809f2f8,TRX-000086,BI-02741,New
6ab53777-309d-48e7-90a2-243e6a930342,TRX-000086,BI-00605,Good
3607b7bc-627a-417a-90fd-13bbc4252233,TRX-000087,BI-02630,New
e4f11085-b9fc-43cf-b9af-098784a4030e,TRX-000087,BI-00971,Fair
5d225d97-f02c-42f1-82e3-7e00c4843456,TRX-000088,BI-01625,Poor
a938700d-335e-42a0-81dd-f9e20a34279f,TRX-000088,BI-00464,Poor
6c6dfee0-3324-4ee2-87c8-27988be83916,TRX-000088,BI-00812,Good
a47ad522-a291-4723-b96d-973e17098d5f,TRX-000089,BI-00031,Fair
8c989053-bce3-4cf9-b96c-ce357a41889c,TRX-000089,BI-00614,Fair
90781108-2374-407d-bc1e-651a752625cd,TRX-000090,BI-01376,Good
2991fcdd-7f26-40db-9261-7e85e1a88f8d,TRX-000091,BI-02256,New
d50e9169-6690-4edb-a7d9-f71b3e8ff4b9,TRX-000092,BI-02920,New
919cb8f5-22f5-49cb-8039-2a7880191041,TRX-000092,BI-01745,Good
c6910352-bf8d-4c22-8f5a-700c36814d98,TRX-000093,BI-02512,Good
b151354f-6c88-487a-927f-4458caf42961,TRX-000094,BI-02768,Poor
93e03e3e-0b49-498d-9875-763ae60b366b,TRX-000094,BI-02335,Good
0edf4139-32dd-4a4d-a50c-81f962a09c1f,TRX-000094,BI-02332,Poor
6744cc16-2877-4012-a34f-6fdb60094c98,TRX-000095,BI-01337,Poor
62dd6814-373e-4ecf-b19f-ced7d7430ba2,TRX-000095,BI-01985,New
7cefd82f-e40d-4e5a-af63-6a34d30d9620,TRX-000096,BI-01080,Poor
9e197d1c-17f0-453c-8b19-fc135bd815b3,TRX-000096,BI-01686,Fair
3bd3b7a7-55c0-4334-94dc-ba42bfacb6b5,TRX-000096,BI-02883,New
4d17d0c0-746e-49b9-9e03-47ba81900e20,TRX-000097,BI-01109,Fair
927f50f8-048b-4dfe-8325-56b2ebd5f7c3,TRX-000097,BI-00102,Good
c153389a-edab-4835-b176-e7e2526498ae,TRX-000097,BI-00928,Fair
e048124e-bacb-4c52-bd6c-f6372d631e43,TRX-000098,BI-00724,Good
1f855c69-acb3-4309-bd0f-bd01fbb0999d,TRX-000098,BI-01670,Good
c94f84f7-ecd3-4f82-bac4-23968f636cf8,TRX-000098,BI-00168,Fair
f8cca1d8-12a0-41dc-9e3c-52358cc8b855,TRX-000099,BI-00246,New
a5c9afa3-2f65-4f6d-aaf0-c3650fafd34a,TRX-000100,BI-00137,Fair
c2f88e55-4a82-4adc-9be8-abe9915596d8,TRX-000101,BI-02722,Good
b0e5160b-3222-4613-bf18-a0f69528f658,TRX-000101,BI-01569,New
b4ed2498-ac69-4817-ae0e-1322076b5646,TRX-000101,BI-00770,Fair
d6522c70-7264-4a16-ab01-bd764d366122,TRX-000102,BI-02121,Fair
15cd4250-a492-47bf-a609-d69b4648c1f6,TRX-000103,BI-02368,Good
ac161f3a-6318-4519-b2ee-a4ec8c324601,TRX-000104,BI-02412,New
73b33b2f-dcb2-4dba-838f-1e7642b939e1,TRX-000104,BI-01667,Good
ca1a9793-8c84-47c2-85b6-ec0fb255fbff,TRX-000105,BI-02954,Fair
61a70b38-3409-4889-8150-e0eaffd2f097,TRX-000105,BI-00184,Fair
0e0efe47-16f0-4738-b4b0-ef47dc4fd517,TRX-000105,BI-01059,New
f2eb5653-1528-4da4-ae3d-414ca10fc669,TRX-000106,BI-02220,Fair
c6b3489f-58f5-4d67-9945-257bc1a43029,TRX-000106,BI-01094,Poor
d29e560d-1921-4a06-93ce-7dd3d09d57e2,TRX-000107,BI-02009,Poor
29092c31-0a39-4644-9232-dec68a257d91,TRX-000108,BI-02378,New
a98564b3-3619-42e1-854d-adbbc8c60e87,TRX-000108,BI-01824,New
db6db431-a752-4e81-b2c2-24d0fcde3856,TRX-000108,BI-02135,New
610f62f9-da3b-46a0-b39d-8b65dd1d6e9d,TRX-000109,BI-02228,Poor
9ab1a5ba-391e-460b-a9af-3ada6fd8853e,TRX-000110,BI-01199,New
98d4bd7b-bfff-47c9-b246-9625531e6aa0,TRX-000110,BI-00242,Good
e7162c52-e5e7-4746-bb41-a06ca9317699,TRX-000110,BI-00985,New
bfbf5e7d-e58c-4e08-b051-9c11e8d6f0cc,TRX-000111,BI-02359,Poor
690ae6e6-0995-4886-9258-9a6b098f5edd,TRX-000111,BI-00151,New
7fb89c6d-4017-410e-8df4-8a5c3478f5ac,TRX-000111,BI-02850,New
6b24933f-b67f-4e40-8369-8f6294d4219b,TRX-000112,BI-02264,New
01b45ee3-7226-47b0-88ae-558ec9b3ae5b,TRX-000112,BI-02863,Fair
d7d35e21-50d7-4710-b2ba-4c2c3cf77b05,TRX-000112,BI-02560,Fair
b006c4ae-6984-4959-bd71-caa013b52fe9,TRX-000113,BI-02176,Fair
b7687fc7-05b1-43ad-a9c7-2cf76b644bbe,TRX-000113,BI-00297,Poor
01b5b2b1-b29d-4c50-806c-926500121e8e,TRX-000114,BI-00191,New
c51dd279-270f-4e89-b4dd-c4f7d60a4031,TRX-000114,BI-02007,Fair
b9684540-838d-47a9-aa9c-507370fa2572,TRX-000115,BI-00470,New
53728f10-9cd4-414a-ad16-1a2e425a4207,TRX-000115,BI-01826,Good
078992eb-591e-41b4-aa11-54d398555c78,TRX-000116,BI-00736,New
47186cbf-a4b9-410c-831f-256545902623,TRX-000117,BI-02149,Good
70623b02-4549-4d94-8e32-9d7d76c91cd3,TRX-000118,BI-00546,Fair
115c64b0-e3fc-4658-aae4-30be9a41e522,TRX-000118,BI-00859,New
de3b1e81-498c-4064-9c46-09e02f96aa29,TRX-000119,BI-02145,Fair
cb8e3a45-ae16-45ca-a76c-d157193e547f,TRX-000119,BI-02237,Fair
5cb5abf7-8f3e-44b8-8c75-8f3c76e29fe7,TRX-000120,BI-01902,Fair
75f6af49-f145-4e45-866e-3bfce4c03a79,TRX-000120,BI-00086,Fair
13628ab2-5481-49c8-8903-f01caf7d9688,TRX-000120,BI-00074,Good
6c7acbd9-216d-4833-b0a1-d825f3aa4187,TRX-000121,BI-00802,Fair
5490bc5f-1e39-4d8e-851d-9597c081e3be,TRX-000122,BI-01167,Good
085d2b06-925d-4cc7-935f-4398ba967439,TRX-000122,BI-00220,New
81aed7d8-6253-423c-9846-c4aeded72eda,TRX-000122,BI-00696,New
2d09ef43-8a00-4807-9407-0710cc9f6887,TRX-000123,BI-02124,Good
a4c6b9cf-f2b5-419f-9497-dfeb35d2f6bb,TRX-000123,BI-01230,Fair
ba87a408-1ea8-4f5b-97df-37156a99f9ad,TRX-000124,BI-00509,New
72e4d0d6-19c3-4b8d-83f3-322d36dd2a28,TRX-000124,BI-02426,Good
088b4f19-a82e-43f1-9d04-6ffdca2c37d1,TRX-000125,BI-02882,Good
c6f1192f-5e0c-4879-9870-587d23dcc8cc,TRX-000125,BI-02048,New
3b8c513b-4d31-4966-a8e4-9efa7a9a9ee3,TRX-000126,BI-01108,Good
d1d50997-4eb6-4efc-a855-895b8cb19d39,TRX-000127,BI-02964,New
3ed34adc-cf0d-4e1e-af83-8a2d3fdfe6b2,TRX-000127,BI-00400,Poor
0a20a6ed-8f60-47ce-a16b-023de61dd424,TRX-000127,BI-02538,Poor
e30e3ebd-74c7-4a1b-b6da-cabf369a4275,TRX-000128,BI-02144,New
076d9537-bf94-47c2-828a-162a0b4652cc,TRX-000129,BI-01333,Poor
c19de568-7931-43d8-92d7-b67a38cfdbbe,TRX-000129,BI-01762,Good
3c3f29a0-9a5e-4343-8d9e-bd2c9aa04ed5,TRX-000129,BI-00779,Poor
09032810-9742-44cb-95c9-7d2e725adf7e,TRX-000130,BI-02521,Poor
5d08d131-99cb-4f35-949b-d54e37165408,TRX-000130,BI-00070,New
b18b30d4-ed08-4e38-a7b1-ab3f435b9bb7,TRX-000131,BI-02847,Fair
b403fcc6-acea-4917-bea3-2722c028c943,TRX-000131,BI-01579,Fair
3f8fbfe4-4fb0-4fac-81d5-8c468bd07bd7,TRX-000131,BI-01421,Fair
a8575298-ece2-4a56-82ef-7348fa6546c1,TRX-000132,BI-00607,Poor
75bb49a7-edec-4775-ba1c-3df013589454,TRX-000132,BI-02917,New
1d5e46cf-f8f3-46ac-b229-995e68fdaf0f,TRX-000133,BI-01548,Good
e4c1e558-b884-41f3-ba82-287fd02983b9,TRX-000133,BI-00278,New
6a30e190-5b8f-49dd-a6ff-135c80016274,TRX-000133,BI-00352,Good
ec9d0ae6-c0d0-44ea-8f7b-f00df07ef5d1,TRX-000134,BI-02173,New
5c08d7ee-f543-4a8d-b552-e1214bba488b,TRX-000134,BI-01766,Good
20bbbcea-3631-4577-ad6d-1bc29c21d3eb,TRX-000134,BI-01269,New
3d53d3ab-7cc1-454c-a574-3a9f5e883c50,TRX-000135,BI-02097,Good
9bffcbb2-3461-4512-b668-1352711d1083,TRX-000135,BI-02472,Good
3ac2a0fa-453b-48fb-a868-38ead1a93379,TRX-000136,BI-01714,New
d559b22c-2398-4235-915c-6c6149abfff7,TRX-000137,BI-00675,Fair
373c51bd-3495-476a-94db-07a7038b7d59,TRX-000137,BI-01844,Good
7bf16e32-30db-4d92-a996-4e47b8c59a64,TRX-000138,BI-02031,New
db14c368-f86f-4603-a7de-8e44a4bb6456,TRX-000138,BI-01247,New
a894f428-1f94-4e9f-a0b5-05756f8e9cc7,TRX-000139,BI-00868,Good
74a77c42-3400-43da-a5a4-bbffc8b6a06c,TRX-000139,BI-02134,New
8084308d-db60-4fa4-9bc9-b3636b2b18f8,TRX-000139,BI-00767,Poor
119d8449-debc-403e-8b64-41543a97c7ad,TRX-000140,BI-00920,Fair
ca984016-d8fb-41ca-a523-d571d16fc352,TRX-000140,BI-00189,Poor
b033657d-8887-4fc1-a06b-11cdc831b16d,TRX-000141,BI-01746,Poor
15a51bc5-32f4-414f-95b8-8bc60e2f1358,TRX-000141,BI-00587,Poor
ea5a7df2-d281-4542-8c90-8c9187d5a9bb,TRX-000142,BI-02938,Poor
192d2727-e82c-4d38-8f01-ad380d40d199,TRX-000142,BI-00130,Fair
c0282e72-484d-4f68-aef2-f9bf1fc03d7a,TRX-000142,BI-02682,Good
f855cf71-7dfb-4419-afb7-9ec7ced77e50,TRX-000143,BI-00804,Poor
a47efa41-271a-459c-b011-adb3039a111d,TRX-000144,BI-02594,Fair
d3db85f5-a37e-4f5c-aa36-4784b33c3059,TRX-000145,BI-02136,Good
8f901214-a55a-411c-94d0-4471457ff068,TRX-000146,BI-00298,New
3de1755d-a687-4147-b412-5834b04853f0,TRX-000147,BI-00938,Good
5548a27d-0ab3-49fb-b334-c1960c388257,TRX-000147,BI-00007,Good
d3ed7e45-ac11-4f03-a5b3-ad82995e79e8,TRX-000148,BI-02904,Good
bd6239f9-d09b-4bcc-a4ab-9d1f7fad5250,TRX-000149,BI-02105,Fair
884e74a5-c39d-4fd3-876c-0ee06d6c3e81,TRX-000149,BI-02812,New
8efd53b2-c7f5-4e65-87d4-5b01bbaf970b,TRX-000149,BI-02212,Fair
049947ba-c25f-42ac-a7cc-73b2abf39f8c,TRX-000150,BI-02999,Fair
4e84c124-f046-4bd2-ad18-34ea5e87d294,TRX-000151,BI-01436,Good
7556b3a7-7be1-4001-b11d-b4c44526e337,TRX-000152,BI-01226,Poor
894c0ba9-6f48-41a5-8ada-3e92f3d1bd63,TRX-000152,BI-01263,Poor
33ba732a-c6ed-4154-8e67-c5e811ffa364,TRX-000153,BI-00552,Poor
c21f5b20-5040-4db2-a8b8-508b04d70dd5,TRX-000153,BI-00280,Fair
a5924620-4047-44d2-9e95-35a7b06168c6,TRX-000154,BI-02758,Poor
79fb1bf9-3052-4ef9-9210-ad6ed892ded5,TRX-000154,BI-01520,Good
43e3eba2-93b4-445d-9128-f076de90a7d3,TRX-000155,BI-01914,Poor
b4684f83-3455-4a5f-bde5-4aaa06d7df80,TRX-000156,BI-00950,Fair
a9735fa4-e3ea-49e4-b378-a9a83d3387c2,TRX-000156,BI-00237,New
9a9af664-98af-4547-8f3b-0d2aca9e87c7,TRX-000157,BI-00141,Good
016d44c3-bfb5-4ff5-a02b-a02925097fd0,TRX-000157,BI-01500,Fair
f4fac6f8-56f4-4b23-a991-9142f271f5f7,TRX-000157,BI-02608,Poor
16d965df-8cea-4d95-92c1-f13d47525832,TRX-000158,BI-02383,New
a835833c-efc1-4078-9250-81d0d3cc76d1,TRX-000158,BI-02223,Poor
a0e4f05c-d57d-44c6-a7cd-ab6a8f02b741,TRX-000158,BI-01103,Good
ba8816e7-0c7d-41d3-a4b5-46ad8f38b6be,TRX-000159,BI-02966,New
9a440c69-4124-49fe-85f3-ae202b7bf0a4,TRX-000159,BI-01332,Good
42cc7980-4923-46fb-bd1d-be1bc074e10a,TRX-000159,BI-00035,Fair
0f74d6fb-edd4-4393-b239-c171cedc6f0b,TRX-000160,BI-00672,New
