id,masterId,code,condition,status,createdAt
BI-00080,BM-0255,INV-000080,Poor,Available,2023-07-15 22:14:27
BI-00081,BM-0051,INV-000081,Good,Available,2024-12-28 22:14:27
BI-00082,BM-0804,INV-000082,New,Available,2025-07-11 22:14:27
BI-00083,BM-0321,INV-000083,Poor,Available,2024-03-28 22:14:27
BI-00084,BM-0953,INV-000084,Good,Available,2023-04-09 22:14:27
BI-00085,BM-0875,INV-000085,Fair,Available,2025-06-13 22:14:27
BI-00086,BM-0311,INV-000086,Fair,Available,2025-07-05 22:14:27
BI-00087,BM-0053,INV-000087,Poor,Available,2023-08-13 22:14:27
BI-00088,BM-0527,INV-000088,New,Available,2025-03-23 22:14:27
BI-00089,BM-0615,INV-000089,Poor,Available,2024-02-15 22:14:27
BI-00090,BM-0029,INV-000090,Fair,Available,2023-08-09 22:14:27
BI-00091,BM-0303,INV-000091,Poor,Available,2025-02-18 22:14:27
BI-00092,BM-0942,INV-000092,Good,Available,2024-10-10 22:14:27
BI-00093,BM-0241,INV-000093,Good,Available,2023-06-05 22:14:27
BI-00094,BM-0038,INV-000094,New,Available,2024-01-12 22:14:27
BI-00095,BM-0176,INV-000095,Fair,Available,2024-09-05 22:14:27
BI-00096,BM-0038,INV-000096,New,Available,2023-07-01 22:14:27
BI-00097,BM-0082,INV-000097,New,Available,2025-03-07 22:14:27
BI-00098,BM-0667,INV-000098,Fair,Available,2023-08-20 22:14:27
BI-00099,BM-0361,INV-000099,New,Available,2024-05-15 22:14:27
BI-00100,BM-0812,INV-000100,New,Available,2023-09-18 22:14:27
BI-00101,BM-0172,INV-000101,Poor,Available,2025-02-09 22:14:27
BI-00102,BM-0607,INV-000102,Good,Available,2024-12-31 22:14:27
BI-00103,BM-0571,INV-000103,Good,Available,2023-04-12 22:14:27
BI-00104,BM-0518,INV-000104,Good,Available,2024-09-06 22:14:27
BI-00105,BM-0262,INV-000105,Fair,Available,2025-07-18 22:14:27
BI-00106,BM-0609,INV-000106,Fair,Available,2023-12-10 22:14:27
BI-00107,BM-0413,INV-000107,New,Available,2024-07-30 22:14:27
BI-00108,BM-0126,INV-000108,Fair,Available,2024-04-10 22:14:27
BI-00109,BM-0290,INV-000109,Good,Available,2023-12-09 22:14:27
BI-00110,BM-0001,INV-000110,Poor,Available,2024-11-23 22:14:27
BI-00111,BM-0124,INV-000111,Poor,Available,2024-12-16 22:14:27
BI-00112,BM-0497,INV-000112,Fair,Available,2024-10-18 22:14:27
BI-00113,BM-0173,INV-000113,Poor,Available,2023-05-10 22:14:27
BI-00114,BM-0046,INV-000114,Fair,Available,2024-08-05 22:14:27
BI-00115,BM-0636,INV-000115,Fair,Available,2023-03-29 22:14:27
BI-00116,BM-0019,INV-000116,Good,Available,2025-02-06 22:14:27
BI-00117,BM-0192,INV-000117,Good,Available,2025-06-07 22:14:27
BI-00118,BM-0822,INV-000118,Fair,Available,2023-06-08 22:14:27
BI-00119,BM-0456,INV-000119,Good,Available,2024-05-02 22:14:27
BI-00120,BM-0261,INV-000120,Fair,Available,2024-01-24 22:14:27
BI-00121,BM-0913,INV-000121,Good,Available,2024-10-14 22:14:27
BI-00122,BM-0769,INV-000122,New,Available,2024-04-09 22:14:27
BI-00123,BM-0344,INV-000123,Fair,Available,2024-06-09 22:14:27
BI-00124,BM-0333,INV-000124,New,Available,2023-06-30 22:14:27
BI-00125,BM-0491,INV-000125,Fair,Available,2024-01-25 22:14:27
BI-00126,BM-0378,INV-000126,New,Available,2024-05-20 22:14:27
BI-00127,BM-0360,INV-000127,Good,Available,2023-05-23 22:14:27
BI-00128,BM-0200,INV-000128,Good,Available,2025-05-20 22:14:27
BI-00129,BM-0861,INV-000129,New,Available,2023-09-01 22:14:27
BI-00130,BM-0695,INV-000130,Fair,Available,2024-05-29 22:14:27
BI-00131,BM-0146,INV-000131,Poor,Available,2024-09-24 22:14:27
BI-00132,BM-0576,INV-000132,Fair,Available,2024-05-14 22:14:27
BI-00133,BM-0631,INV-000133,New,Available,2023-06-16 22:14:27
BI-00134,BM-0682,INV-000134,Poor,Available,2025-02-25 22:14:27
BI-00135,BM-0127,INV-000135,Poor,Available,2024-12-15 22:14:27
BI-00136,BM-0278,INV-000136,Poor,Available,2024-05-13 22:14:27
BI-00137,BM-0653,INV-000137,Fair,Available,2024-09-27 22:14:27
BI-00138,BM-0706,INV-000138,New,Available,2024-05-15 22:14:27
BI-00139,BM-0615,INV-000139,Poor,Available,2024-08-15 22:14:27
BI-00140,BM-0314,INV-000140,Fair,Available,2025-06-10 22:14:27
BI-00141,BM-0312,INV-000141,Good,Available,2024-06-17 22:14:27
BI-00142,BM-0277,INV-000142,Fair,Available,2025-03-11 22:14:27
BI-00143,BM-0928,INV-000143,Good,Available,2023-07-14 22:14:27
BI-00144,BM-0439,INV-000144,Fair,Available,2025-08-19 22:14:27
BI-00145,BM-0576,INV-000145,Good,Available,2024-05-15 22:14:27
BI-00146,BM-0199,INV-000146,Poor,Available,2024-06-20 22:14:27
BI-00147,BM-0543,INV-000147,Fair,Available,2024-04-07 22:14:27
BI-00148,BM-0409,INV-000148,New,Available,2024-10-29 22:14:27
BI-00149,BM-0041,INV-000149,New,Available,2024-12-01 22:14:27
BI-00150,BM-0214,INV-000150,Poor,Available,2025-07-26 22:14:27
BI-00151,BM-0478,INV-000151,New,Available,2024-05-18 22:14:27
BI-00152,BM-0662,INV-000152,Poor,Available,2025-02-18 22:14:27
BI-00153,BM-0053,INV-000153,Fair,Available,2025-02-06 22:14:27
BI-00154,BM-0736,INV-000154,Fair,Available,2024-10-08 22:14:27
BI-00155,BM-0283,INV-000155,Fair,Available,2023-08-22 22:14:27
BI-00156,BM-0994,INV-000156,Poor,Available,2023-03-18 22:14:27
BI-00157,BM-0341,INV-000157,Good,Available,2025-04-14 22:14:27
BI-00158,BM-0560,INV-000158,New,Available,2023-06-27 22:14:27
BI-00159,BM-0479,INV-000159,Fair,Available,2025-01-01 22:14:27
BI-00160,BM-0785,INV-000160,New,Available,2025-03-04 22:14:27
BI-00161,BM-0147,INV-000161,New,Available,2023-08-09 22:14:27
BI-00162,BM-0830,INV-000162,Fair,Available,2025-06-28 22:14:27
BI-00163,BM-0087,INV-000163,Good,Available,2024-10-21 22:14:27
BI-00164,BM-0388,INV-000164,Fair,Available,2025-02-20 22:14:27
BI-00165,BM-0707,INV-000165,Good,Available,2025-02-05 22:14:27
BI-00166,BM-0277,INV-000166,Fair,Available,2025-04-27 22:14:27
BI-00167,BM-0402,INV-000167,Good,Available,2024-09-17 22:14:27
BI-00168,BM-0987,INV-000168,Fair,Available,2025-04-07 22:14:27
BI-00169,BM-0281,INV-000169,New,Available,2023-11-10 22:14:27
BI-00170,BM-0064,INV-000170,Good,Available,2024-04-21 22:14:27
BI-00171,BM-0114,INV-000171,Good,Available,2024-12-05 22:14:27
BI-00172,BM-0683,INV-000172,Fair,Available,2025-06-10 22:14:27
BI-00173,BM-0323,INV-000173,New,Available,2025-02-16 22:14:27
BI-00174,BM-0345,INV-000174,Poor,Available,2024-06-02 22:14:27
BI-00175,BM-0394,INV-000175,Fair,Available,2025-01-08 22:14:27
BI-00176,BM-0292,INV-000176,Poor,Available,2024-09-08 22:14:27
BI-00177,BM-0413,INV-000177,Fair,Available,2024-05-31 22:14:27
BI-00178,BM-0889,INV-000178,Good,Available,2023-03-08 22:14:27
BI-00179,BM-0767,INV-000179,Fair,Available,2025-05-18 22:14:27
BI-00180,BM-0859,INV-000180,Fair,Available,2024-07-14 22:14:27
BI-00181,BM-0702,INV-000181,Good,Available,2024-05-24 22:14:27
BI-00182,BM-0818,INV-000182,Fair,Available,2025-04-02 22:14:27
BI-00183,BM-0174,INV-000183,Poor,Available,2023-06-23 22:14:27
BI-00184,BM-0700,INV-000184,Fair,Available,2024-05-13 22:14:27
BI-00185,BM-0559,INV-000185,Fair,Available,2024-10-08 22:14:27
BI-00186,BM-0723,INV-000186,New,Available,2025-06-07 22:14:27
BI-00187,BM-0645,INV-000187,New,Available,2023-11-25 22:14:27
BI-00188,BM-0399,INV-000188,Fair,Available,2024-02-03 22:14:27
BI-00189,BM-0067,INV-000189,Poor,Borrowed,2024-01-19 22:14:27
BI-00190,BM-0439,INV-000190,Good,Available,2023-03-23 22:14:27
BI-00191,BM-0817,INV-000191,New,Available,2023-12-21 22:14:27
BI-00192,BM-0275,INV-000192,New,Available,2023-10-09 22:14:27
BI-00193,BM-0760,INV-000193,Fair,Available,2025-03-20 22:14:27
BI-00194,BM-0638,INV-000194,Good,Available,2024-11-14 22:14:27
BI-00195,BM-0608,INV-000195,Fair,Available,2023-12-27 22:14:27
BI-00196,BM-0355,INV-000196,Fair,Available,2025-06-07 22:14:27
BI-00197,BM-0314,INV-000197,Poor,Available,2025-02-03 22:14:27
BI-00198,BM-0045,INV-000198,Good,Available,2024-12-05 22:14:27
BI-00199,BM-0650,INV-000199,Poor,Available,2024-11-30 22:14:27
BI-00200,BM-0313,INV-000200,New,Available,2024-03-27 22:14:27
BI-00201,BM-0928,INV-000201,Poor,Available,2024-03-15 22:14:27
BI-00202,BM-0566,INV-000202,Good,Available,2024-01-17 22:14:27
BI-00203,BM-0871,INV-000203,Good,Available,2023-06-25 22:14:27
BI-00204,BM-0809,INV-000204,Good,Available,2025-05-31 22:14:27
BI-00205,BM-0587,INV-000205,New,Available,2023-09-01 22:14:27
BI-00206,BM-0379,INV-000206,Poor,Available,2025-02-07 22:14:27
BI-00207,BM-0082,INV-000207,Poor,Available,2023-10-11 22:14:27
BI-00208,BM-0289,INV-000208,Fair,Available,2023-07-07 22:14:27
BI-00209,BM-0861,INV-000209,Good,Available,2024-02-21 22:14:27
BI-00210,BM-0634,INV-000210,Poor,Available,2023-10-10 22:14:27
BI-00211,BM-0594,INV-000211,Fair,Available,2024-04-06 22:14:27
BI-00212,BM-0237,INV-000212,Fair,Available,2025-02-23 22:14:27
BI-00213,BM-0862,INV-000213,Good,Available,2023-11-09 22:14:27
BI-00214,BM-0552,INV-000214,Fair,Available,2023-09-06 22:14:27
BI-00215,BM-0818,INV-000215,New,Available,2024-03-31 22:14:27
BI-00216,BM-0538,INV-000216,Fair,Available,2023-07-31 22:14:27
BI-00217,BM-0999,INV-000217,Good,Available,2023-11-09 22:14:27
BI-00218,BM-0020,INV-000218,New,Available,2024-12-05 22:14:27
BI-00219,BM-0597,INV-000219,Poor,Available,2025-04-18 22:14:27
BI-00220,BM-0650,INV-000220,New,Available,2025-07-12 22:14:27
BI-00221,BM-0664,INV-000221,Fair,Available,2024-07-24 22:14:27
BI-00222,BM-0650,INV-000222,New,Available,2024-05-23 22:14:27
BI-00223,BM-0907,INV-000223,Good,Available,2025-02-18 22:14:27
BI-00224,BM-0194,INV-000224,Fair,Available,2025-01-09 22:14:27
BI-00225,BM-0710,INV-000225,New,Available,2023-10-22 22:14:27
BI-00226,BM-0031,INV-000226,New,Available,2024-09-27 22:14:27
BI-00227,BM-0599,INV-000227,Fair,Available,2025-06-06 22:14:27
BI-00228,BM-0671,INV-000228,New,Available,2025-08-08 22:14:27
BI-00229,BM-0921,INV-000229,Good,Available,2024-05-09 22:14:27
BI-00230,BM-0709,INV-000230,New,Available,2025-03-27 22:14:27
BI-00231,BM-0267,INV-000231,New,Available,2023-08-17 22:14:27
BI-00232,BM-0595,INV-000232,Fair,Available,2024-03-01 22:14:27
BI-00233,BM-0055,INV-000233,Fair,Available,2023-09-26 22:14:27
BI-00234,BM-0901,INV-000234,Fair,Available,2023-07-14 22:14:27
BI-00235,BM-0015,INV-000235,Good,Available,2025-01-27 22:14:27
BI-00236,BM-0038,INV-000236,Good,Available,2024-01-14 22:14:27
BI-00237,BM-0397,INV-000237,New,Available,2023-10-10 22:14:27
BI-00238,BM-0166,INV-000238,Fair,Available,2023-08-17 22:14:27
BI-00239,BM-0737,INV-000239,New,Available,2024-01-07 22:14:27
BI-00240,BM-0117,INV-000240,Good,Available,2025-04-02 22:14:27
BI-00241,BM-0392,INV-000241,New,Available,2023-11-05 22:14:27
BI-00242,BM-0629,INV-000242,Good,Available,2025-04-11 22:14:27
BI-00243,BM-0232,INV-000243,Poor,Available,2025-08-13 22:14:27
BI-00244,BM-0123,INV-000244,New,Available,2025-05-08 22:14:27
BI-00245,BM-0713,INV-000245,New,Available,2023-12-14 22:14:27
BI-00246,BM-0796,INV-000246,New,Available,2024-07-11 22:14:27
BI-00247,BM-0241,INV-000247,Good,Available,2024-07-08 22:14:27
BI-00248,BM-0014,INV-000248,Good,Available,2025-03-14 22:14:27
BI-00249,BM-0955,INV-000249,Fair,Available,2023-12-20 22:14:27
BI-00250,BM-0577,INV-000250,New,Available,2024-06-30 22:14:27
BI-00251,BM-0934,INV-000251,Poor,Available,2025-03-26 22:14:27
BI-00252,BM-0582,INV-000252,Fair,Available,2025-05-16 22:14:27
BI-00253,BM-0632,INV-000253,Fair,Available,2024-10-12 22:14:27
BI-00254,BM-0958,INV-000254,New,Available,2024-04-30 22:14:27
BI-00255,BM-0711,INV-000255,New,Available,2023-08-19 22:14:27
BI-00256,BM-0883,INV-000256,Good,Available,2024-02-23 22:14:27
BI-00257,BM-0664,INV-000257,Poor,Available,2025-03-31 22:14:27
BI-00258,BM-0451,INV-000258,New,Available,2025-01-02 22:14:27
BI-00259,BM-0455,INV-000259,Good,Available,2024-08-30 22:14:27
BI-00260,BM-0375,INV-000260,New,Available,2025-01-07 22:14:27
BI-00261,BM-0435,INV-000261,Poor,Available,2024-08-03 22:14:27
BI-00262,BM-0256,INV-000262,Good,Available,2023-04-18 22:14:27
BI-00263,BM-0861,INV-000263,New,Available,2023-03-13 22:14:27
BI-00264,BM-0960,INV-000264,Good,Available,2023-09-23 22:14:27
BI-00265,BM-0389,INV-000265,New,Available,2023-08-16 22:14:27
BI-00266,BM-0175,INV-000266,Fair,Available,2024-05-03 22:14:27
BI-00267,BM-0491,INV-000267,Fair,Available,2025-03-12 22:14:27
BI-00268,BM-0654,INV-000268,New,Available,2025-03-04 22:14:27
BI-00269,BM-0424,INV-000269,Poor,Available,2024-01-15 22:14:27
BI-00270,BM-0719,INV-000270,New,Available,2024-05-04 22:14:27
BI-00271,BM-0611,INV-000271,Good,Available,2023-09-05 22:14:27
BI-00272,BM-0950,INV-000272,Good,Available,2023-07-02 22:14:27
BI-00273,BM-0094,INV-000273,Poor,Available,2024-04-03 22:14:27
BI-00274,BM-0078,INV-000274,New,Available,2024-11-18 22:14:27
BI-00275,BM-0669,INV-000275,Poor,Available,2023-08-14 22:14:27
BI-00276,BM-0145,INV-000276,Fair,Available,2024-11-06 22:14:27
BI-00277,BM-0113,INV-000277,Poor,Available,2023-11-25 22:14:27
BI-00278,BM-0107,INV-000278,New,Available,2024-06-10 22:14:27
BI-00279,BM-0891,INV-000279,Poor,Available,2024-10-01 22:14:27
BI-00280,BM-0930,INV-000280,Fair,Available,2024-04-20 22:14:27
BI-00281,BM-0042,INV-000281,Fair,Available,2025-05-25 22:14:27
BI-00282,BM-0795,INV-000282,Poor,Available,2023-08-16 22:14:27
BI-00283,BM-0866,INV-000283,Good,Available,2024-08-01 22:14:27
BI-00284,BM-0850,INV-000284,Poor,Available,2024-11-17 22:14:27
BI-00285,BM-0414,INV-000285,Fair,Available,2024-10-07 22:14:27
BI-00286,BM-0177,INV-000286,Poor,Available,2025-07-16 22:14:27
BI-00287,BM-0180,INV-000287,Fair,Available,2023-10-23 22:14:27
BI-00288,BM-0797,INV-000288,Fair,Available,2024-02-01 22:14:27
BI-00289,BM-0492,INV-000289,Fair,Available,2024-06-06 22:14:27
BI-00290,BM-0752,INV-000290,New,Available,2024-10-02 22:14:27
BI-00291,BM-0262,INV-000291,Fair,Available,2025-07-06 22:14:27
BI-00292,BM-0435,INV-000292,New,Available,2025-07-13 22:14:27
BI-00293,BM-0908,INV-000293,Poor,Available,2024-04-05 22:14:27
BI-00294,BM-0939,INV-000294,Fair,Available,2023-06-12 22:14:27
BI-00295,BM-0172,INV-000295,Fair,Available,2024-09-02 22:14:27
BI-00296,BM-0120,INV-000296,Good,Available,2024-03-23 22:14:27
BI-00297,BM-0809,INV-000297,Poor,Available,2024-04-27 22:14:27
BI-00298,BM-0268,INV-000298,New,Available,2024-02-17 22:14:27
BI-00299,BM-0867,INV-000299,Poor,Available,2023-09-12 22:14:27
BI-00300,BM-0808,INV-000300,Fair,Available,2024-12-02 22:14:27
BI-00301,BM-0691,INV-000301,New,Available,2024-07-04 22:14:27
BI-00302,BM-0556,INV-000302,Fair,Available,2024-10-08 22:14:27
BI-00303,BM-0155,INV-000303,Good,Available,2023-08-08 22:14:27
BI-00304,BM-0256,INV-000304,Good,Available,2024-10-12 22:14:27
BI-00305,BM-0650,INV-000305,New,Available,2024-01-12 22:14:27
BI-00306,BM-0295,INV-000306,Good,Available,2024-02-03 22:14:27
BI-00307,BM-0353,INV-000307,Good,Available,2024-08-05 22:14:27
BI-00308,BM-0939,INV-000308,New,Available,2024-09-24 22:14:27
BI-00309,BM-0895,INV-000309,New,Available,2024-06-24 22:14:27
BI-00310,BM-0746,INV-000310,Fair,Available,2023-08-30 22:14:27
BI-00311,BM-0693,INV-000311,Good,Available,2024-09-16 22:14:27
BI-00312,BM-0694,INV-000312,Good,Available,2023-05-24 22:14:27
BI-00313,BM-0798,INV-000313,New,Available,2025-04-18 22:14:27
BI-00314,BM-0688,INV-000314,New,Available,2023-11-26 22:14:27
BI-00315,BM-0534,INV-000315,Poor,Available,2023-07-08 22:14:27
BI-00316,BM-0659,INV-000316,New,Available,2024-04-06 22:14:27
BI-00317,BM-0375,INV-000317,Poor,Available,2023-04-07 22:14:27
BI-00318,BM-0801,INV-000318,Fair,Available,2023-11-17 22:14:27
BI-00319,BM-0085,INV-000319,Poor,Available,2024-05-27 22:14:27
BI-00320,BM-0158,INV-000320,Good,Available,2025-06-20 22:14:27
BI-00321,BM-0031,INV-000321,Good,Available,2023-12-19 22:14:27
BI-00322,BM-0993,INV-000322,Poor,Available,2023-12-31 22:14:27
BI-00323,BM-0547,INV-000323,Good,Available,2024-07-13 22:14:27
BI-00324,BM-0070,INV-000324,Fair,Available,2024-04-08 22:14:27
BI-00325,BM-0330,INV-000325,Good,Available,2024-08-18 22:14:27
BI-00326,BM-0207,INV-000326,Fair,Available,2023-04-11 22:14:27
BI-00327,BM-0784,INV-000327,Poor,Available,2023-03-12 22:14:27
BI-00328,BM-0551,INV-000328,Good,Available,2025-06-27 22:14:27
BI-00329,BM-0499,INV-000329,Poor,Available,2023-07-13 22:14:27
BI-00330,BM-0740,INV-000330,Good,Available,2023-05-31 22:14:27
BI-00331,BM-0889,INV-000331,New,Available,2024-10-24 22:14:27
BI-00332,BM-0495,INV-000332,Good,Available,2025-01-20 22:14:27
BI-00333,BM-0784,INV-000333,Fair,Available,2023-12-20 22:14:27
BI-00334,BM-0275,INV-000334,Good,Available,2025-03-27 22:14:27
BI-00335,BM-0137,INV-000335,Good,Available,2024-02-29 22:14:27
BI-00336,BM-0821,INV-000336,Good,Available,2024-10-29 22:14:27
BI-00337,BM-0420,INV-000337,New,Available,2023-09-19 22:14:27
BI-00338,BM-0129,INV-000338,New,Available,2024-11-30 22:14:27
BI-00339,BM-0986,INV-000339,New,Available,2024-07-28 22:14:27
BI-00340,BM-0536,INV-000340,Poor,Available,2023-04-10 22:14:27
BI-00341,BM-0554,INV-000341,Fair,Available,2024-02-01 22:14:27
BI-00342,BM-0859,INV-000342,Poor,Available,2024-03-04 22:14:27
BI-00343,BM-0974,INV-000343,Good,Available,2025-04-08 22:14:27
BI-00344,BM-0983,INV-000344,Fair,Available,2024-02-22 22:14:27
BI-00345,BM-0814,INV-000345,Poor,Available,2023-09-18 22:14:27
BI-00346,BM-0729,INV-000346,Poor,Available,2025-08-05 22:14:27
BI-00347,BM-0905,INV-000347,New,Available,2024-08-28 22:14:27
BI-00348,BM-0035,INV-000348,Fair,Available,2024-04-06 22:14:27
BI-00349,BM-0101,INV-000349,Good,Available,2023-11-12 22:14:27
BI-00350,BM-0311,INV-000350,Good,Available,2025-07-15 22:14:27
BI-00351,BM-0405,INV-000351,Fair,Available,2024-03-26 22:14:27
BI-00352,BM-0885,INV-000352,Good,Available,2025-06-11 22:14:27
BI-00353,BM-0332,INV-000353,New,Available,2023-11-25 22:14:27
BI-00354,BM-0027,INV-000354,Fair,Available,2025-08-09 22:14:27
BI-00355,BM-0469,INV-000355,Good,Available,2024-07-01 22:14:27
BI-00356,BM-0158,INV-000356,Poor,Available,2023-12-18 22:14:27
BI-00357,BM-0939,INV-000357,Good,Available,2025-06-29 22:14:27
BI-00358,BM-0443,INV-000358,New,Available,2023-10-19 22:14:27
BI-00359,BM-0914,INV-000359,Good,Available,2024-08-12 22:14:27
BI-00360,BM-0961,INV-000360,New,Available,2025-03-19 22:14:27
BI-00361,BM-0713,INV-000361,Poor,Available,2024-08-22 22:14:27
BI-00362,BM-0014,INV-000362,Poor,Available,2025-05-26 22:14:27
BI-00363,BM-0169,INV-000363,Good,Available,2023-09-16 22:14:27
BI-00364,BM-0294,INV-000364,Good,Available,2025-04-01 22:14:27
BI-00365,BM-0097,INV-000365,New,Available,2023-11-18 22:14:27
BI-00366,BM-0471,INV-000366,Poor,Available,2024-11-24 22:14:27
BI-00367,BM-0835,INV-000367,New,Available,2023-09-06 22:14:27
BI-00368,BM-0775,INV-000368,New,Available,2025-03-18 22:14:27
BI-00369,BM-0083,INV-000369,Poor,Available,2024-02-29 22:14:27
BI-00370,BM-0773,INV-000370,Fair,Available,2024-01-04 22:14:27
BI-00371,BM-0354,INV-000371,Fair,Available,2023-08-09 22:14:27
BI-00372,BM-0343,INV-000372,Poor,Available,2024-06-02 22:14:27
BI-00373,BM-0351,INV-000373,Good,Available,2024-10-18 22:14:27
BI-00374,BM-0765,INV-000374,Poor,Available,2023-10-28 22:14:27
BI-00375,BM-0085,INV-000375,Fair,Available,2025-03-29 22:14:27
