Antecedent,Consequent,Support,Confidence,Lift,Count
History of Economics 1,Introduction to Art 1,0.001,0.25,250.75,1
Guide to Philosophy 3,Advanced Art 8,0.001,0.25,250.75,1
History of Calculus 5,Handbook of Music 8,0.001,0.25,250.75,1
Introduction to History 8,Advanced Biology 5,0.001,0.25,250.75,1
Handbook of Python 6,Mastering Chemistry 3,0.001,0.25,250.75,1
Guide to Machine Learning 2,Introduction to Biology 9,0.001,0.25,250.75,1
Guide to Music 8,Introduction to Biology 9,0.001,0.25,250.75,1
Advanced Machine Learning 7,Fundamentals of AI 2,0.001,1.0,200.6,1
Guide to Biology 2,Mastering Art 10,0.001,1.0,200.6,1
Introduction to Art 1,History of Biology 9,0.001,1.0,200.6,1
Introduction to Art 4,Guide to Chemistry 2,0.001,1.0,200.6,1
Advanced Python 3,Advanced History 10,0.001,1.0,200.6,1
Mastering Philosophy 6,Fundamentals of Philosophy 8,0.001,1.0,200.6,1
History of AI 10,The Art of Economics 4,0.001,1.0,200.6,1
The Art of Machine Learning 6,Guide to Machine Learning 5,0.001,1.0,200.6,1
Introduction to History 6,The Art of Python 9,0.001,1.0,200.6,1
Introduction to Music 5,Introduction to History 9,0.001,1.0,200.6,1
Introduction to Chemistry 2,Introduction to Economics 4,0.001,1.0,200.6,1
Handbook of Economics 1,Introduction to Calculus 2,0.001,1.0,200.6,1
Fundamentals of AI 2,Advanced Machine Learning 7,0.001,0.2,200.6,1
Mastering Art 10,Guide to Biology 2,0.001,0.2,200.6,1
History of Biology 9,Introduction to Art 1,0.001,0.2,200.6,1
Guide to Chemistry 2,Introduction to Art 4,0.001,0.2,200.6,1
Advanced History 10,Advanced Python 3,0.001,0.2,200.6,1
Fundamentals of Philosophy 8,Mastering Philosophy 6,0.001,0.2,200.6,1
The Art of Economics 4,History of AI 10,0.001,0.2,200.6,1
Guide to Machine Learning 5,The Art of Machine Learning 6,0.001,0.2,200.6,1
The Art of Python 9,Introduction to History 6,0.001,0.2,200.6,1
Introduction to History 9,Introduction to Music 5,0.001,0.2,200.6,1
Introduction to Economics 4,Introduction to Chemistry 2,0.001,0.2,200.6,1
Introduction to Calculus 2,Handbook of Economics 1,0.001,0.2,200.6,1
Guide to Biology 2,History of Music 2,0.001,1.0,167.1667,1
The Art of Java 8,History of Economics 4,0.001,1.0,167.1667,1
History of History 3,History of Machine Learning 8,0.001,1.0,167.1667,1
Guide to Economics 3,Handbook of Chemistry 6,0.001,1.0,167.1667,1
Mastering Music 9,Mastering Java 3,0.001,1.0,167.1667,1
Introduction to Philosophy 4,Introduction to Chemistry 9,0.001,1.0,167.1667,1
Introduction to Economics 6,Introduction to Java 5,0.001,1.0,167.1667,1
The Art of Biology 3,Advanced Chemistry 10,0.001,1.0,167.1667,1
Introduction to Python 3,Handbook of Biology 10,0.001,1.0,167.1667,1
Introduction to AI 4,Mastering Economics 2,0.001,0.5,167.1667,1
Fundamentals of Music 6,Fundamentals of Art 5,0.001,0.5,167.1667,1
Handbook of Art 10,Guide to Economics 5,0.001,0.5,167.1667,1
Handbook of Philosophy 2,Mastering Economics 2,0.001,0.5,167.1667,1
Mastering Java 4,Advanced AI 6,0.001,0.5,167.1667,1
History of Music 10,Fundamentals of Python 4,0.001,0.5,167.1667,1
History of Music 10,Guide to Python 6,0.001,0.5,167.1667,1
Guide to Art 5,Advanced Philosophy 1,0.001,0.5,167.1667,1
Introduction to Java 2,Mastering Economics 9,0.001,0.5,167.1667,1
Handbook of Biology 9,Introduction to Machine Learning 10,0.001,0.5,167.1667,1
Handbook of Philosophy 5,The Art of Physics 1,0.001,0.5,167.1667,1
Mastering Calculus 8,Handbook of History 6,0.001,0.5,167.1667,1
Introduction to Philosophy 10,Guide to History 8,0.001,0.5,167.1667,1
Advanced Java 5,Introduction to Python 1,0.001,0.5,167.1667,1
The Art of Physics 3,The Art of Biology 8,0.001,0.5,167.1667,1
Mastering Chemistry 4,Handbook of Python 7,0.001,0.5,167.1667,1
The Art of Calculus 7,Fundamentals of Art 5,0.001,0.5,167.1667,1
Handbook of Music 7,Fundamentals of Chemistry 10,0.001,0.5,167.1667,1
History of Music 3,History of Machine Learning 10,0.001,0.5,167.1667,1
Handbook of Music 5,Mastering Art 8,0.001,0.5,167.1667,1
Handbook of Art 6,History of AI 3,0.001,0.5,167.1667,1
Handbook of Calculus 1,Guide to Machine Learning 6,0.001,0.5,167.1667,1
The Art of Physics 10,The Art of Music 3,0.001,0.5,167.1667,1
Handbook of Biology 5,Handbook of Java 3,0.001,0.5,167.1667,1
Mastering Music 7,Introduction to Philosophy 7,0.001,0.5,167.1667,1
History of Economics 3,History of Chemistry 9,0.001,0.5,167.1667,1
Advanced Chemistry 7,Fundamentals of Chemistry 2,0.001,0.5,167.1667,1
Guide to Biology 9,History of Python 8,0.001,0.5,167.1667,1
Fundamentals of Biology 2,Handbook of Physics 10,0.001,0.5,167.1667,1
Mastering Physics 9,Fundamentals of Chemistry 2,0.001,0.5,167.1667,1
Mastering Calculus 4,Handbook of Calculus 3,0.001,0.5,167.1667,1
The Art of Philosophy 8,History of Machine Learning 5,0.001,0.5,167.1667,1
Fundamentals of Philosophy 4,Mastering Philosophy 5,0.001,0.5,167.1667,1
Introduction to Physics 5,Introduction to Chemistry 3,0.001,0.5,167.1667,1
Introduction to Physics 5,Mastering Art 6,0.001,0.5,167.1667,1
Fundamentals of Physics 10,Introduction to Java 10,0.001,0.5,167.1667,1
Introduction to Philosophy 3,Fundamentals of Music 9,0.001,0.5,167.1667,1
Fundamentals of Biology 10,The Art of Physics 2,0.001,0.5,167.1667,1
Fundamentals of Java 8,Mastering Chemistry 1,0.001,0.5,167.1667,1
Handbook of Music 3,Mastering Biology 7,0.001,0.5,167.1667,1
Guide to Philosophy 1,Introduction to Chemistry 3,0.001,0.5,167.1667,1
Mastering Economics 2,Introduction to AI 4,0.001,0.3333,167.1667,1
Fundamentals of Art 5,Fundamentals of Music 6,0.001,0.3333,167.1667,1
Guide to Economics 5,Handbook of Art 10,0.001,0.3333,167.1667,1
Mastering Economics 2,Handbook of Philosophy 2,0.001,0.3333,167.1667,1
Advanced AI 6,Mastering Java 4,0.001,0.3333,167.1667,1
Fundamentals of Python 4,History of Music 10,0.001,0.3333,167.1667,1
Guide to Python 6,History of Music 10,0.001,0.3333,167.1667,1
Advanced Philosophy 1,Guide to Art 5,0.001,0.3333,167.1667,1
Mastering Economics 9,Introduction to Java 2,0.001,0.3333,167.1667,1
Introduction to Machine Learning 10,Handbook of Biology 9,0.001,0.3333,167.1667,1
The Art of Physics 1,Handbook of Philosophy 5,0.001,0.3333,167.1667,1
Handbook of History 6,Mastering Calculus 8,0.001,0.3333,167.1667,1
Guide to History 8,Introduction to Philosophy 10,0.001,0.3333,167.1667,1
Introduction to Python 1,Advanced Java 5,0.001,0.3333,167.1667,1
The Art of Biology 8,The Art of Physics 3,0.001,0.3333,167.1667,1
Handbook of Python 7,Mastering Chemistry 4,0.001,0.3333,167.1667,1
Fundamentals of Art 5,The Art of Calculus 7,0.001,0.3333,167.1667,1
Fundamentals of Chemistry 10,Handbook of Music 7,0.001,0.3333,167.1667,1
History of Machine Learning 10,History of Music 3,0.001,0.3333,167.1667,1
Mastering Art 8,Handbook of Music 5,0.001,0.3333,167.1667,1
History of AI 3,Handbook of Art 6,0.001,0.3333,167.1667,1
Guide to Machine Learning 6,Handbook of Calculus 1,0.001,0.3333,167.1667,1
The Art of Music 3,The Art of Physics 10,0.001,0.3333,167.1667,1
Handbook of Java 3,Handbook of Biology 5,0.001,0.3333,167.1667,1
Introduction to Philosophy 7,Mastering Music 7,0.001,0.3333,167.1667,1
History of Chemistry 9,History of Economics 3,0.001,0.3333,167.1667,1
Fundamentals of Chemistry 2,Advanced Chemistry 7,0.001,0.3333,167.1667,1
History of Python 8,Guide to Biology 9,0.001,0.3333,167.1667,1
Handbook of Physics 10,Fundamentals of Biology 2,0.001,0.3333,167.1667,1
Fundamentals of Chemistry 2,Mastering Physics 9,0.001,0.3333,167.1667,1
Handbook of Calculus 3,Mastering Calculus 4,0.001,0.3333,167.1667,1
History of Machine Learning 5,The Art of Philosophy 8,0.001,0.3333,167.1667,1
Mastering Philosophy 5,Fundamentals of Philosophy 4,0.001,0.3333,167.1667,1
Introduction to Chemistry 3,Introduction to Physics 5,0.001,0.3333,167.1667,1
Mastering Art 6,Introduction to Physics 5,0.001,0.3333,167.1667,1
Introduction to Java 10,Fundamentals of Physics 10,0.001,0.3333,167.1667,1
Fundamentals of Music 9,Introduction to Philosophy 3,0.001,0.3333,167.1667,1
The Art of Physics 2,Fundamentals of Biology 10,0.001,0.3333,167.1667,1
Mastering Chemistry 1,Fundamentals of Java 8,0.001,0.3333,167.1667,1
Mastering Biology 7,Handbook of Music 3,0.001,0.3333,167.1667,1
Introduction to Chemistry 3,Guide to Philosophy 1,0.001,0.3333,167.1667,1
History of Music 2,Guide to Biology 2,0.001,0.1667,167.1667,1
History of Economics 4,The Art of Java 8,0.001,0.1667,167.1667,1
History of Machine Learning 8,History of History 3,0.001,0.1667,167.1667,1
Handbook of Chemistry 6,Guide to Economics 3,0.001,0.1667,167.1667,1
Mastering Java 3,Mastering Music 9,0.001,0.1667,167.1667,1
Introduction to Chemistry 9,Introduction to Philosophy 4,0.001,0.1667,167.1667,1
Introduction to Java 5,Introduction to Economics 6,0.001,0.1667,167.1667,1
Advanced Chemistry 10,The Art of Biology 3,0.001,0.1667,167.1667,1
Handbook of Biology 10,Introduction to Python 3,0.001,0.1667,167.1667,1
Guide to Machine Learning 8,History of Philosophy 8,0.001,1.0,143.2857,1
Fundamentals of AI 9,Advanced Java 3,0.001,1.0,143.2857,1
Fundamentals of Calculus 4,Mastering Calculus 1,0.001,1.0,143.2857,1
Handbook of Music 8,Mastering History 6,0.001,1.0,143.2857,1
Mastering Chemistry 3,Mastering Chemistry 2,0.001,1.0,143.2857,1
The Art of Music 6,The Art of Philosophy 9,0.001,1.0,143.2857,1
The Art of Java 9,History of Chemistry 10,0.001,1.0,143.2857,1
Advanced Physics 3,Fundamentals of Python 7,0.001,1.0,143.2857,1
History of Biology 4,Guide to Java 4,0.001,1.0,143.2857,1
Handbook of Calculus 7,Guide to Java 4,0.001,1.0,143.2857,1
History of Philosophy 8,Guide to Machine Learning 8,0.001,0.1429,143.2857,1
Advanced Java 3,Fundamentals of AI 9,0.001,0.1429,143.2857,1
Mastering Calculus 1,Fundamentals of Calculus 4,0.001,0.1429,143.2857,1
Mastering History 6,Handbook of Music 8,0.001,0.1429,143.2857,1
Mastering Chemistry 2,Mastering Chemistry 3,0.001,0.1429,143.2857,1
The Art of Philosophy 9,The Art of Music 6,0.001,0.1429,143.2857,1
History of Chemistry 10,The Art of Java 9,0.001,0.1429,143.2857,1
Fundamentals of Python 7,Advanced Physics 3,0.001,0.1429,143.2857,1
Guide to Java 4,History of Biology 4,0.001,0.1429,143.2857,1
Guide to Java 4,Handbook of Calculus 7,0.001,0.1429,143.2857,1
Guide to Machine Learning 8,History of Physics 6,0.001,1.0,125.375,1
Advanced Biology 5,Handbook of Biology 7,0.001,1.0,125.375,1
Fundamentals of Python 9,Fundamentals of Physics 9,0.001,1.0,125.375,1
History of AI 10,History of Physics 6,0.001,1.0,125.375,1
Introduction to History 6,Fundamentals of Physics 5,0.001,1.0,125.375,1
Advanced AI 4,Fundamentals of Physics 5,0.001,1.0,125.375,1
Introduction to Philosophy 4,History of AI 7,0.001,1.0,125.375,1
Handbook of Calculus 7,History of Calculus 4,0.001,1.0,125.375,1
Handbook of Music 3,History of Machine Learning 6,0.001,0.5,125.375,1
Mastering Java 4,The Art of Chemistry 1,0.001,0.5,125.375,1
History of Machine Learning 2,Advanced History 7,0.001,0.5,125.375,1
History of Machine Learning 2,Guide to Calculus 6,0.001,0.5,125.375,1
Introduction to Music 2,History of Python 10,0.001,0.5,125.375,1
Handbook of Physics 8,Mastering AI 7,0.001,0.5,125.375,1
Guide to Physics 4,The Art of Philosophy 4,0.001,0.5,125.375,1
History of Machine Learning 4,Fundamentals of Java 10,0.001,0.5,125.375,1
Handbook of Biology 5,Introduction to Python 6,0.001,0.5,125.375,1
Advanced Java 5,Guide to Python 4,0.001,0.5,125.375,1
History of Machine Learning 4,The Art of Machine Learning 2,0.001,0.5,125.375,1
Fundamentals of Biology 3,The Art of Philosophy 4,0.001,0.5,125.375,1
Handbook of Philosophy 9,History of Art 7,0.001,0.5,125.375,1
Handbook of Music 5,Mastering History 3,0.001,0.5,125.375,1
The Art of Calculus 7,Mastering History 3,0.001,0.5,125.375,1
Introduction to Philosophy 5,History of Chemistry 4,0.001,0.5,125.375,1
History of Music 3,Mastering Java 6,0.001,0.5,125.375,1
Handbook of Music 5,History of Philosophy 9,0.001,0.5,125.375,1
Introduction to Machine Learning 8,Introduction to AI 8,0.001,0.5,125.375,1
Handbook of History 2,Advanced Biology 4,0.001,0.5,125.375,1
Handbook of History 2,Guide to AI 8,0.001,0.5,125.375,1
Mastering Music 7,Introduction to Art 2,0.001,0.5,125.375,1
Guide to Biology 8,Advanced Chemistry 8,0.001,0.5,125.375,1
Guide to Biology 8,The Art of Machine Learning 2,0.001,0.5,125.375,1
Fundamentals of Philosophy 4,Introduction to History 8,0.001,0.5,125.375,1
Fundamentals of AI 7,Guide to Calculus 3,0.001,0.5,125.375,1
Advanced Chemistry 6,The Art of Physics 5,0.001,0.5,125.375,1
History of Python 6,The Art of History 8,0.001,0.5,125.375,1
Guide to Biology 9,Advanced Chemistry 8,0.001,0.5,125.375,1
The Art of Chemistry 3,The Art of Economics 2,0.001,0.5,125.375,1
History of Music 10,Advanced Machine Learning 8,0.001,0.5,125.375,1
Mastering Machine Learning 8,Handbook of Machine Learning 7,0.001,0.5,125.375,1
Handbook of Python 9,Guide to AI 8,0.001,0.5,125.375,1
The Art of Philosophy 8,Introduction to AI 6,0.001,0.5,125.375,1
Introduction to Philosophy 5,The Art of Java 6,0.001,0.5,125.375,1
Mastering Physics 4,Advanced Machine Learning 8,0.001,0.5,125.375,1
Fundamentals of Biology 2,The Art of Physics 8,0.001,0.5,125.375,1
The Art of History 7,Introduction to Art 5,0.001,0.5,125.375,1
Handbook of Music 9,Fundamentals of Physics 2,0.001,0.5,125.375,1
Fundamentals of Python 3,History of Java 9,0.001,0.5,125.375,1
Mastering Philosophy 7,History of Calculus 5,0.001,0.5,125.375,1
Fundamentals of Physics 10,The Art of Physics 8,0.001,0.5,125.375,1
History of Machine Learning 6,Handbook of Music 3,0.001,0.25,125.375,1
The Art of Chemistry 1,Mastering Java 4,0.001,0.25,125.375,1
Advanced History 7,History of Machine Learning 2,0.001,0.25,125.375,1
Guide to Calculus 6,History of Machine Learning 2,0.001,0.25,125.375,1
History of Python 10,Introduction to Music 2,0.001,0.25,125.375,1
Mastering AI 7,Handbook of Physics 8,0.001,0.25,125.375,1
The Art of Philosophy 4,Guide to Physics 4,0.001,0.25,125.375,1
Fundamentals of Java 10,History of Machine Learning 4,0.001,0.25,125.375,1
Introduction to Python 6,Handbook of Biology 5,0.001,0.25,125.375,1
Guide to Python 4,Advanced Java 5,0.001,0.25,125.375,1
The Art of Machine Learning 2,History of Machine Learning 4,0.001,0.25,125.375,1
The Art of Philosophy 4,Fundamentals of Biology 3,0.001,0.25,125.375,1
History of Art 7,Handbook of Philosophy 9,0.001,0.25,125.375,1
Mastering History 3,Handbook of Music 5,0.001,0.25,125.375,1
Mastering History 3,The Art of Calculus 7,0.001,0.25,125.375,1
History of Chemistry 4,Introduction to Philosophy 5,0.001,0.25,125.375,1
Mastering Java 6,History of Music 3,0.001,0.25,125.375,1
History of Philosophy 9,Handbook of Music 5,0.001,0.25,125.375,1
Introduction to AI 8,Introduction to Machine Learning 8,0.001,0.25,125.375,1
Advanced Biology 4,Handbook of History 2,0.001,0.25,125.375,1
Guide to AI 8,Handbook of History 2,0.001,0.25,125.375,1
Introduction to Art 2,Mastering Music 7,0.001,0.25,125.375,1
Advanced Chemistry 8,Guide to Biology 8,0.001,0.25,125.375,1
The Art of Machine Learning 2,Guide to Biology 8,0.001,0.25,125.375,1
Introduction to History 8,Fundamentals of Philosophy 4,0.001,0.25,125.375,1
Guide to Calculus 3,Fundamentals of AI 7,0.001,0.25,125.375,1
The Art of Physics 5,Advanced Chemistry 6,0.001,0.25,125.375,1
The Art of History 8,History of Python 6,0.001,0.25,125.375,1
Advanced Chemistry 8,Guide to Biology 9,0.001,0.25,125.375,1
The Art of Economics 2,The Art of Chemistry 3,0.001,0.25,125.375,1
Advanced Machine Learning 8,History of Music 10,0.001,0.25,125.375,1
Handbook of Machine Learning 7,Mastering Machine Learning 8,0.001,0.25,125.375,1
Guide to AI 8,Handbook of Python 9,0.001,0.25,125.375,1
Introduction to AI 6,The Art of Philosophy 8,0.001,0.25,125.375,1
The Art of Java 6,Introduction to Philosophy 5,0.001,0.25,125.375,1
Advanced Machine Learning 8,Mastering Physics 4,0.001,0.25,125.375,1
The Art of Physics 8,Fundamentals of Biology 2,0.001,0.25,125.375,1
Introduction to Art 5,The Art of History 7,0.001,0.25,125.375,1
Fundamentals of Physics 2,Handbook of Music 9,0.001,0.25,125.375,1
History of Java 9,Fundamentals of Python 3,0.001,0.25,125.375,1
History of Calculus 5,Mastering Philosophy 7,0.001,0.25,125.375,1
The Art of Physics 8,Fundamentals of Physics 10,0.001,0.25,125.375,1
History of Physics 6,Guide to Machine Learning 8,0.001,0.125,125.375,1
Handbook of Biology 7,Advanced Biology 5,0.001,0.125,125.375,1
Fundamentals of Physics 9,Fundamentals of Python 9,0.001,0.125,125.375,1
History of Physics 6,History of AI 10,0.001,0.125,125.375,1
Fundamentals of Physics 5,Introduction to History 6,0.001,0.125,125.375,1
Fundamentals of Physics 5,Advanced AI 4,0.001,0.125,125.375,1
History of AI 7,Introduction to Philosophy 4,0.001,0.125,125.375,1
History of Calculus 4,Handbook of Calculus 7,0.001,0.125,125.375,1
Mastering Art 4,Handbook of History 9,0.001,1.0,111.4444,1
Advanced Art 8,Advanced Philosophy 2,0.001,1.0,111.4444,1
History of AI 8,Mastering Philosophy 9,0.001,1.0,111.4444,1
Handbook of Physics 2,Advanced Machine Learning 1,0.001,1.0,111.4444,1
The Art of Biology 3,Handbook of Economics 9,0.001,1.0,111.4444,1
History of Physics 10,Fundamentals of Chemistry 6,0.001,1.0,111.4444,1
Fundamentals of Economics 9,Mastering Art 6,0.001,0.3333,111.4444,1
Mastering Art 6,Fundamentals of Economics 9,0.001,0.3333,111.4444,1
Fundamentals of Economics 9,Mastering Philosophy 5,0.001,0.3333,111.4444,1
Mastering Philosophy 5,Fundamentals of Economics 9,0.001,0.3333,111.4444,1
Mastering Art 6,Mastering Philosophy 5,0.001,0.3333,111.4444,1
Mastering Philosophy 5,Mastering Art 6,0.001,0.3333,111.4444,1
Advanced Python 9,Guide to Machine Learning 1,0.001,0.3333,111.4444,1
Guide to Machine Learning 1,Advanced Python 9,0.001,0.3333,111.4444,1
Fundamentals of Python 4,Guide to Python 6,0.001,0.3333,111.4444,1
Guide to Python 6,Fundamentals of Python 4,0.001,0.3333,111.4444,1
Handbook of Machine Learning 3,Introduction to History 1,0.001,0.3333,111.4444,1
Introduction to History 1,Handbook of Machine Learning 3,0.001,0.3333,111.4444,1
History of AI 9,Introduction to Java 10,0.001,0.3333,111.4444,1
Introduction to Java 10,History of AI 9,0.001,0.3333,111.4444,1
Fundamentals of Music 3,The Art of Java 7,0.001,0.3333,111.4444,1
The Art of Java 7,Fundamentals of Music 3,0.001,0.3333,111.4444,1
Advanced Art 6,Guide to Machine Learning 1,0.001,0.3333,111.4444,1
Guide to Machine Learning 1,Advanced Art 6,0.001,0.3333,111.4444,1
Guide to Philosophy 9,The Art of Philosophy 6,0.001,0.3333,111.4444,1
The Art of Philosophy 6,Guide to Philosophy 9,0.001,0.3333,111.4444,1
Fundamentals of Chemistry 10,Mastering Economics 5,0.001,0.3333,111.4444,1
Mastering Economics 5,Fundamentals of Chemistry 10,0.001,0.3333,111.4444,1
Fundamentals of Music 3,Handbook of History 6,0.001,0.3333,111.4444,1
Handbook of History 6,Fundamentals of Music 3,0.001,0.3333,111.4444,1
History of AI 3,The Art of Physics 1,0.001,0.3333,111.4444,1
The Art of Physics 1,History of AI 3,0.001,0.3333,111.4444,1
Guide to Java 10,History of Biology 5,0.001,0.3333,111.4444,1
History of Biology 5,Guide to Java 10,0.001,0.3333,111.4444,1
Introduction to Physics 10,Mastering Chemistry 1,0.001,0.3333,111.4444,1
Mastering Chemistry 1,Introduction to Physics 10,0.001,0.3333,111.4444,1
Handbook of Physics 10,Mastering Machine Learning 2,0.001,0.3333,111.4444,1
Mastering Machine Learning 2,Handbook of Physics 10,0.001,0.3333,111.4444,1
Fundamentals of Music 9,Handbook of Java 4,0.001,0.3333,111.4444,1
Handbook of Java 4,Fundamentals of Music 9,0.001,0.3333,111.4444,1
Fundamentals of Physics 3,History of Music 5,0.001,0.3333,111.4444,1
History of Music 5,Fundamentals of Physics 3,0.001,0.3333,111.4444,1
Mastering Chemistry 10,Mastering Machine Learning 3,0.001,0.3333,111.4444,1
Mastering Machine Learning 3,Mastering Chemistry 10,0.001,0.3333,111.4444,1
History of Music 5,Introduction to Chemistry 1,0.001,0.3333,111.4444,1
Introduction to Chemistry 1,History of Music 5,0.001,0.3333,111.4444,1
History of Music 4,Introduction to Music 10,0.001,0.3333,111.4444,1
Introduction to Music 10,History of Music 4,0.001,0.3333,111.4444,1
Advanced AI 6,Fundamentals of Python 4,0.001,0.3333,111.4444,1
Fundamentals of Python 4,Advanced AI 6,0.001,0.3333,111.4444,1
Mastering Physics 5,The Art of Physics 2,0.001,0.3333,111.4444,1
