Itemset,Frequency,Type
The Art of Biology 6,4,1-Itemset
Handbook of Art 10,4,1-Itemset
Mastering Philosophy 4,4,1-Itemset
Introduction to Philosophy 3,4,1-Itemset
Guide to Java 2,4,1-Itemset
Fundamentals of Java 1,4,1-Itemset
Introduction to AI 8,4,1-Itemset
Advanced History 4,4,1-Itemset
Fundamentals of Calculus 2,4,1-Itemset
Mastering History 8,4,1-Itemset
History of AI 9,4,1-Itemset
Introduction to Music 1,4,1-Itemset
Fundamentals of Biology 4,4,1-Itemset
Introduction to AI 4,4,1-Itemset
Handbook of AI 9,4,1-Itemset
Advanced History 4,4,1-Itemset
Fundamentals of Python 4,4,1-Itemset
Mastering Java 10,4,1-Itemset
Advanced Art 9,4,1-Itemset
Advanced AI 1,4,1-Itemset
Mastering Economics 10,4,1-Itemset
Advanced Economics 7,4,1-Itemset
Fundamentals of Machine Learning 9,4,1-Itemset
History of Machine Learning 5,4,1-Itemset
The Art of Biology 6,4,1-Itemset
Mastering Java 3,4,1-Itemset
The Art of Biology 8,4,1-Itemset
Advanced Music 8,4,1-Itemset
The Art of Calculus 1,4,1-Itemset
Advanced Chemistry 10,4,1-Itemset
Advanced Java 7,4,1-Itemset
Handbook of Python 2,4,1-Itemset
Handbook of Java 4,4,1-Itemset
Handbook of Python 4,4,1-Itemset
History of History 7,4,1-Itemset
Mastering Chemistry 10,4,1-Itemset
Introduction to Physics 10,4,1-Itemset
Advanced Machine Learning 1,4,1-Itemset
Mastering Java 10,4,1-Itemset
Handbook of History 2,4,1-Itemset
Mastering Chemistry 7,4,1-Itemset
Mastering Music 1,4,1-Itemset
Fundamentals of AI 2,4,1-Itemset
Guide to Art 1,4,1-Itemset
Handbook of Music 6,4,1-Itemset
The Art of AI 10,4,1-Itemset
Handbook of Philosophy 7,4,1-Itemset
Introduction to Machine Learning 1,4,1-Itemset
History of Java 9,4,1-Itemset
The Art of Physics 2,4,1-Itemset
Handbook of Calculus 2,4,1-Itemset
History of Economics 8,4,1-Itemset
Advanced Physics 2,4,1-Itemset
Mastering Music 9,4,1-Itemset
Advanced Physics 2,4,1-Itemset
History of Machine Learning 1,4,1-Itemset
Handbook of Art 7,4,1-Itemset
Guide to Python 10,4,1-Itemset
Handbook of Biology 7,4,1-Itemset
History of Physics 1,4,1-Itemset
Guide to Calculus 6,4,1-Itemset
Advanced Java 1,4,1-Itemset
Fundamentals of Java 9,4,1-Itemset
The Art of Art 10,4,1-Itemset
Handbook of Machine Learning 9,4,1-Itemset
Introduction to Economics 4,4,1-Itemset
The Art of Art 9,4,1-Itemset
History of Calculus 7,4,1-Itemset
Handbook of Machine Learning 7,4,1-Itemset
The Art of Python 7,4,1-Itemset
Fundamentals of Physics 2,4,1-Itemset
Guide to Music 5,3,1-Itemset
Fundamentals of Biology 2,3,1-Itemset
Advanced Art 8,3,1-Itemset
History of Economics 6,3,1-Itemset
Fundamentals of Physics 9,3,1-Itemset
Mastering Physics 5,3,1-Itemset
Handbook of Java 9,3,1-Itemset
Advanced Economics 5,3,1-Itemset
Advanced Chemistry 7,3,1-Itemset
The Art of Philosophy 8,3,1-Itemset
Mastering Philosophy 5,3,1-Itemset
History of Calculus 2,3,1-Itemset
Guide to AI 3,3,1-Itemset
Fundamentals of Chemistry 8,3,1-Itemset
History of Machine Learning 2,3,1-Itemset
The Art of Python 5,3,1-Itemset
Fundamentals of Chemistry 9,3,1-Itemset
History of Machine Learning 10,3,1-Itemset
Advanced Music 5,3,1-Itemset
Guide to Art 2,3,1-Itemset
Mastering Biology 9,3,1-Itemset
Advanced Music 2,3,1-Itemset
The Art of History 9,3,1-Itemset
Advanced Java 2,3,1-Itemset
Fundamentals of Music 4,3,1-Itemset
Introduction to Java 8,3,1-Itemset
Guide to Philosophy 6,3,1-Itemset
Mastering Biology 6,3,1-Itemset
Guide to Biology 3,3,1-Itemset
Guide to Machine Learning 6,3,1-Itemset
Fundamentals of Art 5,3,1-Itemset
The Art of Java 2,3,1-Itemset
Guide to AI 3,3,1-Itemset
The Art of History 9,3,1-Itemset
Introduction to Python 6,3,1-Itemset
The Art of Biology 6,3,1-Itemset
Guide to Biology 7,3,1-Itemset
History of Biology 1,3,1-Itemset
Advanced Biology 1,3,1-Itemset
Guide to AI 6,3,1-Itemset
Advanced Calculus 1,3,1-Itemset
Guide to Java 8,3,1-Itemset
Mastering History 6,3,1-Itemset
Advanced Chemistry 5,3,1-Itemset
Fundamentals of Physics 6,3,1-Itemset
Mastering History 7,3,1-Itemset
History of Biology 9,3,1-Itemset
Fundamentals of Music 1,3,1-Itemset
Handbook of History 9,3,1-Itemset
Handbook of Machine Learning 2,3,1-Itemset
Mastering Calculus 9,3,1-Itemset
Mastering Java 3,3,1-Itemset
The Art of Python 8,3,1-Itemset
History of AI 7,3,1-Itemset
Handbook of Physics 2,3,1-Itemset
The Art of Economics 4,3,1-Itemset
Mastering Music 8,3,1-Itemset
Advanced Philosophy 1,3,1-Itemset
Introduction to Java 10,3,1-Itemset
Advanced Java 3,3,1-Itemset
Advanced Chemistry 1,3,1-Itemset
Introduction to Art 2,3,1-Itemset
Introduction to History 1,3,1-Itemset
Guide to Java 8,3,1-Itemset
Fundamentals of Economics 9,3,1-Itemset
The Art of Java 7,3,1-Itemset
Mastering Philosophy 4,3,1-Itemset
History of Calculus 1,3,1-Itemset
Introduction to Philosophy 1,3,1-Itemset
Introduction to Chemistry 1,3,1-Itemset
History of History 2,3,1-Itemset
Guide to History 7,3,1-Itemset
Fundamentals of Chemistry 10,3,1-Itemset
Handbook of AI 6,3,1-Itemset
Handbook of Physics 4,3,1-Itemset
History of Chemistry 10,3,1-Itemset
Introduction to Chemistry 9,3,1-Itemset
History of Physics 1,3,1-Itemset
Guide to History 1,3,1-Itemset
Advanced Economics 7,3,1-Itemset
The Art of History 5,3,1-Itemset
Handbook of Java 6,3,1-Itemset
Mastering Music 8,3,1-Itemset
Introduction to Chemistry 9,3,1-Itemset
Mastering Economics 7,3,1-Itemset
Handbook of Biology 7,3,1-Itemset
Fundamentals of Economics 7,3,1-Itemset
History of Chemistry 5,3,1-Itemset
Guide to Physics 4,3,1-Itemset
Introduction to History 10,3,1-Itemset
Fundamentals of Chemistry 6,3,1-Itemset
Advanced Java 5,3,1-Itemset
Introduction to AI 8,3,1-Itemset
History of Physics 1,3,1-Itemset
Advanced AI 2,3,1-Itemset
Introduction to Philosophy 1,3,1-Itemset
Guide to Machine Learning 1,3,1-Itemset
Handbook of Philosophy 9,3,1-Itemset
The Art of Art 3,3,1-Itemset
Fundamentals of AI 1,3,1-Itemset
History of Biology 2,3,1-Itemset
Handbook of Music 7,3,1-Itemset
Fundamentals of Chemistry 2,3,1-Itemset
Introduction to Art 6,3,1-Itemset
Mastering Economics 9,3,1-Itemset
Advanced Java 8,3,1-Itemset
Introduction to Machine Learning 2,3,1-Itemset
Guide to Python 6,3,1-Itemset
Mastering Art 8,3,1-Itemset
Fundamentals of Python 3,3,1-Itemset
Handbook of History 9,3,1-Itemset
Handbook of Chemistry 5,3,1-Itemset
Mastering History 6,3,1-Itemset
Guide to Philosophy 9,3,1-Itemset
Fundamentals of Java 9,3,1-Itemset
Mastering Java 10,3,1-Itemset
The Art of Philosophy 9,3,1-Itemset
Introduction to Python 1,3,1-Itemset
History of Calculus 4,3,1-Itemset
History of Philosophy 10,3,1-Itemset
History of Economics 1,3,1-Itemset
The Art of Python 7,3,1-Itemset
The Art of Music 6,3,1-Itemset
The Art of Art 2,3,1-Itemset
Guide to Music 2,3,1-Itemset
History of Art 2,3,1-Itemset
History of Biology 5,3,1-Itemset
Mastering Machine Learning 2,3,1-Itemset
The Art of Philosophy 1,3,1-Itemset
Handbook of Java 9,3,1-Itemset
Mastering Art 6,3,1-Itemset
Handbook of AI 10,3,1-Itemset
Advanced Economics 10,3,1-Itemset
Handbook of Java 7,3,1-Itemset
Advanced Calculus 9,3,1-Itemset
Introduction to Economics 3,3,1-Itemset
Guide to Java 4,3,1-Itemset
Mastering Economics 7,3,1-Itemset
Advanced Economics 3,3,1-Itemset
Guide to Art 1,3,1-Itemset
Introduction to Physics 1,3,1-Itemset
History of Music 4,3,1-Itemset
Mastering Music 10,3,1-Itemset
Introduction to Machine Learning 7,3,1-Itemset
History of Economics 5,3,1-Itemset
Guide to Economics 1,3,1-Itemset
Advanced Java 7,3,1-Itemset
Guide to Calculus 1,3,1-Itemset
Introduction to Philosophy 6,3,1-Itemset
Advanced Economics 7,3,1-Itemset
History of AI 3,3,1-Itemset
Guide to Python 10,3,1-Itemset
Mastering Chemistry 9,3,1-Itemset
Advanced Chemistry 8,3,1-Itemset
Handbook of History 6,3,1-Itemset
The Art of Art 9,3,1-Itemset
Guide to Biology 8,3,1-Itemset
Fundamentals of Calculus 10,3,1-Itemset
Handbook of Machine Learning 3,3,1-Itemset
Introduction to Java 8,3,1-Itemset
Handbook of Economics 3,3,1-Itemset
Mastering Java 8,3,1-Itemset
Advanced Chemistry 9,3,1-Itemset
Fundamentals of Music 9,3,1-Itemset
Mastering Philosophy 6,3,1-Itemset
The Art of Economics 9,3,1-Itemset
Fundamentals of Java 10,3,1-Itemset
Handbook of History 3,3,1-Itemset
Mastering Biology 7,3,1-Itemset
Advanced Music 10,3,1-Itemset
The Art of Economics 2,3,1-Itemset
Handbook of Calculus 3,3,1-Itemset
Advanced History 3,3,1-Itemset
The Art of Physics 8,3,1-Itemset
Introduction to History 10,3,1-Itemset
Advanced Philosophy 2,3,1-Itemset
Advanced Philosophy 9,3,1-Itemset
Guide to Calculus 10,3,1-Itemset
Mastering AI 6,3,1-Itemset
History of Machine Learning 4,3,1-Itemset
The Art of Economics 3,3,1-Itemset
Introduction to History 4,3,1-Itemset
Mastering Calculus 8,3,1-Itemset
Handbook of Art 1,3,1-Itemset
Mastering Art 9,3,1-Itemset
History of Economics 1,3,1-Itemset
Guide to History 8,3,1-Itemset
Handbook of Machine Learning 5,3,1-Itemset
The Art of Java 4,3,1-Itemset
Fundamentals of Music 3,3,1-Itemset
Fundamentals of AI 7,3,1-Itemset
Guide to AI 6,3,1-Itemset
Introduction to Machine Learning 8,3,1-Itemset
Handbook of Economics 3,3,1-Itemset
Fundamentals of Economics 7,3,1-Itemset
Guide to Java 2,3,1-Itemset
Introduction to Java 1,3,1-Itemset
Introduction to Chemistry 5,3,1-Itemset
The Art of Chemistry 3,3,1-Itemset
Mastering Calculus 3,3,1-Itemset
Fundamentals of Physics 6,3,1-Itemset
Fundamentals of Machine Learning 5,3,1-Itemset
Handbook of Chemistry 5,3,1-Itemset
Advanced History 3,3,1-Itemset
The Art of Java 6,3,1-Itemset
Guide to Calculus 3,3,1-Itemset
Handbook of Biology 5,3,1-Itemset
Handbook of Python 7,3,1-Itemset
Mastering Java 10,3,1-Itemset
Advanced Art 2,3,1-Itemset
History of Philosophy 9,3,1-Itemset
Guide to Philosophy 2,3,1-Itemset
Guide to Economics 5,3,1-Itemset
Mastering AI 9,3,1-Itemset
Fundamentals of Physics 10,3,1-Itemset
Mastering Machine Learning 8,3,1-Itemset
Fundamentals of Physics 3,3,1-Itemset
History of Art 6,3,1-Itemset
Advanced AI 6,3,1-Itemset
Handbook of Music 9,3,1-Itemset
Mastering Art 2,3,1-Itemset
History of Art 8,3,1-Itemset
Mastering Calculus 1,3,1-Itemset
Guide to Python 7,3,1-Itemset
Guide to Java 10,3,1-Itemset
Handbook of Music 6,3,1-Itemset
The Art of Chemistry 2,3,1-Itemset
The Art of Calculus 8,3,1-Itemset
The Art of History 4,3,1-Itemset
Fundamentals of Java 1,3,1-Itemset
Guide to AI 10,3,1-Itemset
Mastering Music 1,3,1-Itemset
Handbook of Java 3,3,1-Itemset
Fundamentals of Python 7,3,1-Itemset
Advanced Biology 3,3,1-Itemset
Advanced Python 9,3,1-Itemset
The Art of History 4,3,1-Itemset
The Art of Art 10,3,1-Itemset
Mastering Music 10,3,1-Itemset
Introduction to Java 2,3,1-Itemset
The Art of Art 8,3,1-Itemset
The Art of Calculus 3,3,1-Itemset
"The Art of Biology 1, The Art of Economics 9",2,2-Itemset
Mastering Physics 4,2,1-Itemset
Mastering Python 4,2,1-Itemset
Fundamentals of Calculus 7,2,1-Itemset
Advanced Calculus 8,2,1-Itemset
Advanced Java 1,2,1-Itemset
Advanced Calculus 6,2,1-Itemset
The Art of Calculus 7,2,1-Itemset
Fundamentals of Biology 3,2,1-Itemset
History of Physics 1,2,1-Itemset
"Advanced Chemistry 1, Advanced Physics 2",2,2-Itemset
"Advanced Philosophy 2, History of History 7",2,2-Itemset
"Fundamentals of Chemistry 9, Mastering Java 10",2,2-Itemset
"Advanced Calculus 7, Fundamentals of Biology 4",2,2-Itemset
"History of Music 2, The Art of History 1",2,2-Itemset
"Advanced Calculus 7, Mastering Biology 8",2,2-Itemset
"Advanced Java 7, Mastering Calculus 9",2,2-Itemset
Advanced Biology 10,2,1-Itemset
Fundamentals of AI 6,2,1-Itemset
Advanced Biology 4,2,1-Itemset
Advanced History 5,2,1-Itemset
Handbook of Python 6,2,1-Itemset
Introduction to Machine Learning 3,2,1-Itemset
Advanced Music 5,2,1-Itemset
The Art of Calculus 8,2,1-Itemset
History of AI 2,2,1-Itemset
Advanced Java 7,2,1-Itemset
The Art of Economics 4,2,1-Itemset
Mastering Biology 4,2,1-Itemset
Introduction to Machine Learning 3,2,1-Itemset
Mastering Chemistry 2,2,1-Itemset
Advanced AI 1,2,1-Itemset
The Art of Philosophy 4,2,1-Itemset
Handbook of Machine Learning 7,2,1-Itemset
Introduction to Music 2,2,1-Itemset
Handbook of Music 5,2,1-Itemset
Handbook of Java 3,2,1-Itemset
History of Chemistry 5,2,1-Itemset
Introduction to Philosophy 6,2,1-Itemset
The Art of History 9,2,1-Itemset
Handbook of Physics 7,2,1-Itemset
Mastering Calculus 4,2,1-Itemset
The Art of Python 8,2,1-Itemset
Introduction to Economics 3,2,1-Itemset
Mastering Calculus 9,2,1-Itemset
Fundamentals of Calculus 4,2,1-Itemset
History of Machine Learning 9,2,1-Itemset
Mastering Art 10,2,1-Itemset
Mastering Art 2,2,1-Itemset
Introduction to Economics 7,2,1-Itemset
Guide to Calculus 3,2,1-Itemset
Mastering Calculus 6,2,1-Itemset
Mastering Physics 3,2,1-Itemset
Fundamentals of Economics 7,2,1-Itemset
Mastering Calculus 9,2,1-Itemset
Handbook of History 8,2,1-Itemset
The Art of Economics 7,2,1-Itemset
The Art of Physics 10,2,1-Itemset
Mastering AI 9,2,1-Itemset
History of Biology 9,2,1-Itemset
Fundamentals of Philosophy 4,2,1-Itemset
Guide to Music 2,2,1-Itemset
Guide to Music 1,2,1-Itemset
Fundamentals of Physics 5,2,1-Itemset
Handbook of Java 8,2,1-Itemset
The Art of Biology 1,2,1-Itemset
Introduction to Python 7,2,1-Itemset
Fundamentals of Java 3,2,1-Itemset
Handbook of Chemistry 5,2,1-Itemset
Introduction to Music 4,2,1-Itemset
Advanced Philosophy 10,2,1-Itemset
The Art of History 7,2,1-Itemset
Mastering Machine Learning 3,2,1-Itemset
Mastering Python 4,2,1-Itemset
Fundamentals of Music 7,2,1-Itemset
The Art of Art 10,2,1-Itemset
Mastering Chemistry 9,2,1-Itemset
Mastering Python 4,2,1-Itemset
Introduction to Philosophy 5,2,1-Itemset
Mastering Biology 6,2,1-Itemset
Advanced Biology 4,2,1-Itemset
Fundamentals of AI 4,2,1-Itemset
Guide to Calculus 3,2,1-Itemset
History of Music 3,2,1-Itemset
Introduction to Machine Learning 7,2,1-Itemset
Guide to Biology 2,2,1-Itemset
Handbook of Physics 8,2,1-Itemset
Handbook of Physics 7,2,1-Itemset
Advanced Music 2,2,1-Itemset
Advanced AI 6,2,1-Itemset
Advanced Music 1,2,1-Itemset
Guide to Biology 1,2,1-Itemset
Advanced Python 5,2,1-Itemset
Guide to AI 9,2,1-Itemset
Mastering Philosophy 5,2,1-Itemset
Introduction to Philosophy 10,2,1-Itemset
Mastering Python 6,2,1-Itemset
Fundamentals of Java 8,2,1-Itemset
Mastering Java 8,2,1-Itemset
The Art of Music 1,2,1-Itemset
Introduction to Biology 6,2,1-Itemset
Mastering Chemistry 3,2,1-Itemset
The Art of History 2,2,1-Itemset
The Art of Art 5,2,1-Itemset
Advanced Python 5,2,1-Itemset
Fundamentals of Calculus 10,2,1-Itemset
Mastering Java 10,2,1-Itemset
The Art of History 10,2,1-Itemset
Handbook of Economics 9,2,1-Itemset
Advanced Physics 3,2,1-Itemset
Introduction to Physics 5,2,1-Itemset
History of Philosophy 10,2,1-Itemset
The Art of Philosophy 4,2,1-Itemset
Fundamentals of AI 5,2,1-Itemset
Mastering Machine Learning 1,2,1-Itemset
Handbook of AI 9,2,1-Itemset
Fundamentals of Physics 9,2,1-Itemset
History of Economics 4,2,1-Itemset
Mastering Chemistry 9,2,1-Itemset
Handbook of Philosophy 5,2,1-Itemset
Handbook of Music 3,2,1-Itemset
The Art of Biology 1,2,1-Itemset
History of Python 8,2,1-Itemset
Handbook of Python 9,2,1-Itemset
History of AI 8,2,1-Itemset
Handbook of Art 6,2,1-Itemset
Handbook of Python 2,2,1-Itemset
Advanced Python 4,2,1-Itemset
Fundamentals of Python 8,2,1-Itemset
Advanced Economics 1,2,1-Itemset
Advanced Chemistry 1,2,1-Itemset
Guide to Philosophy 1,2,1-Itemset
History of Philosophy 3,2,1-Itemset
History of Chemistry 9,2,1-Itemset
Guide to Java 4,2,1-Itemset
Handbook of Python 6,2,1-Itemset
History of Python 7,2,1-Itemset
Introduction to Biology 6,2,1-Itemset
