masterId,title,author,borrow_count,total_copies,poor_copies,fair_copies,recommendation_score,recommended_action
BM-0651,Advanced Java 1,Author O. Johnson,5,5,3,0,35.0,Replace 3 Poor copies
BM-0521,Advanced History 10,Author I. Williams,4,4,3,0,34.0,Replace 3 Poor copies
BM-0104,The Art of Physics 7,Author U. Williams,4,4,3,0,34.0,Replace 3 Poor copies
BM-0528,Handbook of Machine Learning 7,Author F. Jones,4,4,3,0,34.0,Replace 3 Poor copies
BM-0754,Guide to Python 4,Author M. Brown,4,4,3,0,34.0,Replace 3 Poor copies
BM-0333,History of Machine Learning 5,Author N. Smith,4,4,3,0,34.0,Replace 3 Poor copies
BM-0089,History of Biology 6,Author P. Brown,8,8,2,3,34.0,Replace 2 Poor copies
BM-0792,Fundamentals of Art 5,Author K. Brown,3,3,3,0,33.0,Replace 3 Poor copies
BM-0993,The Art of Java 6,Author U. Brown,3,3,3,0,33.0,Replace 3 Poor copies
BM-0455,The Art of Python 5,Author I. Jones,6,6,2,3,32.0,Replace 2 Poor copies
BM-0479,Advanced History 5,Author I. Johnson,6,6,2,3,32.0,Replace 2 Poor copies
BM-0939,Advanced Physics 2,Author Y. Brown,8,8,2,2,32.0,Replace 2 Poor copies
BM-0707,The Art of History 6,Author O. Smith,7,7,2,2,31.0,Replace 2 Poor copies
BM-0636,Fundamentals of Machine Learning 3,Author H. Smith,5,5,2,3,31.0,Replace 2 Poor copies
BM-0474,Fundamentals of Machine Learning 5,Author U. Smith,7,7,2,2,31.0,Replace 2 Poor copies
BM-0525,The Art of Philosophy 5,Author C. Brown,5,5,2,3,31.0,Replace 2 Poor copies
BM-0450,The Art of Calculus 3,Author S. Johnson,6,6,2,2,30.0,Replace 2 Poor copies
BM-0027,Fundamentals of Chemistry 4,Author F. Jones,6,6,2,2,30.0,Replace 2 Poor copies
BM-0355,Fundamentals of Chemistry 7,Author U. Williams,6,6,2,2,30.0,Replace 2 Poor copies
BM-0208,Introduction to Java 5,Author N. Williams,6,6,2,2,30.0,Replace 2 Poor copies
BM-0259,Handbook of Biology 10,Author U. Smith,6,6,2,2,30.0,Replace 2 Poor copies
BM-0001,Introduction to Music 3,Author D. Brown,8,8,2,1,30.0,Replace 2 Poor copies
BM-0934,Fundamentals of Python 1,Author J. Williams,6,6,2,2,30.0,Replace 2 Poor copies
BM-0668,Fundamentals of AI 5,Author L. Johnson,5,5,2,2,29.0,Replace 2 Poor copies
BM-0174,Introduction to Music 3,Author K. Williams,5,5,2,2,29.0,Replace 2 Poor copies
BM-0913,Fundamentals of Java 1,Author M. Jones,7,7,2,1,29.0,Replace 2 Poor copies
BM-0912,History of Music 9,Author L. Johnson,7,7,2,1,29.0,Replace 2 Poor copies
BM-0785,Mastering Philosophy 9,Author W. Brown,9,9,1,5,29.0,Replace 1 Poor copy
BM-0534,Mastering History 2,Author S. Brown,7,7,2,1,29.0,Replace 2 Poor copies
BM-0023,Advanced Art 4,Author O. Johnson,5,5,2,2,29.0,Replace 2 Poor copies
BM-0014,The Art of History 3,Author A. Jones,6,6,2,1,28.0,Replace 2 Poor copies
BM-0695,The Art of History 1,Author V. Williams,6,6,2,1,28.0,Replace 2 Poor copies
BM-0582,Advanced Machine Learning 1,Author W. Jones,4,4,2,2,28.0,Replace 2 Poor copies
BM-0748,Advanced History 7,Author D. Williams,6,6,2,1,28.0,Replace 2 Poor copies
BM-0053,The Art of Calculus 5,Author B. Jones,4,4,2,2,28.0,Replace 2 Poor copies
BM-0809,Advanced Economics 5,Author G. Smith,6,6,2,1,28.0,Replace 2 Poor copies
BM-0207,Fundamentals of Biology 4,Author T. Brown,4,4,2,2,28.0,Replace 2 Poor copies
BM-0505,History of History 10,Author H. Jones,7,7,2,0,27.0,Replace 2 Poor copies
BM-0883,History of Calculus 4,Author Y. Brown,5,5,2,1,27.0,Replace 2 Poor copies
BM-0499,Fundamentals of Java 7,Author M. Johnson,5,5,2,1,27.0,Replace 2 Poor copies
BM-0762,Fundamentals of Economics 6,Author G. Johnson,5,5,2,1,27.0,Replace 2 Poor copies
BM-0691,The Art of Philosophy 9,Author L. Williams,5,5,2,1,27.0,Replace 2 Poor copies
BM-0476,Handbook of Calculus 4,Author H. Jones,5,5,2,1,27.0,Replace 2 Poor copies
BM-0185,Advanced Music 8,Author P. Williams,5,5,2,1,27.0,Replace 2 Poor copies
BM-0859,The Art of Economics 8,Author P. Johnson,5,5,2,1,27.0,Replace 2 Poor copies
BM-0072,History of Physics 6,Author I. Jones,5,5,2,1,27.0,Replace 2 Poor copies
BM-0916,Mastering Music 10,Author P. Jones,5,5,2,1,27.0,Replace 2 Poor copies
BM-0998,Introduction to Physics 8,Author S. Smith,5,5,2,1,27.0,Replace 2 Poor copies
BM-0931,Fundamentals of Music 1,Author G. Williams,5,5,2,1,27.0,Replace 2 Poor copies
BM-0009,Advanced Art 6,Author K. Smith,5,5,2,1,27.0,Replace 2 Poor copies
BM-0994,Handbook of History 2,Author U. Smith,4,4,2,1,26.0,Replace 2 Poor copies
BM-0296,Guide to Biology 9,Author G. Williams,4,4,2,1,26.0,Replace 2 Poor copies
BM-0793,History of Java 9,Author F. Jones,4,4,2,1,26.0,Replace 2 Poor copies
BM-0852,Mastering AI 6,Author M. Johnson,4,4,2,1,26.0,Replace 2 Poor copies
BM-0488,History of Python 9,Author P. Brown,4,4,2,1,26.0,Replace 2 Poor copies
BM-0867,Guide to AI 5,Author P. Brown,4,4,2,1,26.0,Replace 2 Poor copies
BM-0219,Fundamentals of Chemistry 9,Author Q. Johnson,4,4,2,1,26.0,Replace 2 Poor copies
BM-0656,History of Music 2,Author A. Smith,6,6,2,0,26.0,Replace 2 Poor copies
BM-0235,Advanced Calculus 7,Author P. Smith,6,6,2,0,26.0,Replace 2 Poor copies
BM-0627,The Art of Art 9,Author U. Brown,4,4,2,1,26.0,Replace 2 Poor copies
BM-0570,Handbook of Calculus 2,Author X. Brown,4,4,2,1,26.0,Replace 2 Poor copies
BM-0508,Fundamentals of Calculus 7,Author G. Smith,4,4,2,1,26.0,Replace 2 Poor copies
BM-0063,Introduction to AI 4,Author G. Smith,4,4,2,1,26.0,Replace 2 Poor copies
BM-0303,Fundamentals of Python 4,Author L. Brown,4,4,2,1,26.0,Replace 2 Poor copies
BM-0048,The Art of Art 9,Author L. Jones,3,3,2,1,25.0,Replace 2 Poor copies
BM-0273,The Art of History 8,Author Q. Jones,5,5,2,0,25.0,Replace 2 Poor copies
BM-0706,Introduction to Music 10,Author T. Williams,5,5,2,0,25.0,Replace 2 Poor copies
BM-0965,Fundamentals of Chemistry 4,Author U. Johnson,5,5,2,0,25.0,Replace 2 Poor copies
BM-0099,Fundamentals of Physics 1,Author W. Williams,5,5,2,0,25.0,Replace 2 Poor copies
BM-0603,Advanced Art 8,Author T. Johnson,3,3,2,1,25.0,Replace 2 Poor copies
BM-0229,The Art of Philosophy 9,Author T. Jones,3,3,2,1,25.0,Replace 2 Poor copies
BM-0552,Fundamentals of Economics 7,Author H. Brown,3,3,2,1,25.0,Replace 2 Poor copies
BM-0971,Guide to Biology 7,Author T. Jones,5,5,2,0,25.0,Replace 2 Poor copies
BM-0983,Handbook of Chemistry 6,Author A. Williams,7,7,1,4,25.0,Replace 1 Poor copy
BM-0272,The Art of Python 3,Author V. Williams,5,5,2,0,25.0,Replace 2 Poor copies
BM-0659,Introduction to Art 5,Author R. Johnson,5,5,2,0,25.0,Replace 2 Poor copies
BM-0468,History of Economics 1,Author H. Jones,3,3,2,1,25.0,Replace 2 Poor copies
BM-0113,Guide to Economics 5,Author G. Johnson,3,3,2,1,25.0,Replace 2 Poor copies
BM-0569,Fundamentals of Physics 6,Author I. Johnson,3,3,2,1,25.0,Replace 2 Poor copies
BM-0522,History of Music 5,Author R. Jones,5,5,2,0,25.0,Replace 2 Poor copies
BM-0901,The Art of Economics 2,Author H. Smith,3,3,2,1,25.0,Replace 2 Poor copies
BM-0854,Guide to Physics 1,Author S. Smith,5,5,2,0,25.0,Replace 2 Poor copies
BM-0571,The Art of Physics 2,Author U. Williams,4,4,2,0,24.0,Replace 2 Poor copies
BM-0974,Mastering Music 1,Author S. Williams,4,4,2,0,24.0,Replace 2 Poor copies
BM-0701,Advanced Chemistry 10,Author Y. Williams,4,4,2,0,24.0,Replace 2 Poor copies
BM-0276,Advanced Calculus 1,Author R. Smith,4,4,2,0,24.0,Replace 2 Poor copies
BM-0641,History of Philosophy 8,Author X. Brown,4,4,2,0,24.0,Replace 2 Poor copies
BM-0158,Guide to Economics 1,Author P. Jones,4,4,2,0,24.0,Replace 2 Poor copies
BM-0713,Introduction to Music 1,Author R. Johnson,4,4,2,0,24.0,Replace 2 Poor copies
BM-0406,Guide to Java 2,Author U. Brown,4,4,2,0,24.0,Replace 2 Poor copies
BM-0316,Mastering Python 6,Author C. Johnson,6,6,1,4,24.0,Replace 1 Poor copy
BM-0456,Guide to Art 6,Author P. Johnson,4,4,2,0,24.0,Replace 2 Poor copies
BM-0871,Fundamentals of Chemistry 9,Author F. Smith,4,4,2,0,24.0,Replace 2 Poor copies
BM-0461,Guide to Music 2,Author F. Williams,8,8,1,3,24.0,Replace 1 Poor copy
BM-0908,History of Calculus 8,Author F. Williams,4,4,2,0,24.0,Replace 2 Poor copies
BM-0853,The Art of History 2,Author J. Williams,4,4,2,0,24.0,Replace 2 Poor copies
BM-0220,Advanced Economics 3,Author F. Williams,3,3,2,0,23.0,Replace 2 Poor copies
BM-0239,Advanced Machine Learning 1,Author Z. Brown,7,7,1,3,23.0,Replace 1 Poor copy
BM-0192,Guide to Physics 1,Author O. Jones,7,7,1,3,23.0,Replace 1 Poor copy
BM-0421,Mastering Music 8,Author P. Brown,3,3,2,0,23.0,Replace 2 Poor copies
BM-0699,Guide to History 7,Author D. Brown,3,3,2,0,23.0,Replace 2 Poor copies
BM-0486,The Art of Music 6,Author G. Johnson,3,3,2,0,23.0,Replace 2 Poor copies
BM-0021,The Art of Chemistry 2,Author O. Jones,3,3,2,0,23.0,Replace 2 Poor copies
BM-0119,Advanced Art 2,Author J. Brown,3,3,2,0,23.0,Replace 2 Poor copies
BM-0067,Advanced Philosophy 1,Author W. Jones,3,3,2,0,23.0,Replace 2 Poor copies
BM-0288,Advanced Java 3,Author H. Jones,3,3,2,0,23.0,Replace 2 Poor copies
BM-0563,Handbook of Chemistry 5,Author B. Jones,3,3,2,0,23.0,Replace 2 Poor copies
BM-0391,Fundamentals of Music 4,Author C. Williams,3,3,2,0,23.0,Replace 2 Poor copies
BM-0255,History of Philosophy 10,Author V. Johnson,3,3,2,0,23.0,Replace 2 Poor copies
BM-0169,Introduction to History 10,Author B. Johnson,3,3,2,0,23.0,Replace 2 Poor copies
BM-0073,Mastering Philosophy 6,Author W. Smith,3,3,2,0,23.0,Replace 2 Poor copies
BM-0673,Fundamentals of Chemistry 2,Author N. Johnson,3,3,2,0,23.0,Replace 2 Poor copies
BM-0478,The Art of Art 2,Author K. Smith,3,3,2,0,23.0,Replace 2 Poor copies
BM-0933,History of Calculus 1,Author I. Smith,3,3,2,0,23.0,Replace 2 Poor copies
BM-0639,The Art of Economics 3,Author L. Johnson,3,3,2,0,23.0,Replace 2 Poor copies
BM-0896,Mastering Java 10,Author K. Williams,3,3,2,0,23.0,Replace 2 Poor copies
BM-0801,Advanced Chemistry 1,Author E. Smith,5,5,1,4,23.0,Replace 1 Poor copy
BM-0968,Advanced Chemistry 5,Author Y. Brown,2,2,2,0,22.0,Replace 2 Poor copies
BM-0365,The Art of History 5,Author V. Jones,2,2,2,0,22.0,Replace 2 Poor copies
BM-0214,Mastering Chemistry 6,Author O. Williams,2,2,2,0,22.0,Replace 2 Poor copies
BM-0850,Mastering Biology 6,Author P. Brown,2,2,2,0,22.0,Replace 2 Poor copies
BM-0277,Advanced Art 1,Author V. Smith,6,6,1,3,22.0,Replace 1 Poor copy
BM-0978,Introduction to Economics 10,Author G. Williams,2,2,2,0,22.0,Replace 2 Poor copies
BM-0302,Guide to Music 4,Author W. Jones,2,2,2,0,22.0,Replace 2 Poor copies
BM-0147,Fundamentals of Java 6,Author O. Brown,6,6,1,3,22.0,Replace 1 Poor copy
BM-0987,Advanced Calculus 8,Author J. Jones,6,6,1,3,22.0,Replace 1 Poor copy
BM-0597,Fundamentals of Biology 3,Author F. Williams,2,2,2,0,22.0,Replace 2 Poor copies
BM-0066,History of Machine Learning 9,Author U. Smith,2,2,2,0,22.0,Replace 2 Poor copies
BM-0477,The Art of Biology 1,Author Z. Williams,2,2,2,0,22.0,Replace 2 Poor copies
BM-0083,Guide to Biology 2,Author Z. Jones,2,2,2,0,22.0,Replace 2 Poor copies
BM-0178,Handbook of AI 9,Author M. Johnson,2,2,2,0,22.0,Replace 2 Poor copies
BM-0787,Advanced AI 2,Author Z. Jones,2,2,2,0,22.0,Replace 2 Poor copies
BM-0722,The Art of Calculus 1,Author X. Jones,2,2,2,0,22.0,Replace 2 Poor copies
BM-0230,History of Chemistry 2,Author C. Johnson,2,2,2,0,22.0,Replace 2 Poor copies
BM-0472,Fundamentals of Python 1,Author I. Jones,6,6,1,3,22.0,Replace 1 Poor copy
BM-0442,The Art of Music 3,Author Y. Jones,5,5,1,3,21.0,Replace 1 Poor copy
BM-0658,Introduction to Music 9,Author S. Brown,5,5,1,3,21.0,Replace 1 Poor copy
BM-0201,History of Art 2,Author M. Jones,5,5,1,3,21.0,Replace 1 Poor copy
BM-0886,Advanced Chemistry 5,Author G. Smith,7,7,1,2,21.0,Replace 1 Poor copy
BM-0383,Mastering Biology 8,Author H. Johnson,7,7,1,2,21.0,Replace 1 Poor copy
BM-0576,Fundamentals of Physics 5,Author M. Brown,7,7,1,2,21.0,Replace 1 Poor copy
BM-0148,Introduction to Calculus 2,Author Z. Smith,7,7,1,2,21.0,Replace 1 Poor copy
BM-0957,Introduction to AI 3,Author P. Johnson,6,6,1,2,20.0,Replace 1 Poor copy
BM-0419,Mastering History 3,Author H. Williams,6,6,1,2,20.0,Replace 1 Poor copy
BM-0533,History of Art 3,Author S. Jones,6,6,1,2,20.0,Replace 1 Poor copy
BM-0363,History of History 7,Author B. Jones,6,6,1,2,20.0,Replace 1 Poor copy
BM-0709,History of Machine Learning 1,Author G. Brown,6,6,1,2,20.0,Replace 1 Poor copy
BM-0612,The Art of History 10,Author F. Johnson,6,6,1,2,20.0,Replace 1 Poor copy
BM-0818,Advanced Calculus 5,Author C. Jones,6,6,1,2,20.0,Replace 1 Poor copy
BM-0430,Introduction to Art 6,Author R. Williams,6,6,1,2,20.0,Replace 1 Poor copy
BM-0258,Advanced Chemistry 5,Author U. Williams,6,6,1,2,20.0,Replace 1 Poor copy
BM-0484,The Art of Economics 8,Author P. Jones,4,4,1,3,20.0,Replace 1 Poor copy
BM-0020,Handbook of Java 2,Author W. Jones,6,6,1,2,20.0,Replace 1 Poor copy
BM-0909,Guide to Music 9,Author J. Jones,6,6,1,2,20.0,Replace 1 Poor copy
BM-0262,The Art of Philosophy 6,Author Q. Smith,6,6,1,2,20.0,Replace 1 Poor copy
BM-0997,Mastering Philosophy 1,Author P. Brown,6,6,1,2,20.0,Replace 1 Poor copy
BM-0279,The Art of Art 8,Author V. Brown,8,8,1,1,20.0,Replace 1 Poor copy
BM-0324,Fundamentals of Economics 4,Author V. Johnson,7,7,1,1,19.0,Replace 1 Poor copy
BM-0177,Handbook of Philosophy 10,Author F. Smith,7,7,1,1,19.0,Replace 1 Poor copy
BM-0465,Mastering Calculus 6,Author A. Johnson,5,5,1,2,19.0,Replace 1 Poor copy
BM-0344,Advanced Calculus 6,Author Q. Smith,5,5,1,2,19.0,Replace 1 Poor copy
BM-0844,History of Physics 6,Author N. Johnson,5,5,1,2,19.0,Replace 1 Poor copy
BM-0885,Mastering History 6,Author E. Smith,5,5,1,2,19.0,Replace 1 Poor copy
BM-0664,Guide to Calculus 9,Author F. Williams,5,5,1,2,19.0,Replace 1 Poor copy
BM-0340,The Art of Philosophy 1,Author U. Jones,5,5,1,2,19.0,Replace 1 Poor copy
BM-0354,Advanced Java 1,Author Y. Smith,5,5,1,2,19.0,Replace 1 Poor copy
BM-0808,Advanced Music 4,Author O. Williams,9,9,0,5,19.0,No Action Needed
BM-0645,Fundamentals of Calculus 10,Author L. Johnson,5,5,1,2,19.0,Replace 1 Poor copy
BM-0039,Fundamentals of Chemistry 6,Author L. Jones,7,7,1,1,19.0,Replace 1 Poor copy
BM-0245,History of Chemistry 2,Author N. Smith,4,4,1,2,18.0,Replace 1 Poor copy
BM-0310,The Art of History 5,Author K. Brown,6,6,1,1,18.0,Replace 1 Poor copy
BM-0492,The Art of Physics 5,Author N. Smith,6,6,1,1,18.0,Replace 1 Poor copy
BM-0618,Handbook of Java 6,Author S. Williams,4,4,1,2,18.0,Replace 1 Poor copy
BM-0577,Introduction to Physics 3,Author K. Brown,6,6,1,1,18.0,Replace 1 Poor copy
BM-0035,Mastering Music 9,Author F. Smith,4,4,1,2,18.0,Replace 1 Poor copy
BM-0156,Handbook of Biology 7,Author F. Johnson,4,4,1,2,18.0,Replace 1 Poor copy
BM-0085,The Art of Calculus 8,Author P. Johnson,4,4,1,2,18.0,Replace 1 Poor copy
BM-0384,Advanced Art 9,Author C. Williams,4,4,1,2,18.0,Replace 1 Poor copy
BM-0345,Guide to Art 3,Author V. Smith,4,4,1,2,18.0,Replace 1 Poor copy
BM-0814,Advanced Physics 2,Author E. Brown,4,4,1,2,18.0,Replace 1 Poor copy
BM-0395,Mastering History 8,Author U. Williams,4,4,1,2,18.0,Replace 1 Poor copy
BM-0283,Mastering Java 10,Author X. Smith,4,4,1,2,18.0,Replace 1 Poor copy
BM-0675,Mastering Physics 1,Author U. Johnson,4,4,1,2,18.0,Replace 1 Poor copy
BM-0042,Mastering Java 10,Author X. Williams,4,4,1,2,18.0,Replace 1 Poor copy
BM-0960,Mastering Chemistry 10,Author R. Williams,4,4,1,2,18.0,Replace 1 Poor copy
BM-0082,Advanced AI 1,Author F. Smith,4,4,1,2,18.0,Replace 1 Poor copy
BM-0868,Guide to Philosophy 3,Author R. Johnson,6,6,1,1,18.0,Replace 1 Poor copy
BM-0405,Fundamentals of Machine Learning 9,Author F. Johnson,4,4,1,2,18.0,Replace 1 Poor copy
BM-0441,Advanced Music 8,Author I. Smith,4,4,1,2,18.0,Replace 1 Poor copy
BM-0382,Introduction to Philosophy 3,Author T. Jones,4,4,1,2,18.0,Replace 1 Poor copy
BM-0467,Handbook of Java 4,Author J. Jones,4,4,1,2,18.0,Replace 1 Poor copy
BM-0222,Mastering Machine Learning 10,Author Z. Williams,4,4,1,2,18.0,Replace 1 Poor copy
BM-0950,Guide to Machine Learning 2,Author N. Williams,4,4,1,2,18.0,Replace 1 Poor copy
BM-0497,Mastering Java 6,Author U. Johnson,4,4,1,2,18.0,Replace 1 Poor copy
BM-0869,Mastering Chemistry 2,Author C. Brown,5,5,1,1,17.0,Replace 1 Poor copy
BM-0146,Advanced Java 8,Author E. Brown,7,7,1,0,17.0,Replace 1 Poor copy
BM-0514,Introduction to Philosophy 6,Author U. Brown,3,3,1,2,17.0,Replace 1 Poor copy
BM-0216,Guide to Art 1,Author Y. Jones,3,3,1,2,17.0,Replace 1 Poor copy
BM-0203,Advanced Java 7,Author Q. Smith,3,3,1,2,17.0,Replace 1 Poor copy
BM-0878,The Art of Java 2,Author G. Williams,5,5,1,1,17.0,Replace 1 Poor copy
BM-0786,History of Calculus 3,Author G. Johnson,5,5,1,1,17.0,Replace 1 Poor copy
BM-0238,Fundamentals of Biology 4,Author F. Smith,5,5,1,1,17.0,Replace 1 Poor copy
BM-0765,Guide to Machine Learning 5,Author A. Smith,5,5,1,1,17.0,Replace 1 Poor copy
BM-0834,History of Java 1,Author O. Smith,5,5,1,1,17.0,Replace 1 Poor copy
BM-0784,Introduction to Python 5,Author Q. Smith,5,5,1,1,17.0,Replace 1 Poor copy
BM-0891,Guide to Biology 7,Author M. Williams,5,5,1,1,17.0,Replace 1 Poor copy
BM-0264,Handbook of Chemistry 7,Author N. Jones,5,5,1,1,17.0,Replace 1 Poor copy
BM-0257,Introduction to Python 1,Author V. Johnson,3,3,1,2,17.0,Replace 1 Poor copy
BM-0573,Mastering Calculus 3,Author C. Jones,3,3,1,2,17.0,Replace 1 Poor copy
BM-0581,The Art of Calculus 3,Author V. Johnson,3,3,1,2,17.0,Replace 1 Poor copy
BM-0750,History of Machine Learning 10,Author Y. Smith,3,3,1,2,17.0,Replace 1 Poor copy
BM-0452,Advanced AI 2,Author N. Smith,3,3,1,2,17.0,Replace 1 Poor copy
BM-0940,Guide to AI 1,Author W. Smith,5,5,1,1,17.0,Replace 1 Poor copy
BM-0312,Handbook of Java 1,Author W. Smith,5,5,1,1,17.0,Replace 1 Poor copy
BM-0779,Guide to History 7,Author R. Brown,5,5,1,1,17.0,Replace 1 Poor copy
BM-0594,Guide to Python 7,Author N. Johnson,3,3,1,2,17.0,Replace 1 Poor copy
BM-0002,History of Art 8,Author G. Williams,3,3,1,2,17.0,Replace 1 Poor copy
BM-0379,The Art of History 9,Author X. Williams,3,3,1,2,17.0,Replace 1 Poor copy
BM-0424,The Art of Economics 4,Author O. Williams,3,3,1,2,17.0,Replace 1 Poor copy
BM-0595,Fundamentals of Java 3,Author K. Brown,8,8,0,4,16.0,No Action Needed
BM-0547,Introduction to Chemistry 5,Author U. Williams,6,6,1,0,16.0,Replace 1 Poor copy
BM-0783,Advanced AI 1,Author M. Smith,4,4,1,1,16.0,Replace 1 Poor copy
BM-0416,Handbook of Python 2,Author D. Jones,4,4,1,1,16.0,Replace 1 Poor copy
BM-0360,Advanced Python 2,Author W. Williams,6,6,1,0,16.0,Replace 1 Poor copy
BM-0719,History of AI 9,Author B. Williams,4,4,1,1,16.0,Replace 1 Poor copy
BM-0061,Fundamentals of Art 10,Author X. Johnson,4,4,1,1,16.0,Replace 1 Poor copy
BM-0240,Mastering Biology 8,Author O. Williams,4,4,1,1,16.0,Replace 1 Poor copy
BM-0905,History of Chemistry 10,Author B. Williams,4,4,1,1,16.0,Replace 1 Poor copy
BM-0535,The Art of Art 10,Author I. Jones,4,4,1,1,16.0,Replace 1 Poor copy
BM-0985,Advanced Physics 2,Author Z. Smith,4,4,1,1,16.0,Replace 1 Poor copy
BM-1000,History of Economics 8,Author P. Brown,4,4,1,1,16.0,Replace 1 Poor copy
BM-0599,History of Machine Learning 1,Author Y. Smith,4,4,1,1,16.0,Replace 1 Poor copy
BM-0600,Handbook of Art 7,Author O. Brown,4,4,1,1,16.0,Replace 1 Poor copy
BM-0923,Fundamentals of Calculus 2,Author O. Smith,4,4,1,1,16.0,Replace 1 Poor copy
BM-0961,History of History 7,Author D. Brown,4,4,1,1,16.0,Replace 1 Poor copy
BM-0378,Fundamentals of AI 2,Author T. Brown,4,4,1,1,16.0,Replace 1 Poor copy
BM-0769,Mastering Java 3,Author P. Johnson,4,4,1,1,16.0,Replace 1 Poor copy
BM-0813,Handbook of History 9,Author O. Brown,4,4,1,1,16.0,Replace 1 Poor copy
BM-0843,The Art of Machine Learning 9,Author Y. Williams,4,4,1,1,16.0,Replace 1 Poor copy
BM-0502,Introduction to Chemistry 3,Author C. Williams,4,4,1,1,16.0,Replace 1 Poor copy
BM-0195,Fundamentals of Physics 9,Author V. Jones,4,4,1,1,16.0,Replace 1 Poor copy
BM-0200,Advanced Chemistry 8,Author J. Brown,4,4,1,1,16.0,Replace 1 Poor copy
BM-0872,Introduction to Physics 3,Author M. Williams,4,4,1,1,16.0,Replace 1 Poor copy
BM-0145,Guide to Calculus 6,Author U. Brown,4,4,1,1,16.0,Replace 1 Poor copy
BM-0094,Introduction to Machine Learning 10,Author N. Williams,4,4,1,1,16.0,Replace 1 Poor copy
BM-0848,Handbook of Music 2,Author G. Johnson,4,4,1,1,16.0,Replace 1 Poor copy
BM-0171,History of Physics 1,Author V. Johnson,4,4,1,1,16.0,Replace 1 Poor copy
BM-0109,Advanced Chemistry 6,Author V. Johnson,4,4,1,1,16.0,Replace 1 Poor copy
BM-0133,The Art of Chemistry 1,Author S. Johnson,4,4,1,1,16.0,Replace 1 Poor copy
BM-0182,Handbook of Economics 9,Author W. Jones,4,4,1,1,16.0,Replace 1 Poor copy
BM-0191,Guide to Python 7,Author L. Brown,4,4,1,1,16.0,Replace 1 Poor copy
BM-0295,Advanced Music 1,Author E. Smith,4,4,1,1,16.0,Replace 1 Poor copy
BM-0758,Mastering Philosophy 7,Author J. Brown,4,4,1,1,16.0,Replace 1 Poor copy
BM-0388,Handbook of Philosophy 7,Author G. Williams,4,4,1,1,16.0,Replace 1 Poor copy
BM-0466,Handbook of Art 10,Author P. Jones,4,4,1,1,16.0,Replace 1 Poor copy
BM-0538,Advanced Music 10,Author Q. Williams,3,3,1,1,15.0,Replace 1 Poor copy
BM-0690,Handbook of Philosophy 9,Author H. Williams,3,3,1,1,15.0,Replace 1 Poor copy
BM-0688,The Art of Art 3,Author I. Jones,3,3,1,1,15.0,Replace 1 Poor copy
BM-0674,Handbook of Music 7,Author B. Smith,3,3,1,1,15.0,Replace 1 Poor copy
BM-0246,Introduction to Art 6,Author Y. Smith,3,3,1,1,15.0,Replace 1 Poor copy
BM-0838,Mastering Economics 9,Author Q. Brown,3,3,1,1,15.0,Replace 1 Poor copy
BM-0836,Advanced Java 8,Author V. Smith,3,3,1,1,15.0,Replace 1 Poor copy
BM-0832,Introduction to Machine Learning 2,Author G. Johnson,3,3,1,1,15.0,Replace 1 Poor copy
BM-0292,Guide to AI 8,Author P. Williams,5,5,1,0,15.0,Replace 1 Poor copy
BM-0428,Mastering Music 8,Author P. Williams,3,3,1,1,15.0,Replace 1 Poor copy
