Itemset,Itemset_Size,Count,Support
Advanced History 4,1,9,0.006
The Art of Art 10,1,9,0.006
Advanced Economics 5,1,9,0.006
Mastering Calculus 1,1,9,0.006
Mastering Philosophy 9,1,9,0.006
Handbook of Machine Learning 5,1,9,0.006
The Art of Python 5,1,9,0.006
Fundamentals of Physics 5,1,9,0.006
History of AI 7,1,9,0.006
Fundamentals of Python 7,1,9,0.006
Guide to Art 1,1,9,0.006
The Art of Philosophy 9,1,8,0.0053
History of Art 2,1,8,0.0053
Mastering Philosophy 1,1,8,0.0053
Guide to AI 10,1,8,0.0053
History of Philosophy 8,1,8,0.0053
History of Calculus 4,1,8,0.0053
Mastering Java 8,1,8,0.0053
Guide to History 7,1,8,0.0053
Mastering Python 4,1,8,0.0053
Handbook of Biology 7,1,8,0.0053
The Art of Philosophy 1,1,8,0.0053
Fundamentals of Music 1,1,8,0.0053
Handbook of Chemistry 6,1,8,0.0053
The Art of Java 2,1,8,0.0053
The Art of Physics 7,1,8,0.0053
Handbook of Music 6,1,8,0.0053
The Art of Calculus 1,1,8,0.0053
History of Biology 6,1,8,0.0053
The Art of History 10,1,8,0.0053
The Art of History 9,1,8,0.0053
Advanced History 5,1,8,0.0053
Handbook of Art 7,1,8,0.0053
Fundamentals of Economics 7,1,8,0.0053
Handbook of Art 1,1,8,0.0053
Mastering Art 9,1,8,0.0053
Guide to Java 2,1,7,0.0046
The Art of AI 9,1,7,0.0046
Guide to Calculus 3,1,7,0.0046
Handbook of Economics 2,1,7,0.0046
The Art of Art 9,1,7,0.0046
Introduction to Physics 8,1,7,0.0046
Guide to Python 7,1,7,0.0046
History of Biology 3,1,7,0.0046
Mastering Calculus 6,1,7,0.0046
Advanced Biology 10,1,7,0.0046
Mastering Java 3,1,7,0.0046
Advanced Calculus 5,1,7,0.0046
History of Machine Learning 8,1,7,0.0046
Handbook of Java 9,1,7,0.0046
Handbook of Java 6,1,7,0.0046
Fundamentals of AI 5,1,7,0.0046
Mastering Music 1,1,7,0.0046
Fundamentals of Java 9,1,7,0.0046
Guide to Python 1,1,7,0.0046
History of History 2,1,7,0.0046
The Art of Economics 3,1,7,0.0046
The Art of Python 7,1,7,0.0046
Mastering AI 7,1,7,0.0046
Fundamentals of Physics 6,1,7,0.0046
History of Economics 4,1,7,0.0046
Mastering Music 6,1,7,0.0046
Handbook of Calculus 4,1,7,0.0046
Advanced Calculus 6,1,7,0.0046
Introduction to AI 10,1,7,0.0046
Handbook of Python 2,1,7,0.0046
Mastering Biology 6,1,7,0.0046
The Art of History 6,1,7,0.0046
History of History 10,1,7,0.0046
Introduction to AI 8,1,7,0.0046
History of Machine Learning 9,1,7,0.0046
Mastering Chemistry 9,1,7,0.0046
History of Music 9,1,7,0.0046
Fundamentals of Chemistry 8,1,7,0.0046
Advanced Calculus 1,1,7,0.0046
The Art of History 8,1,7,0.0046
The Art of Physics 5,1,7,0.0046
Introduction to History 9,1,7,0.0046
Introduction to Calculus 2,1,7,0.0046
Guide to Python 10,1,7,0.0046
Advanced Music 2,1,7,0.0046
Advanced Economics 9,1,7,0.0046
Advanced Python 10,1,7,0.0046
Guide to Economics 1,1,7,0.0046
Advanced Chemistry 8,1,7,0.0046
Mastering Chemistry 2,1,7,0.0046
Advanced Chemistry 4,1,7,0.0046
Fundamentals of Economics 4,1,7,0.0046
Guide to Java 4,1,7,0.0046
Handbook of Physics 7,1,6,0.004
Mastering Art 10,1,6,0.004
History of Calculus 7,1,6,0.004
The Art of History 2,1,6,0.004
The Art of History 4,1,6,0.004
Advanced Python 7,1,6,0.004
Handbook of Python 6,1,6,0.004
Guide to Music 9,1,6,0.004
Guide to AI 3,1,6,0.004
Advanced Chemistry 10,1,6,0.004
Fundamentals of Java 6,1,6,0.004
Advanced Art 1,1,6,0.004
History of Java 1,1,6,0.004
Guide to Art 3,1,6,0.004
Fundamentals of Calculus 7,1,6,0.004
History of Music 2,1,6,0.004
Guide to Java 8,1,6,0.004
History of Chemistry 2,1,6,0.004
Mastering AI 9,1,6,0.004
The Art of Python 9,1,6,0.004
Handbook of AI 9,1,6,0.004
History of Music 7,1,6,0.004
Introduction to Java 8,1,6,0.004
Guide to Music 4,1,6,0.004
Mastering History 8,1,6,0.004
Introduction to History 10,1,6,0.004
The Art of Music 1,1,6,0.004
Guide to Biology 10,1,6,0.004
Advanced History 7,1,6,0.004
The Art of Chemistry 1,1,6,0.004
Guide to Calculus 9,1,6,0.004
Introduction to Philosophy 1,1,6,0.004
Guide to AI 6,1,6,0.004
Introduction to AI 3,1,6,0.004
Advanced Music 1,1,6,0.004
Handbook of Art 5,1,6,0.004
History of Economics 1,1,6,0.004
Introduction to Chemistry 9,1,6,0.004
Guide to Philosophy 3,1,6,0.004
History of Calculus 3,1,6,0.004
Guide to Chemistry 2,1,6,0.004
Advanced History 3,1,6,0.004
History of Art 3,1,6,0.004
Fundamentals of Philosophy 2,1,6,0.004
The Art of Philosophy 6,1,6,0.004
Handbook of Economics 3,1,6,0.004
The Art of History 3,1,6,0.004
Introduction to Python 7,1,6,0.004
Introduction to Java 5,1,6,0.004
Handbook of Machine Learning 7,1,6,0.004
Handbook of Java 2,1,6,0.004
Mastering History 3,1,6,0.004
Guide to AI 9,1,6,0.004
Advanced History 10,1,6,0.004
Fundamentals of Physics 1,1,6,0.004
The Art of Calculus 5,1,6,0.004
Advanced Python 2,1,6,0.004
Handbook of Biology 10,1,6,0.004
History of Music 5,1,6,0.004
Fundamentals of Economics 6,1,5,0.0033
History of Chemistry 7,1,5,0.0033
History of Biology 9,1,5,0.0033
The Art of Music 3,1,5,0.0033
The Art of Python 8,1,5,0.0033
Fundamentals of AI 2,1,5,0.0033
Introduction to Python 5,1,5,0.0033
Mastering Art 6,1,5,0.0033
Mastering Philosophy 5,1,5,0.0033
History of Machine Learning 6,1,5,0.0033
History of Economics 6,1,5,0.0033
Mastering Economics 5,1,5,0.0033
Mastering Art 2,1,5,0.0033
Mastering Calculus 3,1,5,0.0033
Advanced Python 1,1,5,0.0033
Mastering Machine Learning 10,1,5,0.0033
History of Machine Learning 10,1,5,0.0033
The Art of Machine Learning 9,1,5,0.0033
The Art of Python 3,1,5,0.0033
Guide to Art 10,1,5,0.0033
Introduction to Economics 4,1,5,0.0033
Fundamentals of Philosophy 8,1,5,0.0033
Advanced AI 6,1,5,0.0033
Advanced Music 5,1,5,0.0033
History of Chemistry 4,1,5,0.0033
History of Machine Learning 2,1,5,0.0033
Introduction to Economics 3,1,5,0.0033
Introduction to History 7,1,5,0.0033
History of Philosophy 10,1,5,0.0033
Handbook of Java 1,1,5,0.0033
The Art of Biology 7,1,5,0.0033
The Art of Philosophy 5,1,5,0.0033
Handbook of Calculus 8,1,5,0.0033
Introduction to Music 10,1,5,0.0033
Advanced AI 2,1,5,0.0033
History of Chemistry 5,1,5,0.0033
Guide to Biology 3,1,5,0.0033
Guide to AI 8,1,5,0.0033
Introduction to Philosophy 7,1,5,0.0033
Mastering Philosophy 2,1,5,0.0033
Advanced Python 8,1,5,0.0033
The Art of Java 6,1,5,0.0033
Advanced Calculus 9,1,5,0.0033
Fundamentals of Machine Learning 3,1,5,0.0033
Handbook of Physics 10,1,5,0.0033
Introduction to Art 5,1,5,0.0033
Fundamentals of Philosophy 6,1,5,0.0033
Advanced Art 6,1,5,0.0033
Mastering History 7,1,5,0.0033
History of Art 7,1,5,0.0033
Introduction to Machine Learning 1,1,5,0.0033
Handbook of Java 3,1,5,0.0033
The Art of Economics 4,1,5,0.0033
Guide to AI 1,1,5,0.0033
Advanced Art 4,1,5,0.0033
Guide to Machine Learning 5,1,5,0.0033
History of Biology 8,1,5,0.0033
Handbook of Chemistry 7,1,5,0.0033
Introduction to Philosophy 6,1,5,0.0033
Fundamentals of Calculus 2,1,5,0.0033
Advanced Physics 4,1,5,0.0033
Introduction to Music 9,1,5,0.0033
Handbook of Music 2,1,5,0.0033
The Art of Physics 8,1,5,0.0033
The Art of Java 4,1,4,0.0026
Introduction to AI 4,1,4,0.0026
The Art of Biology 1,1,4,0.0026
Advanced Art 2,1,4,0.0026
Handbook of Python 4,1,4,0.0026
The Art of Art 2,1,4,0.0026
Mastering Biology 4,1,4,0.0026
History of Economics 8,1,4,0.0026
Handbook of Art 10,1,4,0.0026
Mastering Chemistry 1,1,4,0.0026
Guide to History 9,1,4,0.0026
Introduction to Physics 10,1,4,0.0026
Advanced Art 9,1,4,0.0026
Mastering Philosophy 7,1,4,0.0026
Guide to Music 8,1,4,0.0026
Introduction to AI 6,1,4,0.0026
The Art of Economics 2,1,4,0.0026
Fundamentals of Physics 2,1,4,0.0026
History of Philosophy 9,1,4,0.0026
Mastering Calculus 7,1,4,0.0026
Fundamentals of Art 10,1,4,0.0026
Fundamentals of Python 4,1,4,0.0026
Handbook of Machine Learning 9,1,4,0.0026
Introduction to Biology 6,1,4,0.0026
History of AI 9,1,4,0.0026
Introduction to Python 6,1,4,0.0026
Guide to Calculus 6,1,4,0.0026
History of Python 10,1,4,0.0026
Fundamentals of Java 10,1,4,0.0026
Mastering Physics 9,1,4,0.0026
Mastering Java 6,1,4,0.0026
Introduction to Art 2,1,4,0.0026
The Art of Physics 2,1,4,0.0026
Introduction to Machine Learning 10,1,4,0.0026
Handbook of Java 8,1,4,0.0026
Fundamentals of Machine Learning 9,1,4,0.0026
The Art of Physics 1,1,4,0.0026
The Art of AI 10,1,4,0.0026
Mastering Music 9,1,4,0.0026
Fundamentals of Music 4,1,4,0.0026
Introduction to Philosophy 3,1,4,0.0026
The Art of Philosophy 4,1,4,0.0026
Handbook of History 6,1,4,0.0026
Introduction to Biology 4,1,4,0.0026
Advanced History 6,1,4,0.0026
Handbook of Java 4,1,4,0.0026
Handbook of Calculus 2,1,4,0.0026
Mastering Physics 1,1,4,0.0026
History of Java 9,1,4,0.0026
Advanced Chemistry 9,1,4,0.0026
History of Python 9,1,4,0.0026
Guide to Python 4,1,4,0.0026
History of Calculus 5,1,4,0.0026
Introduction to History 8,1,4,0.0026
The Art of Machine Learning 2,1,4,0.0026
History of Philosophy 1,1,4,0.0026
Guide to Art 6,1,4,0.0026
Introduction to Music 1,1,4,0.0026
Guide to Machine Learning 2,1,4,0.0026
The Art of Philosophy 3,1,4,0.0026
History of Chemistry 9,1,4,0.0026
Introduction to Chemistry 3,1,4,0.0026
Mastering Chemistry 10,1,4,0.0026
Advanced Chemistry 6,1,4,0.0026
The Art of Biology 8,1,4,0.0026
Advanced Python 5,1,4,0.0026
Mastering Chemistry 7,1,4,0.0026
Fundamentals of Philosophy 9,1,4,0.0026
Fundamentals of Calculus 1,1,4,0.0026
Handbook of Physics 4,1,4,0.0026
Advanced Biology 4,1,4,0.0026
Handbook of History 2,1,4,0.0026
Advanced Machine Learning 8,1,4,0.0026
Introduction to Music 8,1,4,0.0026
History of Machine Learning 5,1,4,0.0026
Introduction to Machine Learning 3,1,4,0.0026
The Art of Biology 10,1,4,0.0026
Guide to Biology 9,1,4,0.0026
Handbook of Philosophy 7,1,4,0.0026
Fundamentals of Biology 2,1,4,0.0026
Mastering Economics 2,1,3,0.002
Introduction to Machine Learning 2,1,3,0.002
Guide to Economics 5,1,3,0.002
Fundamentals of Art 5,1,3,0.002
Mastering Economics 9,1,3,0.002
Fundamentals of Economics 9,1,3,0.002
Handbook of Machine Learning 2,1,3,0.002
History of AI 2,1,3,0.002
History of Biology 2,1,3,0.002
Handbook of AI 10,1,3,0.002
Advanced Python 9,1,3,0.002
Guide to Machine Learning 1,1,3,0.002
Advanced Philosophy 9,1,3,0.002
Fundamentals of Chemistry 2,1,3,0.002
History of AI 3,1,3,0.002
Advanced Economics 10,1,3,0.002
Handbook of Music 7,1,3,0.002
Guide to Machine Learning 6,1,3,0.002
The Art of Art 5,1,3,0.002
Guide to Python 6,1,3,0.002
Advanced Philosophy 1,1,3,0.002
Introduction to History 4,1,3,0.002
Introduction to Java 2,1,3,0.002
The Art of Chemistry 2,1,3,0.002
Handbook of Machine Learning 3,1,3,0.002
Introduction to History 1,1,3,0.002
Guide to Philosophy 9,1,3,0.002
Guide to Calculus 1,1,3,0.002
Introduction to Java 10,1,3,0.002
Guide to Biology 8,1,3,0.002
The Art of Art 3,1,3,0.002
Handbook of Calculus 3,1,3,0.002
Fundamentals of Physics 3,1,3,0.002
History of Economics 5,1,3,0.002
Fundamentals of Python 10,1,3,0.002
Mastering Biology 7,1,3,0.002
Advanced Java 5,1,3,0.002
Fundamentals of Music 3,1,3,0.002
The Art of Java 7,1,3,0.002
Fundamentals of AI 9,1,3,0.002
Guide to Calculus 10,1,3,0.002
The Art of Music 6,1,3,0.002
Fundamentals of Python 3,1,3,0.002
Introduction to Physics 1,1,3,0.002
Fundamentals of Chemistry 10,1,3,0.002
Advanced Art 8,1,3,0.002
History of Economics 3,1,3,0.002
Guide to Physics 4,1,3,0.002
Mastering Machine Learning 3,1,3,0.002
Guide to Philosophy 2,1,3,0.002
Mastering Calculus 8,1,3,0.002
Fundamentals of AI 1,1,3,0.002
Advanced Biology 3,1,3,0.002
Guide to History 1,1,3,0.002
Guide to History 8,1,3,0.002
History of Art 8,1,3,0.002
The Art of Economics 7,1,3,0.002
Advanced Java 2,1,3,0.002
Advanced Economics 3,1,3,0.002
Advanced Physics 8,1,3,0.002
History of Machine Learning 4,1,3,0.002
Handbook of Biology 5,1,3,0.002
Mastering Philosophy 6,1,3,0.002
Mastering Art 8,1,3,0.002
Guide to Music 5,1,3,0.002
Introduction to Python 1,1,3,0.002
History of Calculus 1,1,3,0.002
Mastering Biology 9,1,3,0.002
History of Music 4,1,3,0.002
Handbook of Java 7,1,3,0.002
History of Biology 1,1,3,0.002
Introduction to Machine Learning 8,1,3,0.002
Advanced Music 10,1,3,0.002
Handbook of Philosophy 9,1,3,0.002
Handbook of Python 7,1,3,0.002
Advanced Biology 1,1,3,0.002
Handbook of History 3,1,3,0.002
History of Calculus 2,1,3,0.002
Mastering Physics 5,1,3,0.002
Handbook of AI 6,1,3,0.002
Handbook of Physics 2,1,3,0.002
Advanced Python 4,1,3,0.002
Advanced Chemistry 7,1,3,0.002
Guide to AI 4,1,3,0.002
History of Art 6,1,3,0.002
Guide to Java 10,1,3,0.002
History of Biology 5,1,3,0.002
Fundamentals of AI 7,1,3,0.002
The Art of Chemistry 3,1,3,0.002
Introduction to Java 1,1,3,0.002
Fundamentals of Philosophy 4,1,3,0.002
Mastering Machine Learning 2,1,3,0.002
Fundamentals of Music 9,1,3,0.002
The Art of Philosophy 8,1,3,0.002
Mastering Machine Learning 8,1,3,0.002
History of Python 8,1,3,0.002
Introduction to Chemistry 1,1,3,0.002
Guide to Philosophy 6,1,3,0.002
Handbook of Music 9,1,3,0.002
Fundamentals of Physics 10,1,3,0.002
Handbook of Philosophy 2,1,2,0.0013
The Art of Art 1,1,2,0.0013
Advanced Philosophy 10,1,2,0.0013
Fundamentals of Music 6,1,2,0.0013
Handbook of Music 3,1,2,0.0013
Handbook of Biology 9,1,2,0.0013
Guide to Calculus 2,1,2,0.0013
The Art of Physics 3,1,2,0.0013
Guide to Biology 2,1,2,0.0013
History of Music 6,1,2,0.0013
Guide to Music 1,1,2,0.0013
History of Chemistry 6,1,2,0.0013
Fundamentals of Python 8,1,2,0.0013
Handbook of Physics 8,1,2,0.0013
Mastering Java 4,1,2,0.0013
History of Music 3,1,2,0.0013
History of Music 10,1,2,0.0013
Guide to Art 5,1,2,0.0013
Mastering Music 7,1,2,0.0013
Fundamentals of AI 6,1,2,0.0013
The Art of Biology 9,1,2,0.0013
Introduction to Physics 5,1,2,0.0013
Introduction to Art 1,1,2,0.0013
Introduction to Music 2,1,2,0.0013
History of Philosophy 3,1,2,0.0013
Advanced Biology 9,1,2,0.0013
Fundamentals of Java 8,1,2,0.0013
Fundamentals of Calculus 4,1,2,0.0013
Mastering Physics 4,1,2,0.0013
Fundamentals of AI 4,1,2,0.0013
Mastering Chemistry 6,1,2,0.0013
Handbook of Philosophy 5,1,2,0.0013
Introduction to Philosophy 9,1,2,0.0013
Handbook of Art 6,1,2,0.0013
Introduction to Music 4,1,2,0.0013
History of Physics 3,1,2,0.0013
Introduction to Philosophy 10,1,2,0.0013
History of History 4,1,2,0.0013
Introduction to Economics 7,1,2,0.0013
The Art of History 7,1,2,0.0013
Fundamentals of Art 3,1,2,0.0013
Fundamentals of Art 7,1,2,0.0013
Fundamentals of Biology 3,1,2,0.0013
Fundamentals of Music 8,1,2,0.0013
Mastering Calculus 4,1,2,0.0013
Mastering Chemistry 3,1,2,0.0013
Fundamentals of Art 6,1,2,0.0013
Mastering Chemistry 4,1,2,0.0013
The Art of Calculus 7,1,2,0.0013
Handbook of Music 5,1,2,0.0013
The Art of Physics 10,1,2,0.0013
Introduction to Philosophy 5,1,2,0.0013
History of AI 5,1,2,0.0013
Introduction to Java 9,1,2,0.0013
The Art of Python 6,1,2,0.0013
Guide to Biology 1,1,2,0.0013
History of Python 7,1,2,0.0013
History of AI 8,1,2,0.0013
The Art of Machine Learning 3,1,2,0.0013
Mastering Calculus 2,1,2,0.0013
Fundamentals of Music 7,1,2,0.0013
Handbook of Economics 4,1,2,0.0013
Advanced Economics 1,1,2,0.0013
History of Physics 10,1,2,0.0013
Handbook of Calculus 1,1,2,0.0013
Introduction to Calculus 3,1,2,0.0013
Introduction to Calculus 10,1,2,0.0013
Handbook of History 8,1,2,0.0013
Mastering Machine Learning 1,1,2,0.0013
Guide to Chemistry 6,1,2,0.0013
Introduction to Economics 10,1,2,0.0013
Advanced Physics 3,1,2,0.0013
Introduction to Biology 9,1,2,0.0013
Fundamentals of Biology 10,1,2,0.0013
History of Python 6,1,2,0.0013
Handbook of Python 9,1,2,0.0013
Advanced AI 4,1,2,0.0013
Mastering AI 10,1,2,0.0013
The Art of Biology 2,1,2,0.0013
Guide to Philosophy 1,1,2,0.0013
Guide to Machine Learning 8,1,1,0.0007
Mastering Physics 7,1,1,0.0007
Advanced Machine Learning 7,1,1,0.0007
Fundamentals of History 5,1,1,0.0007
The Art of Java 8,1,1,0.0007
History of Physics 7,1,1,0.0007
History of History 3,1,1,0.0007
Handbook of Physics 1,1,1,0.0007
Mastering Art 4,1,1,0.0007
Introduction to Art 4,1,1,0.0007
The Art of Java 3,1,1,0.0007
History of Java 3,1,1,0.0007
Handbook of Music 8,1,1,0.0007
Advanced Biology 5,1,1,0.0007
Guide to Economics 3,1,1,0.0007
Advanced Python 3,1,1,0.0007
Fundamentals of Machine Learning 6,1,1,0.0007
History of Calculus 10,1,1,0.0007
The Art of AI 7,1,1,0.0007
Fundamentals of Python 9,1,1,0.0007
The Art of Chemistry 8,1,1,0.0007
Introduction to Chemistry 10,1,1,0.0007
The Art of Art 6,1,1,0.0007
Introduction to Physics 6,1,1,0.0007
The Art of Java 9,1,1,0.0007
Handbook of AI 3,1,1,0.0007
Advanced Music 6,1,1,0.0007
Handbook of Chemistry 2,1,1,0.0007
Advanced Philosophy 7,1,1,0.0007
Mastering Art 1,1,1,0.0007
History of AI 10,1,1,0.0007
History of Biology 4,1,1,0.0007
Fundamentals of Art 4,1,1,0.0007
The Art of Machine Learning 6,1,1,0.0007
Fundamentals of Biology 8,1,1,0.0007
Introduction to History 6,1,1,0.0007
Introduction to Biology 2,1,1,0.0007
Introduction to Philosophy 4,1,1,0.0007
The Art of Chemistry 4,1,1,0.0007
Introduction to Economics 6,1,1,0.0007
Introduction to Economics 9,1,1,0.0007
Guide to Physics 7,1,1,0.0007
Introduction to Music 5,1,1,0.0007
Mastering Python 3,1,1,0.0007
The Art of Biology 3,1,1,0.0007
Introduction to Chemistry 2,1,1,0.0007
Handbook of Economics 1,1,1,0.0007
Mastering Chemistry 8,1,1,0.0007
Introduction to Python 3,1,1,0.0007
Handbook of Calculus 7,1,1,0.0007
History of Java 6,1,1,0.0007
The Art of Biology 1 | The Art of Economics 9,2,2,0.0013
History of Economics 8 | Mastering Calculus 6,2,2,0.0013
Introduction to AI 10 | The Art of History 1,2,2,0.0013
Introduction to Physics 3 | The Art of History 6,2,2,0.0013
Advanced Calculus 7 | Mastering Biology 8,2,2,0.0013
Guide to AI 3 | Mastering Java 6,2,2,0.0013
Handbook of Machine Learning 9 | Introduction to Art 6,2,2,0.0013
Fundamentals of Chemistry 9 | Mastering Java 10,2,2,0.0013
Advanced Art 1 | Fundamentals of Economics 6,2,2,0.0013
Handbook of Calculus 2 | Introduction to Music 3,2,2,0.0013
Advanced Machine Learning 1 | Fundamentals of Chemistry 4,2,2,0.0013
Advanced Chemistry 1 | Advanced Physics 2,2,2,0.0013
Advanced Economics 7 | Fundamentals of Java 3,2,2,0.0013
Advanced Calculus 7 | Fundamentals of Biology 4,2,2,0.0013
History of Music 2 | The Art of History 1,2,2,0.0013
Handbook of Calculus 8 | Handbook of Philosophy 10,2,2,0.0013
Advanced Philosophy 2 | History of History 7,2,2,0.0013
Advanced Java 7 | Mastering Calculus 9,2,2,0.0013
Fundamentals of Python 1 | Introduction to Machine Learning 7,2,1,0.0007
Fundamentals of Python 1 | The Art of Java 4,2,1,0.0007
Introduction to Machine Learning 7 | The Art of Java 4,2,1,0.0007
Handbook of Philosophy 2 | The Art of Art 1,2,1,0.0007
Advanced Java 1 | Guide to Java 2,2,1,0.0007
Advanced Java 1 | History of Calculus 8,2,1,0.0007
Guide to Java 2 | History of Calculus 8,2,1,0.0007
Fundamentals of Chemistry 7 | Introduction to AI 4,2,1,0.0007
Fundamentals of Chemistry 7 | Mastering Economics 2,2,1,0.0007
Introduction to AI 4 | Mastering Economics 2,2,1,0.0007
Advanced Music 8 | The Art of AI 9,2,1,0.0007
Fundamentals of Economics 6 | Handbook of Physics 7,2,1,0.0007
Fundamentals of Economics 6 | History of Chemistry 7,2,1,0.0007
Handbook of Physics 7 | History of Chemistry 7,2,1,0.0007
Mastering Music 10 | The Art of Biology 1,2,1,0.0007
Mastering Music 10 | The Art of Economics 9,2,1,0.0007
Advanced Art 2 | Advanced Java 1,2,1,0.0007
Advanced Art 2 | The Art of Philosophy 9,2,1,0.0007
Advanced Java 1 | The Art of Philosophy 9,2,1,0.0007
Advanced Java 1 | Handbook of History 9,2,1,0.0007
Advanced Java 1 | Mastering Art 10,2,1,0.0007
Handbook of History 9 | Mastering Art 10,2,1,0.0007
History of Biology 9 | History of Calculus 7,2,1,0.0007
History of Biology 9 | History of Physics 6,2,1,0.0007
History of Calculus 7 | History of Physics 6,2,1,0.0007
History of Chemistry 10 | Introduction to Machine Learning 2,2,1,0.0007
Guide to Economics 5 | Handbook of Python 4,2,1,0.0007
Guide to Economics 5 | The Art of Art 2,2,1,0.0007
Handbook of Python 4 | The Art of Art 2,2,1,0.0007
History of Art 2 | The Art of History 2,2,1,0.0007
Advanced Music 4 | Fundamentals of Physics 9,2,1,0.0007
Fundamentals of Art 5 | Fundamentals of Music 6,2,1,0.0007
Handbook of Economics 2 | The Art of History 4,2,1,0.0007
Advanced Java 3 | Fundamentals of Machine Learning 5,2,1,0.0007
Advanced Java 7 | Guide to Biology 7,2,1,0.0007
Advanced Java 7 | The Art of Art 9,2,1,0.0007
Guide to Biology 7 | The Art of Art 9,2,1,0.0007
History of Chemistry 7 | The Art of Python 8,2,1,0.0007
Guide to AI 10 | Guide to Art 2,2,1,0.0007
Guide to AI 10 | Introduction to Physics 8,2,1,0.0007
Guide to Art 2 | Introduction to Physics 8,2,1,0.0007
Advanced Python 7 | Mastering Music 10,2,1,0.0007
Advanced Python 7 | The Art of Art 8,2,1,0.0007
Mastering Music 10 | The Art of Art 8,2,1,0.0007
Guide to Machine Learning 8 | History of Philosophy 8,2,1,0.0007
Guide to Machine Learning 8 | History of Physics 6,2,1,0.0007
History of Philosophy 8 | History of Physics 6,2,1,0.0007
Handbook of Economics 9 | Mastering Calculus 9,2,1,0.0007
Introduction to Machine Learning 7 | Mastering Physics 7,2,1,0.0007
Guide to Music 9 | Handbook of Physics 7,2,1,0.0007
Guide to Music 9 | History of Biology 3,2,1,0.0007
Handbook of Physics 7 | History of Biology 3,2,1,0.0007
Advanced Machine Learning 7 | Fundamentals of AI 2,2,1,0.0007
Advanced Chemistry 5 | Fundamentals of History 5,2,1,0.0007
Advanced Chemistry 5 | Mastering Economics 9,2,1,0.0007
Fundamentals of History 5 | Mastering Economics 9,2,1,0.0007
History of Biology 3 | Mastering Biology 4,2,1,0.0007
Guide to AI 3 | History of Calculus 4,2,1,0.0007
History of Economics 8 | Introduction to Python 5,2,1,0.0007
Introduction to Python 5 | Mastering Calculus 6,2,1,0.0007
Fundamentals of Economics 9 | Mastering Art 6,2,1,0.0007
Fundamentals of Economics 9 | Mastering Philosophy 5,2,1,0.0007
Mastering Art 6 | Mastering Philosophy 5,2,1,0.0007
Advanced Chemistry 10 | Handbook of Music 3,2,1,0.0007
Advanced Chemistry 10 | History of Machine Learning 6,2,1,0.0007
Handbook of Music 3 | History of Machine Learning 6,2,1,0.0007
History of Economics 6 | Mastering Calculus 9,2,1,0.0007
History of Economics 6 | The Art of History 1,2,1,0.0007
Mastering Calculus 9 | The Art of History 1,2,1,0.0007
